stall	stall
fåren	fåren
blygas	blygas
armod	armod
Satan	Satan
förgjorde	förgjorde
mark	mark
säkra	säkra
blinde	blinde
vanna	vanna
Landet	Landet
böjt	böjt
sån	sån
dyrkar	dyrkar
upprätta	upprätta
agas	agas
vattnas	vattnas
Lammet	Lammet
bliva	bliva
kriget	kriget
bevarades	bevarades
lärt	lärt
avlat	avlat
slaktdjuret	slaktdjuret
levande	levande
vila	vila
väckas	väckas
utbredde	utbredde
våldföres	våldföres
blottade	blottade
uppdrag	uppdrag
spik	spik
blyges	blyges
äktenskapsbrott	äktenskapsbrott
mottaga	mottaga
ryggas	ryggas
rulla	rulla
inrättade	inrättade
damm	damm
tillsätta	tillsätta
tränges	tränges
ristade	ristade
betrodda	betrodda
like	like
rov	rov
höra	höra
röras	röras
lamm	lamm
uppgives	uppgives
bjuda	bjuda
råd	råd
utrotades	utrotades
huvudet	huvudet
fördömde	fördömde
lösa	lösa
vilddjuret	vilddjuret
kärve	kärve
dråparna	dråparna
stormade	stormade
mjöl	mjöl
beredde	beredde
budordet	budordet
besatta	besatta
drabbade	drabbade
fikonträd	fikonträd
sätta	sätta
uppsöka	uppsöka
blive	blive
molnet	molnet
antal	antal
slites	slites
utfärdade	utfärdade
grannarna	grannarna
frätas	frätas
upphöja	upphöja
utsända	utsända
stod	stod
ena	ena
stillade	stillade
användas	användas
äppelträdet	äppelträdet
vika	vika
ösa	ösa
uppbådade	uppbådade
täcke	täcke
bytte	bytte
bäres	bäres
förvarade	förvarade
viskade	viskade
tryckes	tryckes
stadier	stadier
rike	rike
lår	lår
utslaget	utslaget
sändes	sändes
förtäres	förtäres
renades	renades
förleder	förleder
tänkt	tänkt
anställd	anställd
våldet	våldet
togs	togs
väcka	väcka
armes	armes
böjd	böjd
dödsrike	dödsrike
horn	horn
upprättade	upprättade
renat	renat
beskärt	beskärt
lugna	lugna
uppbådades	uppbådades
anställa	anställa
stenröse	stenröse
enas	enas
ringa	ringa
driva	driva
tankar	tankar
fråga	fråga
spikarna	spikarna
sakens	sakens
hälsade	hälsade
församlade	församlade
uppgiva	uppgiva
stupade	stupade
moderlivet	moderlivet
åts	åts
byar	byar
fällas	fällas
äras	äras
bevarade	bevarade
grav	grav
upplyste	upplyste
byta	byta
fostrade	fostrade
skarpt	skarpt
förjagade	förjagade
förfärade	förfärade
fattat	fattat
Råd	Råd
vana	vana
gode	gode
hela	hela
livet	livet
torget	torget
förlösa	förlösa
skrapa	skrapa
Våra	Våra
penningarna	penningarna
manade	manade
skäras	skäras
svin	svin
välva	välva
övrigas	övrigas
tyget	tyget
vette	vette
utfärdades	utfärdades
vederkvicka	vederkvicka
utrotade	utrotade
hoppas	hoppas
blåst	blåst
föreläsa	föreläsa
axens	axens
resa	resa
berömt	berömt
dolde	dolde
plågas	plågas
dammarna	dammarna
sås	sås
födas	födas
borrar	borrar
förenade	förenade
stickade	stickade
sökt	sökt
dricke	dricke
skada	skada
format	format
ingångens	ingångens
fattades	fattades
tackade	tackade
läsa	läsa
påskalammet	påskalammet
avskilda	avskilda
gapet	gapet
förbliva	förbliva
bedraga	bedraga
Varde	Varde
bete	bete
manas	manas
skrapade	skrapade
döda	döda
upprest	upprest
bunden	bunden
täckes	täckes
fördömd	fördömd
markerna	markerna
utföra	utföra
tyg	tyg
Sans	Sans
följd	följd
Surs	Surs
Gudarna	Gudarna
fördöma	fördöma
insatt	insatt
skälet	skälet
anstiftades	anstiftades
bortförda	bortförda
gästabud	gästabud
broders	broders
våld	våld
överdragen	överdragen
korsfästas	korsfästas
övermod	övermod
smältas	smältas
nästa	nästa
eder	eder
öppnas	öppnas
stengolvet	stengolvet
hämtades	hämtades
plugg	plugg
förödes	förödes
övergivna	övergivna
inmönstrades	inmönstrades
förre	förre
utspridde	utspridde
nämnde	nämnde
upphäva	upphäva
funna	funna
stycken	stycken
drivna	drivna
avfallna	avfallna
hornet	hornet
hos	hos
hämtade	hämtade
borrade	borrade
skapades	skapades
ax	ax
brodern	brodern
oxarna	oxarna
räknades	räknades
hackade	hackade
länder	länder
släkte	släkte
anklagade	anklagade
stoderna	stoderna
veta	veta
Både	Både
kon	kon
uppsatte	uppsatte
Svärdet	Svärdet
namn	namn
make	make
lutade	lutade
sålde	sålde
näpsa	näpsa
avvända	avvända
dräpt	dräpt
korsfästa	korsfästa
göras	göras
påbudet	påbudet
dödande	dödande
upptage	upptage
borgen	borgen
talar	talar
eds	eds
modet	modet
frambära	frambära
Rådet	Rådet
förgöres	förgöres
släktet	släktet
tillfrisknat	tillfrisknat
skölja	skölja
städer	städer
kort	kort
slaktades	slaktades
ansedda	ansedda
resande	resande
tryggade	tryggade
närande	närande
smide	smide
uppläst	uppläst
stärka	stärka
gemaket	gemaket
bevekande	bevekande
dryckerna	dryckerna
manades	manades
svänga	svänga
vittnesbördet	vittnesbördet
uttåget	uttåget
friköpt	friköpt
konungadömet	konungadömet
förslaget	förslaget
frågade	frågade
förstöra	förstöra
besöka	besöka
tillsättes	tillsättes
gläds	gläds
springande	springande
krig	krig
draga	draga
omskäres	omskäres
räta	räta
förgöra	förgöra
förstånd	förstånd
skildes	skildes
fördrives	fördrives
stänga	stänga
Asas	Asas
givna	givna
påbud	påbud
mjölet	mjölet
blottas	blottas
utsläckes	utsläckes
mana	mana
klöv	klöv
jagade	jagade
slån	slån
utsläcka	utsläcka
dräpa	dräpa
läst	läst
mönstrade	mönstrade
Guds	Guds
förbytt	förbytt
förbudet	förbudet
nedbrytes	nedbrytes
hembära	hembära
förödda	förödda
friade	friade
maka	maka
stjäle	stjäle
budet	budet
förbjuda	förbjuda
förskräckte	förskräckte
förfäras	förfäras
avsats	avsats
släppt	släppt
strids	strids
markens	markens
vare	vare
drog	drog
sanna	sanna
träffas	träffas
drucken	drucken
stött	stött
förra	förra
flotta	flotta
ålägga	ålägga
tröstare	tröstare
helade	helade
kokte	kokte
utslag	utslag
rest	rest
före	före
uppenbarade	uppenbarade
göres	göres
elände	elände
bundna	bundna
vakttornet	vakttornet
förlåta	förlåta
jubelåret	jubelåret
byarna	byarna
välvt	välvt
klövarna	klövarna
skänka	skänka
fallna	fallna
förmörkades	förmörkades
förökade	förökade
backar	backar
Ester	Ester
offrades	offrades
väta	väta
strålade	strålade
lärda	lärda
omstörtade	omstörtade
kallas	kallas
svävande	svävande
förvandlades	förvandlades
upptändes	upptändes
huggna	huggna
döpa	döpa
vänd	vänd
hugges	hugges
vingarna	vingarna
kors	kors
flyge	flyge
uddar	uddar
blåsa	blåsa
förskingrade	förskingrade
omgiven	omgiven
utdelade	utdelade
vikt	vikt
förlöst	förlöst
invånare	invånare
vetekorn	vetekorn
bryta	bryta
uppståndna	uppståndna
blygs	blygs
upptända	upptända
tak	tak
stärkt	stärkt
vant	vant
Visa	Visa
ödmjukade	ödmjukade
bohaget	bohaget
hacka	hacka
lämnades	lämnades
glädes	glädes
Folk	Folk
uppresa	uppresa
förstörda	förstörda
räckas	räckas
omgives	omgives
oxens	oxens
brytes	brytes
egyptierna	egyptierna
arks	arks
upphöjde	upphöjde
löftet	löftet
hållna	hållna
borttappat	borttappat
rövare	rövare
spända	spända
hjälpt	hjälpt
antändes	antändes
vakttorn	vakttorn
talades	talades
strutsarna	strutsarna
tjänade	tjänade
uppsökte	uppsökte
saker	saker
kröna	kröna
beta	beta
sköta	sköta
följande	följande
kärl	kärl
nederlag	nederlag
bygga	bygga
tillspillogivna	tillspillogivna
tusentals	tusentals
dragna	dragna
uppfödde	uppfödde
bara	bara
försonade	försonade
funnes	funnes
gjorda	gjorda
besatte	besatte
stycke	stycke
trampa	trampa
ställde	ställde
tage	tage
omvände	omvände
röres	röres
sitter	sitter
betänkte	betänkte
dödsriket	dödsriket
smides	smides
stenröset	stenröset
förskingrades	förskingrades
murare	murare
träffades	träffades
torkade	torkade
dråp	dråp
drivas	drivas
slaktdjur	slaktdjur
Talar	Talar
främmandes	främmandes
svängde	svängde
arv	arv
uppsatta	uppsatta
utbyta	utbyta
ryckes	ryckes
vätt	vätt
befäl	befäl
förtorkades	förtorkades
stilla	stilla
påskalamm	påskalamm
näst	näst
koka	koka
mötes	mötes
moderssköte	moderssköte
beskärda	beskärda
avskäres	avskäres
avsatte	avsatte
förfares	förfares
sträva	sträva
garn	garn
kallades	kallades
sabbat	sabbat
rädda	rädda
fiskar	fiskar
tiger	tiger
aktades	aktades
utgjuta	utgjuta
brunnens	brunnens
rycka	rycka
sälja	sälja
Faders	Faders
Gud	Gud
befästas	befästas
uppväckt	uppväckt
tabernakels	tabernakels
tiga	tiga
båda	båda
låret	låret
bindas	bindas
ändamålet	ändamålet
arme	arme
upprättades	upprättades
huset	huset
burna	burna
mönstrades	mönstrades
komma	komma
renas	renas
vaka	vaka
avsöndrades	avsöndrades
släcka	släcka
förskräcka	förskräcka
fäste	fäste
fält	fält
anskaffade	anskaffade
nederlaget	nederlaget
förkunnade	förkunnade
tagna	tagna
flytt	flytt
hållen	hållen
frossare	frossare
sjukt	sjukt
släkterna	släkterna
spände	spände
överlämnades	överlämnades
bevekt	bevekt
lärd	lärd
hoppade	hoppade
valkare	valkare
strävade	strävade
kärlet	kärlet
förras	förras
gränserna	gränserna
förutbestämde	förutbestämde
betänkt	betänkt
smälta	smälta
beställt	beställt
ene	ene
rörde	rörde
vrides	vrides
täckas	täckas
förstörs	förstörs
lida	lida
förlåten	förlåten
fördärvade	fördärvade
beskära	beskära
vanära	vanära
gjutes	gjutes
liden	liden
sjunge	sjunge
klädd	klädd
låte	låte
driven	driven
log	log
bitens	bitens
knyte	knyte
näpst	näpst
gäckade	gäckade
Hela	Hela
lever	lever
läras	läras
förgjordes	förgjordes
krigarna	krigarna
förblive	förblive
mottages	mottages
sändebudet	sändebudet
bränna	bränna
aktade	aktade
anställda	anställda
ställa	ställa
tröstar	tröstar
mött	mött
faste	faste
lyftas	lyftas
sky	sky
gud	gud
