zerstreuten	zerstreuten
kühlen	kühlen
sterbt	sterbt
Ebene	Ebene
Säge	Säge
streuen	streuen
Waren	Waren
weinest	weinest
aufrichten	aufrichten
Höhle	Höhle
trotzt	trotzt
binde	binde
bricht	bricht
Bitten	Bitten
gedenkest	gedenkest
Wehr	Wehr
sonderte	sonderte
Werdet	Werdet
Kühe	Kühe
zerstreuet	zerstreuet
anzeige	anzeige
verkaufe	verkaufe
Sagen	Sagen
gründe	gründe
Anklage	Anklage
Satzungen	Satzungen
reichte	reichte
zählst	zählst
betrübt	betrübt
teilen	teilen
erbest	erbest
fehlet	fehlet
Ehre	Ehre
Sehnen	Sehnen
merke	merke
vertrieben	vertrieben
krähte	krähte
tat	tat
Narr	Narr
Taube	Taube
leget	leget
wirket	wirket
fluche	fluche
siegte	siegte
verlaß	verlaß
kriegen	kriegen
Hallen	Hallen
Schätzen	Schätzen
bekehrte	bekehrte
Warten	Warten
blitzt	blitzt
lauf	lauf
gehorchte	gehorchte
Kriegsknechten	Kriegsknechten
stehst	stehst
Hunde	Hunde
irre	irre
werft	werft
siegen	siegen
Ring	Ring
kühle	kühle
Wolle	Wolle
bestand	bestand
Hecke	Hecke
lügst	lügst
bereitet	bereitet
Stufe	Stufe
gebt	gebt
wärmet	wärmet
schläft	schläft
hure	hure
Geviert	Geviert
machte	machte
springst	springst
sollten	sollten
lade	lade
zürnte	zürnte
hänget	hänget
übet	übet
Götzen	Götzen
beugst	beugst
verführt	verführt
sehest	sehest
durchbohrt	durchbohrt
grünte	grünte
preisen	preisen
aufhebest	aufhebest
währet	währet
Glaubst	Glaubst
schaffst	schaffst
zerstreute	zerstreute
Stücken	Stücken
ehren	ehren
zweifelte	zweifelte
Knechte	Knechte
Feinde	Feinde
Sorgen	Sorgen
Märkten	Märkten
hingehst	hingehst
begehrte	begehrte
Könnt	Könnt
Kreise	Kreise
Kohlen	Kohlen
dürfe	dürfe
blase	blase
Dienet	Dienet
schöpfen	schöpfen
stehet	stehet
Ebenen	Ebenen
ruhte	ruhte
vermöge	vermöge
Pfeife	Pfeife
Abtrünnigen	Abtrünnigen
Same	Same
trefft	trefft
täuschte	täuschte
webet	webet
gebietet	gebietet
Weihen	Weihen
Neumonden	Neumonden
befestigt	befestigt
wache	wache
dürft	dürft
ansehet	ansehet
Elfen	Elfen
Gefäßen	Gefäßen
ehre	ehre
wegen	wegen
urteilte	urteilte
aufwacht	aufwacht
erschrickst	erschrickst
Schiffe	Schiffe
Kräften	Kräften
Lobgesänge	Lobgesänge
Gewürze	Gewürze
jammerte	jammerte
Bete	Bete
griffe	griffe
verstanden	verstanden
wehrte	wehrte
aufnahmt	aufnahmt
stellte	stellte
Regiert	Regiert
Feste	Feste
wehre	wehre
beweist	beweist
lassest	lassest
vertrauet	vertrauet
Wachen	Wachen
meine	meine
weinet	weinet
Türkise	Türkise
Höfen	Höfen
