klæðast	klæðast
minnst	minnst
boð	boð
lið	lið
fundið	fundið
mega	mega
drýgðu	drýgðu
birta	birta
fæðast	fæðast
sjúkdómur	sjúkdómur
fluttu	fluttu
skipa	skipa
sýnduð	sýnduð
heilsa	heilsa
byggt	byggt
vissuð	vissuð
verðið	verðið
fást	fást
hýst	hýst
búist	búist
dæmast	dæmast
stóð	stóð
liði	liði
vörunum	vörunum
gjörðuð	gjörðuð
tjá	tjá
þýðist	þýðist
virti	virti
boðin	boðin
mæli	mæli
lofi	lofi
kastaði	kastaði
skömm	skömm
leynda	leynda
gættu	gættu
virðist	virðist
boði	boði
kastað	kastað
gætum	gætum
komu	komu
berast	berast
skjóta	skjóta
núna	núna
mæla	mæla
hlið	hlið
giftist	giftist
læsir	læsir
en	en
fundin	fundin
ala	ala
réttur	réttur
hræðist	hræðist
reynd	reynd
græddi	græddi
segðu	segðu
gátum	gátum
hagi	hagi
hljómað	hljómað
kóróna	kóróna
gjörði	gjörði
fæddir	fæddir
leysast	leysast
fleygt	fleygt
fljótt	fljótt
málið	málið
kyssti	kyssti
ráði	ráði
haga	haga
hengduð	hengduð
Koma	Koma
móður	móður
heiður	heiður
freistaði	freistaði
greini	greini
hópum	hópum
guði	guði
Kom	Kom
andast	andast
fiskurinn	fiskurinn
flytjast	flytjast
dans	dans
öðlist	öðlist
múrinn	múrinn
fiskinn	fiskinn
Hafði	Hafði
fylltur	fylltur
fiski	fiski
greinum	greinum
kærir	kærir
búna	búna
skipaði	skipaði
klæða	klæða
Guð	Guð
höfðuð	höfðuð
fylla	fylla
hrygg	hrygg
missti	missti
stunda	stunda
Orð	Orð
styrkist	styrkist
dána	dána
máli	máli
skjótum	skjótum
vísu	vísu
spáði	spáði
skrifa	skrifa
drepa	drepa
háir	háir
át	át
spyrjist	spyrjist
vissu	vissu
gætti	gætti
getum	getum
Mun	Mun
metast	metast
drepum	drepum
færist	færist
þakkað	þakkað
leggið	leggið
lögð	lögð
Guði	Guði
minni	minni
felld	felld
gjörist	gjörist
flettu	flettu
hópinn	hópinn
réttu	réttu
þjást	þjást
gjalda	gjalda
þvo	þvo
greinunum	greinunum
skipta	skipta
þörf	þörf
ber	ber
hálsinn	hálsinn
fyllti	fyllti
vetur	vetur
múr	múr
birtir	birtir
heiti	heiti
vissum	vissum
opnaði	opnaði
liðið	liðið
týndur	týndur
jafnast	jafnast
gríska	gríska
biðjast	biðjast
Látið	Látið
kær	kær
gerðu	gerðu
heill	heill
safnaði	safnaði
brennu	brennu
skilin	skilin
fylltu	fylltu
talaði	talaði
auki	auki
halda	halda
lík	lík
berst	berst
gerast	gerast
eyðist	eyðist
gangast	gangast
þjáist	þjáist
dæmi	dæmi
leiðir	leiðir
gefinn	gefinn
reynast	reynast
hreinsast	hreinsast
borgir	borgir
gæti	gæti
munum	munum
sendur	sendur
sendum	sendum
breytti	breytti
vorum	vorum
byggða	byggða
