veittuð	veittuð
sjúkdóma	sjúkdóma
leiðir	leiðir
drekk	drekk
þúsundum	þúsundum
settu	settu
séum	séum
þjást	þjást
fylltu	fylltu
talast	talast
heiti	heiti
leyfið	leyfið
Hafði	Hafði
senduð	senduð
hefðuð	hefðuð
skýrum	skýrum
birta	birta
látið	látið
reiðin	reiðin
seldur	seldur
færist	færist
hef	hef
nota	nota
gætti	gætti
víkur	víkur
vakir	vakir
móðu	móðu
skilið	skilið
turninn	turninn
gangast	gangast
birti	birti
mörkum	mörkum
andast	andast
lokið	lokið
sýndu	sýndu
geta	geta
verðið	verðið
stunda	stunda
nefnt	nefnt
ráðið	ráðið
klædduð	klædduð
lærði	lærði
höfum	höfum
leiddur	leiddur
drýgði	drýgði
vissu	vissu
skömmum	skömmum
liðið	liðið
óskir	óskir
hóp	hóp
byggð	byggð
flokk	flokk
gjörði	gjörði
felldu	felldu
styrkir	styrkir
vissum	vissum
brott	brott
foreldra	foreldra
heimtuð	heimtuð
kross	kross
óskum	óskum
vona	vona
fara	fara
borð	borð
vonum	vonum
skrifa	skrifa
fluttu	fluttu
fæða	fæða
bundna	bundna
skipunum	skipunum
rétta	rétta
kórónu	kórónu
skipaði	skipaði
kastið	kastið
byggður	byggður
ber	ber
síðu	síðu
verk	verk
skjóti	skjóti
nefndur	nefndur
gefast	gefast
snúi	snúi
sjúkdómur	sjúkdómur
mæla	mæla
drepa	drepa
líkt	líkt
aukast	aukast
greini	greini
kosta	kosta
seldu	seldu
brotið	brotið
klædd	klædd
heiðurinn	heiðurinn
gríska	gríska
munu	munu
orðið	orðið
boðin	boðin
heyrðir	heyrðir
heitið	heitið
segðu	segðu
leyndum	leyndum
leyndu	leyndu
áttunda	áttunda
veitist	veitist
vissa	vissa
klæðum	klæðum
máttu	máttu
skapa	skapa
færir	færir
komna	komna
veittu	veittu
hryggist	hryggist
verð	verð
þörfum	þörfum
byggt	byggt
elska	elska
fæddir	fæddir
kom	kom
treyst	treyst
gjaldi	gjaldi
lýst	lýst
skiptir	skiptir
mælist	mælist
dæmt	dæmt
hafði	hafði
ríki	ríki
hafna	hafna
rekið	rekið
langað	langað
talaði	talaði
fjórði	fjórði
elskum	elskum
liði	liði
helgi	helgi
safnast	safnast
líkist	líkist
þjáði	þjáði
brenna	brenna
byggðu	byggðu
fremst	fremst
liðinn	liðinn
láta	láta
glataði	glataði
Mun	Mun
jafnað	jafnað
söfnuðu	söfnuðu
vissuð	vissuð
drekkið	drekkið
kyssti	kyssti
heilla	heilla
kært	kært
lifðu	lifðu
nú	nú
fjórum	fjórum
hálsinn	hálsinn
fylltir	fylltir
græddir	græddir
andaði	andaði
sýnast	sýnast
kosti	kosti
dæmdum	dæmdum
nefnda	nefnda
birtist	birtist
neyddur	neyddur
gangi	gangi
orð	orð
biðjast	biðjast
leitum	leitum
minnst	minnst
leyndi	leyndi
hlið	hlið
halda	halda
minni	minni
dreifst	dreifst
spyrjist	spyrjist
tölu	tölu
hengduð	hengduð
fengin	fengin
minnist	minnist
hugsaði	hugsaði
byggðir	byggðir
hornum	hornum
flétta	flétta
safnaði	safnaði
varðveitast	varðveitast
mátti	mátti
mættum	mættum
aukið	aukið
eigið	eigið
vísu	vísu
hræðist	hræðist
dæmið	dæmið
hræða	hræða
mælum	mælum
skipi	skipi
felldur	felldur
skömm	skömm
þýðist	þýðist
alda	alda
mætti	mætti
kennd	kennd
Mælir	Mælir
gift	gift
ala	ala
gjörast	gjörast
styrktu	styrktu
boðið	boðið
leysir	leysir
Hafa	Hafa
turn	turn
Leitast	Leitast
látna	látna
fyllast	fyllast
heilsu	heilsu
skírast	skírast
mega	mega
þýðast	þýðast
hættu	hættu
jafnir	jafnir
hefðum	hefðum
spillast	spillast
ákveðið	ákveðið
hittu	hittu
fléttum	fléttum
máli	máli
flokkur	flokkur
skapaði	skapaði
heyrast	heyrast
lærast	lærast
þjáist	þjáist
freistað	freistað
seldir	seldir
byggðum	byggðum
skamma	skamma
færðir	færðir
skrifi	skrifi
leitast	leitast
met	met
missti	missti
haft	haft
ferst	ferst
hitt	hitt
flytjist	flytjist
ráði	ráði
kæru	kæru
metast	metast
týndur	týndur
horn	horn
fiskinn	fiskinn
tíð	tíð
klæði	klæði
munduð	munduð
elsku	elsku
dæmi	dæmi
gætu	gætu
þrýstu	þrýstu
lærðuð	lærðuð
starfi	starfi
borðið	borðið
kunnir	kunnir
tíðum	tíðum
borðum	borðum
setti	setti
sóttu	sóttu
hrærði	hrærði
aldir	aldir
kæra	kæra
þekkti	þekkti
undur	undur
kærðu	kærðu
lifnaði	lifnaði
klæddum	klæddum
ákveðin	ákveðin
mættuð	mættuð
neitaði	neitaði
kunna	kunna
sigurinn	sigurinn
Getum	Getum
fundinn	fundinn
heita	heita
skýrði	skýrði
borgum	borgum
segist	segist
gjöri	gjöri
aukist	aukist
getur	getur
annað	annað
ákæru	ákæru
munir	munir
Fyrst	Fyrst
háls	háls
leggur	leggur
munt	munt
klædda	klædda
skjóta	skjóta
horfðu	horfðu
rek	rek
Hvaðan	Hvaðan
grísku	grísku
