встретили	встретили
сосчитать	сосчитать
убеди	убеди
дал	дал
произноси	произноси
страхе	страхе
разрушить	разрушить
черных	черных
самая	самая
сами	сами
белы	белы
беременной	беременной
благословляли	благословляли
тверд	тверд
проходить	проходить
бесчести	бесчести
простирал	простирал
заключите	заключите
оценили	оценили
изменишь	изменишь
нашем	нашем
принимать	принимать
причинить	причинить
ищи	ищи
одержимых	одержимых
имущество	имущество
кругу	кругу
усилить	усилить
бога	бога
внушить	внушить
наставить	наставить
живая	живая
чужая	чужая
чьем	чьем
возложила	возложила
посох	посох
делить	делить
молчали	молчали
скотом	скотом
пророчестве	пророчестве
покройте	покройте
страх	страх
возьмешь	возьмешь
очистите	очистите
скорым	скорым
владейте	владейте
славить	славить
развалиною	развалиною
красных	красных
приняли	приняли
почиешь	почиешь
теснился	теснился
приложите	приложите
матерях	матерях
глазу	глазу
сотворила	сотворила
устроен	устроен
расположен	расположен
управляющий	управляющий
наушник	наушник
каждых	каждых
дали	дали
плечом	плечом
виден	виден
гордою	гордою
больше	больше
ком	ком
оказывать	оказывать
искали	искали
волах	волах
вторым	вторым
твердую	твердую
значила	значила
уступи	уступи
предавала	предавала
смертным	смертным
протянут	протянут
предавать	предавать
возвестила	возвестила
новое	новое
онемеют	онемеют
головою	головою
любимых	любимых
убитый	убитый
белою	белою
созывать	созывать
жернов	жернов
разорить	разорить
жили	жили
чтили	чтили
старого	старого
лежите	лежите
мучили	мучили
славословить	славословить
внуши	внуши
твердом	твердом
золотой	золотой
провозгласите	провозгласите
слушайте	слушайте
затворит	затворит
проклинать	проклинать
умерщвляйте	умерщвляйте
выносили	выносили
скоту	скоту
уменьши	уменьши
теснили	теснили
исполнили	исполнили
животное	животное
попросите	попросите
одет	одет
горькой	горькой
унывайте	унывайте
отвалит	отвалит
смешанного	смешанного
велишь	велишь
свари	свари
переходили	переходили
унизить	унизить
округ	округ
Будет	Будет
леса	леса
молодых	молодых
Апостол	Апостол
населенный	населенный
матери	матери
переносить	переносить
померк	померк
страхом	страхом
завладейте	завладейте
котлов	котлов
воздали	воздали
отправлять	отправлять
рассказывайте	рассказывайте
сохраняла	сохраняла
старые	старые
утром	утром
воздайте	воздайте
будет	будет
подпал	подпал
другого	другого
выросло	выросло
наследуешь	наследуешь
веруйте	веруйте
пощади	пощади
родословные	родословные
смешанной	смешанной
госпоже	госпоже
сатана	сатана
били	били
поговорив	поговорив
немых	немых
Был	Был
добро	добро
стоит	стоит
открывать	открывать
поворотить	поворотить
строите	строите
Израильской	Израильской
живого	живого
блуди	блуди
мертвые	мертвые
морскую	морскую
обличить	обличить
могла	могла
носила	носила
славила	славила
презирать	презирать
образуем	образуем
вызывали	вызывали
тысяча	тысяча
лукавые	лукавые
