dáið	dáið
eigi	eigi
boðaði	boðaði
hálsinn	hálsinn
æptu	æptu
mættum	mættum
heitið	heitið
alinn	alinn
fylli	fylli
nefndur	nefndur
skýrðu	skýrðu
fremst	fremst
hafið	hafið
ferð	ferð
farast	farast
gætt	gætt
grísku	grísku
byggði	byggði
byggist	byggist
setta	setta
segir	segir
leyfa	leyfa
skipa	skipa
rita	rita
berst	berst
freistað	freistað
hafa	hafa
slepptu	slepptu
merkti	merkti
hefðum	hefðum
ríkt	ríkt
greina	greina
dáð	dáð
settu	settu
tölum	tölum
vík	vík
haf	haf
tali	tali
svaraði	svaraði
geta	geta
foreldra	foreldra
fljótið	fljótið
skrifa	skrifa
langt	langt
kosta	kosta
þýðist	þýðist
Annað	Annað
þoli	þoli
glataði	glataði
dæmið	dæmið
gull	gull
freistaði	freistaði
át	át
skjóta	skjóta
þolað	þolað
skilinn	skilinn
gæti	gæti
máttu	máttu
undir	undir
munt	munt
valdið	valdið
foreldrunum	foreldrunum
skapa	skapa
Hafa	Hafa
vetur	vetur
kastað	kastað
segist	segist
mund	mund
seldu	seldu
gjörði	gjörði
gerast	gerast
ákæra	ákæra
heilsaði	heilsaði
skil	skil
skiptum	skiptum
leggið	leggið
dæmist	dæmist
flytjist	flytjist
borðum	borðum
leiða	leiða
leiðast	leiðast
þvost	þvost
bundið	bundið
reynast	reynast
höfðuð	höfðuð
breiddu	breiddu
Getum	Getum
skírist	skírist
drepa	drepa
hneigðu	hneigðu
eigið	eigið
Hafi	Hafi
klæði	klæði
hræðist	hræðist
áliti	áliti
fleygt	fleygt
skilið	skilið
spillast	spillast
send	send
aldir	aldir
skrifum	skrifum
þúsund	þúsund
hulda	hulda
bættu	bættu
sýndu	sýndu
þúsunda	þúsunda
reiðir	reiðir
ferst	ferst
hefur	hefur
spillist	spillist
dans	dans
talið	talið
rekur	rekur
reyndir	reyndir
leggst	leggst
æpti	æpti
fylltur	fylltur
mátt	mátt
lagðir	lagðir
breytti	breytti
þekktur	þekktur
fæddu	fæddu
eitur	eitur
starfi	starfi
ráðast	ráðast
sæti	sæti
krossinn	krossinn
leggi	leggi
hafði	hafði
Kom	Kom
keyptir	keyptir
haldist	haldist
spillti	spillti
heilla	heilla
langi	langi
þakkir	þakkir
hafna	hafna
veittu	veittu
anda	anda
flokka	flokka
verð	verð
rétt	rétt
nota	nota
annast	annast
fáist	fáist
brenna	brenna
leitum	leitum
vona	vona
fæddi	fæddi
settuð	settuð
byggðu	byggðu
hengdu	hengdu
drekki	drekki
þrumum	þrumum
ráð	ráð
reyndur	reyndur
orðið	orðið
lagður	lagður
vissuð	vissuð
giftist	giftist
fylla	fylla
gátum	gátum
vissa	vissa
hengduð	hengduð
leita	leita
kunna	kunna
akurinn	akurinn
elska	elska
hald	hald
þekkti	þekkti
vakir	vakir
háum	háum
ræða	ræða
fyllast	fyllast
dæmi	dæmi
gætu	gætu
munir	munir
settir	settir
fæddur	fæddur
opnaði	opnaði
leyfum	leyfum
verki	verki
hefðuð	hefðuð
færu	færu
hópinn	hópinn
notum	notum
týndur	týndur
hliðum	hliðum
munu	munu
hreinsaði	hreinsaði
styrkist	styrkist
mætti	mætti
minnist	minnist
andast	andast
móðu	móðu
leysa	leysa
flétta	flétta
þjást	þjást
skírði	skírði
veittuð	veittuð
vaka	vaka
langað	langað
trúðu	trúðu
breytist	breytist
Haf	Haf
tíð	tíð
Komu	Komu
þjáði	þjáði
sjúkdóma	sjúkdóma
hliðið	hliðið
kosti	kosti
Leitast	Leitast
skipta	skipta
spáðu	spáðu
mun	mun
flokk	flokk
kæra	kæra
kasta	kasta
mál	mál
fæst	fæst
fiskinn	fiskinn
fæddir	fæddir
læsir	læsir
félaga	félaga
heyrðum	heyrðum
Orðið	Orðið
líka	líka
eitt	eitt
treystir	treystir
jafnt	jafnt
guði	guði
óskum	óskum
verðum	verðum
biðjast	biðjast
fleygði	fleygði
eyrunum	eyrunum
höfðum	höfðum
greini	greini
halda	halda
minni	minni
Mun	Mun
virði	virði
búið	búið
boði	boði
flokkum	flokkum
skömmum	skömmum
fenguð	fenguð
liðið	liðið
lifðu	lifðu
bundna	bundna
hýst	hýst
hópa	hópa
hafi	hafi
líki	líki
hreinsast	hreinsast
sjúkdóm	sjúkdóm
spáð	spáð
færð	færð
gjörðu	gjörðu
dæmast	dæmast
skipunum	skipunum
lokið	lokið
hugsaði	hugsaði
tala	tala
hluti	hluti
heitt	heitt
Munum	Munum
komna	komna
birtur	birtur
komast	komast
lifði	lifði
muni	muni
gjörast	gjörast
þakka	þakka
líkur	líkur
máli	máli
giftast	giftast
neyttu	neyttu
gifta	gifta
missi	missi
græddi	græddi
rekið	rekið
staðinn	staðinn
kallaði	kallaði
réttu	réttu
öðlast	öðlast
fléttum	fléttum
Lík	Lík
safna	safna
brennur	brennur
metum	metum
getur	getur
skjótum	skjótum
ályktað	ályktað
kunnir	kunnir
safnaði	safnaði
missir	missir
berast	berast
nefnda	nefnda
ríktu	ríktu
gleði	gleði
kastaði	kastaði
þjáist	þjáist
drepum	drepum
ríkti	ríkti
hengdi	hengdi
Látum	Látum
kyssti	kyssti
þekkt	þekkt
biðjist	biðjist
missti	missti
kærir	kærir
gefin	gefin
felldur	felldur
metið	metið
segðu	segðu
gjalda	gjalda
skip	skip
gift	gift
kallast	kallast
leiddu	leiddu
birtast	birtast
lærast	lærast
dansaði	dansaði
fást	fást
sendu	sendu
fyllti	fyllti
ættu	ættu
mælið	mælið
álit	álit
hornum	hornum
gjaldi	gjaldi
Líkt	Líkt
dána	dána
fiskurinn	fiskurinn
leyfið	leyfið
kasti	kasti
byggðir	byggðir
fara	fara
hlutum	hlutum
hætta	hætta
hóp	hóp
lærðuð	lærðuð
stundu	stundu
meta	meta
Mæli	Mæli
met	met
gætir	gætir
kross	kross
flokkinn	flokkinn
megum	megum
tíðum	tíðum
skipti	skipti
keypti	keypti
hlið	hlið
fluttur	fluttur
klædda	klædda
spilltur	spilltur
skýrði	skýrði
reki	reki
spá	spá
lagði	lagði
aukist	aukist
leiði	leiði
dæma	dæma
alda	alda
klædduð	klædduð
