tröstar	tröstar
vätt	vätt
snart	snart
fyllda	fyllda
drives	drives
lägges	lägges
uddar	uddar
stenröse	stenröse
uppläsa	uppläsa
talade	talade
utstöta	utstöta
Sera	Sera
Lea	Lea
Sjustjärnorna	Sjustjärnorna
förstörd	förstörd
axet	axet
logarna	logarna
nedgjorde	nedgjorde
borgen	borgen
bäckens	bäckens
hölje	hölje
ed	ed
smida	smida
täckt	täckt
fördrives	fördrives
uppförde	uppförde
stickade	stickade
offrade	offrade
Israel	Israel
våldsverkares	våldsverkares
sjunga	sjunga
satte	satte
drucken	drucken
ändamålet	ändamålet
väckas	väckas
stallet	stallet
betrycktas	betrycktas
anställd	anställd
brodern	brodern
visar	visar
hämtade	hämtade
egyptierna	egyptierna
drive	drive
Gud	Gud
allt	allt
förvandlades	förvandlades
vinn	vinn
röras	röras
järn	järn
styrkt	styrkt
förtrycktas	förtrycktas
genomsökt	genomsökt
horn	horn
utrotades	utrotades
gäckade	gäckade
översta	översta
fetmas	fetmas
uppgiva	uppgiva
utrönt	utrönt
sticka	sticka
svans	svans
bröder	bröder
gives	gives
vitt	vitt
stilla	stilla
visade	visade
äppelträd	äppelträd
förlåte	förlåte
avståndet	avståndet
drypa	drypa
vare	vare
näpst	näpst
stillas	stillas
dräpa	dräpa
huggna	huggna
lösa	lösa
böjes	böjes
upphöjda	upphöjda
dricka	dricka
gjordes	gjordes
utlysa	utlysa
palats	palats
tyget	tyget
lösas	lösas
siares	siares
fots	fots
fallen	fallen
skattmästare	skattmästare
göras	göras
skylde	skylde
givna	givna
föreläses	föreläses
drages	drages
Alls	Alls
räta	räta
låte	låte
svalt	svalt
Ställ	Ställ
höljas	höljas
skuren	skuren
glädes	glädes
upptage	upptage
beskärda	beskärda
arv	arv
kokte	kokte
penningar	penningar
beseglade	beseglade
udd	udd
Edens	Edens
årens	årens
Högstes	Högstes
spikarna	spikarna
utsändes	utsändes
länder	länder
kläda	kläda
beskäres	beskäres
upptagen	upptagen
släckt	släckt
förskingrades	förskingrades
snåret	snåret
strålande	strålande
gravarna	gravarna
sänka	sänka
vrides	vrides
stöta	stöta
bönerna	bönerna
fiskar	fiskar
arme	arme
stenhuggare	stenhuggare
hållen	hållen
Land	Land
loven	loven
mods	mods
linda	linda
kallade	kallade
fotbladet	fotbladet
snärja	snärja
utstött	utstött
inrättade	inrättade
leva	leva
sån	sån
store	store
vätas	vätas
tjäna	tjäna
garnet	garnet
nästas	nästas
vise	vise
området	området
utslag	utslag
brännsåret	brännsåret
rädda	rädda
ställt	ställt
upploppet	upploppet
granne	granne
rycka	rycka
stod	stod
egyptiers	egyptiers
döpt	döpt
fästa	fästa
täckta	täckta
lärt	lärt
tycke	tycke
hackade	hackade
blinda	blinda
slunga	slunga
förståndet	förståndet
enes	enes
styrkas	styrkas
frågade	frågade
fördolde	fördolde
fåren	fåren
förjagade	förjagade
skurna	skurna
avfallen	avfallen
lycka	lycka
flyttades	flyttades
bevekande	bevekande
helas	helas
kärl	kärl
bindas	bindas
vilddjur	vilddjur
synderna	synderna
köpt	köpt
bröllop	bröllop
uttåget	uttåget
minskade	minskade
moln	moln
skilda	skilda
ene	ene
förbyta	förbyta
räddas	räddas
