reynd	reynd
fullnast	fullnast
breytist	breytist
Hvorn	Hvorn
uppvekja	uppvekja
gætum	gætum
höndli	höndli
aftraði	aftraði
missi	missi
þrýstu	þrýstu
lofgjörðin	lofgjörðin
hin	hin
sérhverja	sérhverja
getur	getur
fremsta	fremsta
ráð	ráð
fjarlægt	fjarlægt
neinu	neinu
þekktir	þekktir
valinn	valinn
hvað	hvað
breytt	breytt
byggt	byggt
öllum	öllum
mínir	mínir
hvorum	hvorum
klædda	klædda
mínum	mínum
vanheilagan	vanheilagan
dauða	dauða
tíðir	tíðir
huga	huga
Jason	Jason
sinni	sinni
slíkur	slíkur
gull	gull
fremst	fremst
selduð	selduð
styrkjum	styrkjum
byggði	byggði
Hverja	Hverja
vakir	vakir
ráðast	ráðast
snúi	snúi
brenna	brenna
handboltanum	handboltanum
virti	virti
allur	allur
þakkað	þakkað
gegnum	gegnum
hýstum	hýstum
kær	kær
gefast	gefast
engu	engu
raustum	raustum
ytra	ytra
málið	málið
spáðu	spáðu
heyrðir	heyrðir
báðar	báðar
spáði	spáði
huldu	huldu
horfum	horfum
skýtur	skýtur
rétta	rétta
hefðum	hefðum
líkist	líkist
þínar	þínar
sjöunda	sjöunda
enginn	enginn
reki	reki
raust	raust
spá	spá
norðan	norðan
rigna	rigna
krossfest	krossfest
mærin	mærin
lifðu	lifðu
boðin	boðin
þínu	þínu
eigist	eigist
lastmæltu	lastmæltu
neins	neins
ilmjurtunum	ilmjurtunum
skjóta	skjóta
ættfeðurna	ættfeðurna
leiddu	leiddu
engir	engir
heyrast	heyrast
raustin	raustin
suma	suma
reiðum	reiðum
flokkunum	flokkunum
standa	standa
minna	minna
brott	brott
hluti	hluti
leiddi	leiddi
rótfestu	rótfestu
horfið	horfið
sjálfan	sjálfan
hvílíkir	hvílíkir
liði	liði
stóru	stóru
leynda	leynda
minnst	minnst
skapinu	skapinu
gegn	gegn
lagði	lagði
lengi	lengi
sjúkdómur	sjúkdómur
skýrum	skýrum
nokkrar	nokkrar
gjöra	gjöra
leiddur	leiddur
lagður	lagður
myrtu	myrtu
gengi	gengi
hvílíkar	hvílíkar
míns	míns
sleppir	sleppir
geta	geta
berast	berast
skilið	skilið
rekur	rekur
eitt	eitt
slepptu	slepptu
byggður	byggður
langi	langi
fengin	fengin
hina	hina
liðið	liðið
hvílíkt	hvílíkt
síðast	síðast
gefið	gefið
nefnt	nefnt
hins	hins
leiðin	leiðin
breyta	breyta
kastaði	kastaði
velþóknanlegur	velþóknanlegur
höfum	höfum
gullið	gullið
vissa	vissa
denara	denara
ferð	ferð
Það	Það
meir	meir
misstir	misstir
hef	hef
samboðinn	samboðinn
inni	inni
breiddi	breiddi
dæmdum	dæmdum
freistaði	freistaði
flestir	flestir
fylltum	fylltum
fæddur	fæddur
kristinn	kristinn
ferst	ferst
ræddu	ræddu
langaði	langaði
látna	látna
rekið	rekið
látum	látum
dæma	dæma
hvert	hvert
var	var
helgum	helgum
lík	lík
sættir	sættir
þrengingunum	þrengingunum
lærður	lærður
skipaði	skipaði
kyssið	kyssið
sína	sína
syndgar	syndgar
Allan	Allan
gríska	gríska
borði	borði
vanheilagur	vanheilagur
báðir	báðir
eigin	eigin
þóttist	þóttist
núna	núna
skjótt	skjótt
opið	opið
látið	látið
fremstur	fremstur
kæru	kæru
hrekja	hrekja
eignarlýð	eignarlýð
Innan	Innan
leitum	leitum
elskum	elskum
Mun	Mun
hengdu	hengdu
síðu	síðu
stundu	stundu
hvaða	hvaða
grísku	grísku
sá	sá
lofgjörð	lofgjörð
mættuð	mættuð
fæddir	fæddir
borgir	borgir
ljúkast	ljúkast
ein	ein
leitaði	leitaði
valið	valið
skalt	skalt
sendið	sendið
leit	leit
dansa	dansa
verða	verða
græddir	græddir
það	það
vissu	vissu
birtir	birtir
lokið	lokið
stund	stund
ýmist	ýmist
hlýði	hlýði
neytti	neytti
gerist	gerist
svona	svona
græði	græði
ríkdómi	ríkdómi
gerðu	gerðu
jafnir	jafnir
séum	séum
ákveðið	ákveðið
heiman	heiman
ná	ná
gjörast	gjörast
dauði	dauði
tilreiknar	tilreiknar
hafa	hafa
hræddur	hræddur
Þessi	Þessi
Hinar	Hinar
lagðir	lagðir
fleygði	fleygði
loft	loft
bættist	bættist
hitti	hitti
styrktir	styrktir
tíða	tíða
mestur	mestur
nefnast	nefnast
skilin	skilin
skírið	skírið
ríki	ríki
kastar	kastar
drekk	drekk
Þau	Þau
þarfir	þarfir
lastmæla	lastmæla
stóðuð	stóðuð
eina	eina
sjálfur	sjálfur
gerði	gerði
gættu	gættu
heitt	heitt
sleppt	sleppt
hrekjast	hrekjast
klæddi	klæddi
sumir	sumir
færir	færir
dáð	dáð
henni	henni
treysta	treysta
ræðu	ræðu
hverja	hverja
Sendu	Sendu
stundinni	stundinni
hinir	hinir
hvern	hvern
dána	dána
gengið	gengið
postuladóms	postuladóms
Líkt	Líkt
hafi	hafi
hennar	hennar
snúast	snúast
krossfestu	krossfestu
þessar	þessar
verð	verð
réttu	réttu
læsti	læsti
þína	þína
mets	mets
alls	alls
heyrðu	heyrðu
áttundi	áttundi
þekktur	þekktur
missir	missir
leyfið	leyfið
þol	þol
hræddir	hræddir
öðru	öðru
samboðna	samboðna
eigið	eigið
skyldi	skyldi
höfði	höfði
fyrstu	fyrstu
næstur	næstur
fyllir	fyllir
leyfi	leyfi
grískunni	grískunni
eignarlýður	eignarlýður
seldur	seldur
þakka	þakka
vanheilagir	vanheilagir
kjörinn	kjörinn
búna	búna
denar	denar
málaðir	málaðir
hrista	hrista
líkin	líkin
leyndum	leyndum
fimmti	fimmti
skilaði	skilaði
rifið	rifið
fullnuð	fullnuð
drýgðu	drýgðu
höfðu	höfðu
drekki	drekki
ákæra	ákæra
nokkrum	nokkrum
klæðast	klæðast
hliðið	hliðið
nefnist	nefnist
ráðum	ráðum
neinir	neinir
þrýstir	þrýstir
leiði	leiði
drepa	drepa
Sjálfir	Sjálfir
sumum	sumum
glerhafið	glerhafið
slíku	slíku
leysa	leysa
leyndi	leyndi
sendur	sendur
elsku	elsku
nefndur	nefndur
hópur	hópur
andaði	andaði
hryggja	hryggja
Alla	Alla
munt	munt
stæra	stæra
láta	láta
breyttu	breyttu
hórkarla	hórkarla
fjórir	fjórir
misst	misst
krossfestuð	krossfestuð
sé	sé
fæst	fæst
lastmæli	lastmæli
þrengdi	þrengdi
rita	rita
lítt	lítt
ræddi	ræddi
ættfeðurnir	ættfeðurnir
gleðst	gleðst
væru	væru
birta	birta
hugi	hugi
köstum	köstum
leysir	leysir
sendi	sendi
Sumir	Sumir
snúið	snúið
hafna	hafna
ríktu	ríktu
flokka	flokka
minnir	minnir
málir	málir
