hefðuð	hefðuð
rifi	rifi
saurgi	saurgi
skuluð	skuluð
hefur	hefur
fáist	fáist
síðast	síðast
leyndi	leyndi
leystu	leystu
tölum	tölum
munduð	munduð
kastað	kastað
gróðavegur	gróðavegur
skipi	skipi
spyrjist	spyrjist
voru	voru
leiddur	leiddur
lagðir	lagðir
heimtuð	heimtuð
þess	þess
slíkur	slíkur
Jasoni	Jasoni
víst	víst
lagði	lagði
sums	sums
væruð	væruð
neitað	neitað
sjúkdóm	sjúkdóm
spillast	spillast
breyta	breyta
skapaði	skapaði
lítt	lítt
tilreiknast	tilreiknast
opið	opið
úti	úti
færðu	færðu
Látum	Látum
æðsta	æðsta
loka	loka
hefði	hefði
smaragður	smaragður
felld	felld
langað	langað
breidd	breidd
líkist	líkist
veitast	veitast
ber	ber
jafna	jafna
leiðin	leiðin
helgi	helgi
dauða	dauða
gerast	gerast
bættu	bættu
kosti	kosti
þrem	þrem
safnað	safnað
heiðurinn	heiðurinn
krossfestur	krossfestur
yrði	yrði
Slíkar	Slíkar
leyfið	leyfið
þakkir	þakkir
sjálfur	sjálfur
gjörður	gjörður
fimmti	fimmti
umskornir	umskornir
hvað	hvað
væru	væru
aldir	aldir
gjörast	gjörast
misst	misst
hljómaði	hljómaði
kennd	kennd
laukst	laukst
háum	háum
gjörist	gjörist
minnsta	minnsta
krossinn	krossinn
leggi	leggi
ýmist	ýmist
skipt	skipt
ljúka	ljúka
leit	leit
þessum	þessum
gangi	gangi
gátum	gátum
öðrum	öðrum
kærir	kærir
Alla	Alla
koma	koma
fæst	fæst
segðu	segðu
þrýstu	þrýstu
fylltir	fylltir
heilsaði	heilsaði
þýðast	þýðast
sakargift	sakargift
ákæra	ákæra
drekkið	drekkið
víkur	víkur
þjáist	þjáist
eyddist	eyddist
sinni	sinni
lík	lík
leysast	leysast
lærður	lærður
veikt	veikt
skjótt	skjótt
eyrunum	eyrunum
þvo	þvo
hef	hef
lofgjörðin	lofgjörðin
lagður	lagður
ákærðu	ákærðu
æptu	æptu
spilltur	spilltur
eitt	eitt
æpti	æpti
hittu	hittu
tunglsjúkur	tunglsjúkur
hötuðum	hötuðum
þótti	þótti
Suma	Suma
lið	lið
liðið	liðið
syndgar	syndgar
þakka	þakka
hvílast	hvílast
þrengingum	þrengingum
hvert	hvert
stær	stær
lofi	lofi
félaga	félaga
fylgdist	fylgdist
reiðum	reiðum
sérhverja	sérhverja
fleygt	fleygt
spillti	spillti
Inn	Inn
stæra	stæra
gefið	gefið
fæðast	fæðast
týnda	týnda
vörum	vörum
sæti	sæti
óskir	óskir
núna	núna
haldið	haldið
fjórði	fjórði
alda	alda
kæra	kæra
keyptir	keyptir
Krist	Krist
deyðir	deyðir
styrk	styrk
setti	setti
er	er
fást	fást
aldur	aldur
þessa	þessa
stóðuð	stóðuð
bættist	bættist
séu	séu
lagt	lagt
móðu	móðu
snúið	snúið
kallaði	kallaði
hvorir	hvorir
erum	erum
helga	helga
fórnfært	fórnfært
látum	látum
hlið	hlið
dansaði	dansaði
hald	hald
engir	engir
lastmælin	lastmælin
reynist	reynist
Hefur	Hefur
sýnast	sýnast
Annað	Annað
öðlast	öðlast
umskorna	umskorna
tíð	tíð
Réttu	Réttu
trúðu	trúðu
senda	senda
fyrstur	fyrstur
samkundustjórinn	samkundustjórinn
hristi	hristi
krossfestuð	krossfestuð
stökkti	stökkti
kastið	kastið
skýrum	skýrum
sérhvern	sérhvern
orð	orð
skilaði	skilaði
svaraði	svaraði
gleði	gleði
Mælir	Mælir
kvæntist	kvæntist
þessu	þessu
