færðir	færðir
ýmist	ýmist
allir	allir
jafnað	jafnað
stóðuð	stóðuð
haft	haft
leyfið	leyfið
ráðast	ráðast
gerði	gerði
skildist	skildist
Fyrst	Fyrst
tjá	tjá
hristu	hristu
skylduð	skylduð
kom	kom
ber	ber
munir	munir
færist	færist
rétti	rétti
borði	borði
drýgðu	drýgðu
gátum	gátum
heyrðu	heyrðu
fylltur	fylltur
fremst	fremst
Látið	Látið
ályktað	ályktað
fæddu	fæddu
sýnist	sýnist
ráð	ráð
alinn	alinn
segir	segir
spáði	spáði
leiðir	leiðir
merkir	merkir
hornum	hornum
fylla	fylla
söfnuð	söfnuð
skrifa	skrifa
safnaði	safnaði
spilltum	spilltum
lifnaði	lifnaði
elska	elska
nefnist	nefnist
fæddir	fæddir
þýðast	þýðast
slíku	slíku
rétta	rétta
komst	komst
Þessi	Þessi
tali	tali
fleygði	fleygði
skipið	skipið
sótt	sótt
mundir	mundir
skiptum	skiptum
fiska	fiska
drukkna	drukkna
æðsta	æðsta
lærði	lærði
lastmæla	lastmæla
leggið	leggið
borð	borð
opnaði	opnaði
mínum	mínum
sýnast	sýnast
geta	geta
svaraði	svaraði
sendur	sendur
gæti	gæti
tíð	tíð
enga	enga
eru	eru
hryggir	hryggir
hóp	hóp
fundin	fundin
staða	staða
treystir	treystir
hópa	hópa
færð	færð
leyndum	leyndum
eitt	eitt
þessum	þessum
raust	raust
látna	látna
fyrstu	fyrstu
líkir	líkir
tíða	tíða
kóróna	kóróna
máli	máli
hliðin	hliðin
ferst	ferst
hittum	hittum
lagt	lagt
leiðin	leiðin
eyrunum	eyrunum
völdu	völdu
lögðu	lögðu
komist	komist
Líkt	Líkt
lík	lík
komu	komu
þoli	þoli
kvæntur	kvæntur
er	er
Leitast	Leitast
vor	vor
leysa	leysa
giftist	giftist
kallast	kallast
sendum	sendum
stökkti	stökkti
slíkur	slíkur
koma	koma
skyldum	skyldum
skapaði	skapaði
mæli	mæli
Mæli	Mæli
undu	undu
muni	muni
heita	heita
mund	mund
lok	lok
styrki	styrki
þörfum	þörfum
alda	alda
hafði	hafði
slepptu	slepptu
valið	valið
Réttu	Réttu
færir	færir
stundum	stundum
met	met
fjarlægð	fjarlægð
þrumum	þrumum
flytjist	flytjist
kyssti	kyssti
hafir	hafir
vakti	vakti
dæmt	dæmt
munu	munu
net	net
verið	verið
valinn	valinn
búna	búna
heitið	heitið
drekki	drekki
treyst	treyst
Allan	Allan
Suma	Suma
munduð	munduð
værum	værum
veikir	veikir
þjáist	þjáist
drekkið	drekkið
þol	þol
hliðum	hliðum
málið	málið
móðu	móðu
trúa	trúa
seldir	seldir
hræðist	hræðist
annast	annast
leiddir	leiddir
klæða	klæða
hreinsast	hreinsast
fjarlægt	fjarlægt
verki	verki
þessi	þessi
eitur	eitur
kæru	kæru
mælið	mælið
látum	látum
byggt	byggt
gifta	gifta
voru	voru
velþóknanleg	velþóknanleg
fundinn	fundinn
rekur	rekur
opnast	opnast
skilið	skilið
drepa	drepa
kenndir	kenndir
dæmdu	dæmdu
skilinn	skilinn
lofi	lofi
helgum	helgum
guð	guð
söfnuðu	söfnuðu
kærir	kærir
hljómað	hljómað
sumt	sumt
hafa	hafa
þrumu	þrumu
Alla	Alla
sett	sett
fáist	fáist
kært	kært
gullið	gullið
fæddi	fæddi
horfði	horfði
kosta	kosta
Eru	Eru
kasti	kasti
lagði	lagði
slíkan	slíkan
græddir	græddir
kosti	kosti
leysir	leysir
flokki	flokki
seldur	seldur
metum	metum
send	send
mælum	mælum
verðið	verðið
birtir	birtir
gjöra	gjöra
sýndu	sýndu
ofan	ofan
talast	talast
máttu	máttu
færu	færu
sérhver	sérhver
seldu	seldu
kastið	kastið
lifðu	lifðu
sumu	sumu
skilin	skilin
æpti	æpti
of	of
skýrðu	skýrðu
klædd	klædd
breiddi	breiddi
byggða	byggða
settur	settur
orðið	orðið
gangi	gangi
spilltur	spilltur
varst	varst
breytist	breytist
lofaði	lofaði
færðuð	færðuð
neytti	neytti
finnst	finnst
verð	verð
mun	mun
verk	verk
reiðir	reiðir
sjúkdómur	sjúkdómur
hengdu	hengdu
vonum	vonum
yrðu	yrðu
ríki	ríki
heilla	heilla
auka	auka
lagðir	lagðir
ala	ala
náðu	náðu
spáðu	spáðu
leyfði	leyfði
breidd	breidd
Komu	Komu
skrifaði	skrifaði
fylltu	fylltu
fyrsti	fyrsti
glataði	glataði
vaka	vaka
ferð	ferð
klæðast	klæðast
breyttu	breyttu
skiptir	skiptir
mættum	mættum
skjóta	skjóta
ráða	ráða
langaði	langaði
vitrunum	vitrunum
ríkt	ríkt
félagi	félagi
öðlist	öðlist
vissuð	vissuð
hristi	hristi
stæra	stæra
félaga	félaga
skipti	skipti
hliðið	hliðið
veturinn	veturinn
spillast	spillast
sendu	sendu
hafið	hafið
áttunda	áttunda
skapa	skapa
horft	horft
fluttu	fluttu
flokka	flokka
skírast	skírast
hneigði	hneigði
höfða	höfða
hljómaði	hljómaði
skýrt	skýrt
stóð	stóð
ráðum	ráðum
dreifst	dreifst
heimta	heimta
settir	settir
mörk	mörk
skömm	skömm
líki	líki
metið	metið
fimmta	fimmta
mín	mín
síst	síst
greina	greina
þekkist	þekkist
hengduð	hengduð
orð	orð
þjáði	þjáði
gift	gift
dans	dans
þína	þína
hýstuð	hýstuð
sigur	sigur
ríkti	ríkti
klædduð	klædduð
væru	væru
mæla	mæla
hálsinn	hálsinn
engu	engu
Orð	Orð
talaði	talaði
liðinn	liðinn
leyfðu	leyfðu
lærður	lærður
en	en
huga	huga
aukast	aukast
fylli	fylli
gull	gull
boði	boði
leyfa	leyfa
dáið	dáið
hlutum	hlutum
neyddur	neyddur
lýsti	lýsti
Dauði	Dauði
dauðinn	dauðinn
öðrum	öðrum
hræddur	hræddur
drekk	drekk
leiddu	leiddu
veikt	veikt
engum	engum
notum	notum
getur	getur
jafnir	jafnir
þrýstir	þrýstir
ali	ali
settum	settum
vísu	vísu
óska	óska
skjóti	skjóti
heilsa	heilsa
missir	missir
þýðist	þýðist
höfðum	höfðum
annað	annað
leyndi	leyndi
virðist	virðist
leysast	leysast
setti	setti
safna	safna
sjúkdóma	sjúkdóma
vísa	vísa
skip	skip
segðu	segðu
missti	missti
hugi	hugi
flokk	flokk
Leita	Leita
líkur	líkur
munt	munt
aldir	aldir
leiði	leiði
dauða	dauða
báða	báða
fyrstur	fyrstur
þekkti	þekkti
drukkið	drukkið
byggði	byggði
eigið	eigið
gjalda	gjalda
ljúka	ljúka
eyða	eyða
minni	minni
gjaldi	gjaldi
flétta	flétta
nei	nei
klæddum	klæddum
sjálfan	sjálfan
nokkru	nokkru
mega	mega
gjörður	gjörður
fæðast	fæðast
Fyrir	Fyrir
gerast	gerast
reyndir	reyndir
allar	allar
hópum	hópum
ýmiss	ýmiss
Hafið	Hafið
átuð	átuð
þvost	þvost
senduð	senduð
langað	langað
skipaði	skipaði
heilsaði	heilsaði
þau	þau
eigist	eigist
síðu	síðu
lagður	lagður
minnist	minnist
látið	látið
fljótt	fljótt
múr	múr
stökktu	stökktu
ríkið	ríkið
rétt	rétt
reka	reka
leiddi	leiddi
gjörist	gjörist
enginn	enginn
getum	getum
byggir	byggir
gætir	gætir
snúi	snúi
álit	álit
gátuð	gátuð
reynast	reynast
Mælir	Mælir
heyrði	heyrði
háum	háum
kysstu	kysstu
gerist	gerist
þíns	þíns
öðru	öðru
græddur	græddur
komum	komum
höfum	höfum
skilaði	skilaði
finnast	finnast
borgum	borgum
þessar	þessar
líkið	líkið
byggður	byggður
leiðast	leiðast
gjaldið	gjaldið
birtist	birtist
byggðu	byggðu
heitt	heitt
dreif	dreif
borga	borga
skapi	skapi
mínar	mínar
fjórum	fjórum
rekið	rekið
stökk	stökk
hagi	hagi
ræða	ræða
dána	dána
boða	boða
Guð	Guð
ákæru	ákæru
skömmum	skömmum
þrengingin	þrengingin
mælir	mælir
tíðum	tíðum
kastað	kastað
mála	mála
Mun	Mun
vissu	vissu
veittu	veittu
neitað	neitað
reiðin	reiðin
ræðu	ræðu
minna	minna
láta	láta
spyrjist	spyrjist
reiðum	reiðum
voruð	voruð
gengi	gengi
heiti	heiti
hneigðu	hneigðu
bundna	bundna
byggist	byggist
fletta	fletta
sjálfur	sjálfur
