vakar	vakar
steka	steka
hövdingdömet	hövdingdömet
bälte	bälte
bjudna	bjudna
vitt	vitt
söka	söka
rykande	rykande
syndarna	syndarna
övergiva	övergiva
klövs	klövs
föres	föres
vandrarna	vandrarna
var	var
förgjordes	förgjordes
budbärare	budbärare
koka	koka
utroten	utroten
uppröres	uppröres
Sered	Sered
hurudant	hurudant
budet	budet
avhålla	avhålla
lärda	lärda
låte	låte
betäckt	betäckt
klöv	klöv
tränga	tränga
Babels	Babels
Maas	Maas
upphäves	upphäves
gränserna	gränserna
frambäres	frambäres
tänk	tänk
tagna	tagna
förföljare	förföljare
Assyriens	Assyriens
bräderna	bräderna
sko	sko
täcke	täcke
mätt	mätt
förbytes	förbytes
tillspillogiven	tillspillogiven
huset	huset
varandras	varandras
blyges	blyges
smida	smida
Israel	Israel
Lemek	Lemek
betänk	betänk
Högste	Högste
Sjustjärnorna	Sjustjärnorna
grunden	grunden
tjänarna	tjänarna
Varde	Varde
upptecknades	upptecknades
Obed	Obed
förkunnare	förkunnare
glänsa	glänsa
äta	äta
Simons	Simons
upplåta	upplåta
läggen	läggen
Helt	Helt
lärd	lärd
sov	sov
räknades	räknades
resa	resa
efterfölja	efterfölja
travarna	travarna
användas	användas
Jasons	Jasons
tiger	tiger
Manasse	Manasse
synds	synds
höj	höj
våldsverkare	våldsverkare
stänger	stänger
byta	byta
frälsare	frälsare
tillgiven	tillgiven
kastade	kastade
styra	styra
Arbas	Arbas
lysande	lysande
bevis	bevis
Gode	Gode
dugande	dugande
Amon	Amon
giva	giva
Aner	Aner
Aran	Aran
släppe	släppe
avfalla	avfalla
Joram	Joram
eds	eds
plågas	plågas
like	like
bortkastad	bortkastad
bortföra	bortföra
öga	öga
följda	följda
betänken	betänken
sågade	sågade
fyllda	fyllda
drivna	drivna
Anatot	Anatot
Surs	Surs
året	året
frambären	frambären
utsläckt	utsläckt
beskärt	beskärt
Hiskias	Hiskias
års	års
Hulda	Hulda
bjuda	bjuda
bränna	bränna
skrämmes	skrämmes
tvagna	tvagna
blygs	blygs
Beten	Beten
Susa	Susa
Samuels	Samuels
vissna	vissna
stige	stige
släktens	släktens
åkerstycket	åkerstycket
marker	marker
Massa	Massa
Beria	Beria
Asaf	Asaf
kysst	kysst
köpt	köpt
bars	bars
förbytt	förbytt
Jotams	Jotams
avhållen	avhållen
brända	brända
bägare	bägare
spotten	spotten
Marias	Marias
Hanes	Hanes
Abrams	Abrams
bära	bära
No	No
rädd	rädd
prisade	prisade
ringas	ringas
tröstare	tröstare
förleder	förleder
beviset	beviset
biträda	biträda
Baals	Baals
miste	miste
släkt	släkt
lida	lida
Meribas	Meribas
brinnande	brinnande
förgörare	förgörare
vrede	vrede
Amons	Amons
viken	viken
upphöja	upphöja
vederkvicka	vederkvicka
fräta	fräta
betydande	betydande
förödande	förödande
Serubbabel	Serubbabel
handlar	handlar
allas	allas
lärt	lärt
vit	vit
hugges	hugges
fyllt	fyllt
tillgiva	tillgiva
överfalla	överfalla
fördärvades	fördärvades
gripes	gripes
Massas	Massas
både	både
görare	görare
styrkes	styrkes
bevisade	bevisade
betade	betade
Beta	Beta
såge	såge
bärande	bärande
behöves	behöves
hals	hals
Vare	Vare
hava	hava
lagen	lagen
modersskötet	modersskötet
skäras	skäras
utföres	utföres
vanära	vanära
födes	födes
Allas	Allas
Nod	Nod
Gudarna	Gudarna
visa	visa
