täckes	täckes
Ställ	Ställ
mark	mark
avvända	avvända
hölje	hölje
fiskare	fiskare
svalt	svalt
undantagen	undantagen
jagade	jagade
omringade	omringade
ära	ära
utrotades	utrotades
förleda	förleda
plågade	plågade
klädd	klädd
hysa	hysa
fältet	fältet
fördolde	fördolde
trälarbetet	trälarbetet
ökade	ökade
stillas	stillas
trycka	trycka
binde	binde
tillspillogiven	tillspillogiven
väckas	väckas
namnet	namnet
rycka	rycka
blyges	blyges
linda	linda
behövs	behövs
pressar	pressar
ödmjukas	ödmjukas
böjes	böjes
brunne	brunne
göras	göras
blåste	blåste
ryka	ryka
ringa	ringa
öppnades	öppnades
utröna	utröna
snår	snår
råder	råder
finne	finne
beloppet	beloppet
förstörde	förstörde
betryckta	betryckta
besatte	besatte
år	år
tillsättes	tillsättes
svin	svin
övertäcka	övertäcka
talade	talade
buds	buds
överdragen	överdragen
förhindrades	förhindrades
vrida	vrida
upphäves	upphäves
draga	draga
sätet	sätet
köpt	köpt
enes	enes
klöv	klöv
axet	axet
agade	agade
sanna	sanna
blindas	blindas
övermodet	övermodet
armes	armes
fattas	fattas
tysta	tysta
genomsökt	genomsökt
träffades	träffades
våldet	våldet
drog	drog
skapade	skapade
vare	vare
plugg	plugg
stengolv	stengolv
logarna	logarna
vätas	vätas
råds	råds
bortföra	bortföra
styrkas	styrkas
bok	bok
följeslagare	följeslagare
nederlaget	nederlaget
ödelägges	ödelägges
fetmas	fetmas
budordet	budordet
dödade	dödade
upptage	upptage
hållen	hållen
Benjamin	Benjamin
fåren	fåren
förödda	förödda
utsända	utsända
sliten	sliten
släppa	släppa
förtorkades	förtorkades
uppföra	uppföra
släta	släta
räta	räta
uppgiva	uppgiva
ristade	ristade
fördolda	fördolda
skålarna	skålarna
städer	städer
vallar	vallar
tycke	tycke
retas	retas
rädd	rädd
slita	slita
lugna	lugna
Leas	Leas
ek	ek
hembäre	hembäre
lindade	lindade
beskärt	beskärt
åka	åka
fyllas	fyllas
Folk	Folk
förstöres	förstöres
daglönare	daglönare
dräpes	dräpes
bestänkt	bestänkt
störes	störes
tröstade	tröstade
fyllt	fyllt
förfäras	förfäras
fälles	fälles
höljas	höljas
bud	bud
murbruket	murbruket
omgiva	omgiva
drivas	drivas
svänga	svänga
uppförde	uppförde
nedbryta	nedbryta
torn	torn
utgjuta	utgjuta
antändes	antändes
Antikrists	Antikrists
eder	eder
förres	förres
utkräva	utkräva
bortkastat	bortkastat
spenabarnet	spenabarnet
förutbestämt	förutbestämt
moderssköte	moderssköte
giva	giva
järnet	järnet
anställda	anställda
uppröres	uppröres
vette	vette
mister	mister
omskära	omskära
födes	födes
Antikrist	Antikrist
stekt	stekt
före	före
utlysa	utlysa
förkunnades	förkunnades
förvarade	förvarade
sen	sen
vett	vett
förbytt	förbytt
övergivna	övergivna
fetma	fetma
budet	budet
skilda	skilda
uppslukade	uppslukade
vetekornet	vetekornet
plågas	plågas
närande	närande
fört	fört
bära	bära
Israels	Israels
svarande	svarande
slags	slags
tillreds	tillreds
vänt	vänt
anklagade	anklagade
finnes	finnes
köpebrevet	köpebrevet
bundna	bundna
bedriva	bedriva
upphöjda	upphöjda
drucken	drucken
resas	resas
lärde	lärde
rättas	rättas
område	område
säkra	säkra
uppgivna	uppgivna
fullbordades	fullbordades
förkunnade	förkunnade
lovade	lovade
borttappade	borttappade
fare	fare
välvt	välvt
röra	röra
lidande	lidande
utbytte	utbytte
uppsatte	uppsatte
omvända	omvända
Vars	Vars
hållna	hållna
läras	läras
boks	boks
fläkt	fläkt
renat	renat
fast	fast
upprörd	upprörd
vårdare	vårdare
valvet	valvet
nedbrytes	nedbrytes
sås	sås
födda	födda
upplagda	upplagda
lycka	lycka
hornet	hornet
bröllopet	bröllopet
trälarbete	trälarbete
höres	höres
uppsöka	uppsöka
döda	döda
uppgives	uppgives
förlösa	förlösa
utbredde	utbredde
driven	driven
budens	budens
rätta	rätta
Edens	Edens
byta	byta
manas	manas
blive	blive
mätte	mätte
tyckes	tyckes
hala	hala
klädda	klädda
välva	välva
armen	armen
besöka	besöka
ark	ark
avsöndrades	avsöndrades
skänkt	skänkt
lutade	lutade
gränserna	gränserna
utsläcka	utsläcka
löses	löses
dödsriket	dödsriket
uppföda	uppföda
ene	ene
moln	moln
bjudes	bjudes
bedrage	bedrage
fallen	fallen
komma	komma
frågade	frågade
sitta	sitta
förrättade	förrättade
miste	miste
blåses	blåses
stärkt	stärkt
predikat	predikat
torg	torg
drive	drive
spridde	spridde
Ord	Ord
förtrycka	förtrycka
väckes	väckes
bitarna	bitarna
slungade	slungade
fördömda	fördömda
nästa	nästa
öppnade	öppnade
förgäta	förgäta
gripes	gripes
gode	gode
fadern	fadern
förlåtna	förlåtna
glädes	glädes
avmäta	avmäta
mods	mods
vakar	vakar
bereda	bereda
förlika	förlika
friköpa	friköpa
strålade	strålade
mätt	mätt
rullas	rullas
upprört	upprört
man	man
stänga	stänga
förbrännes	förbrännes
fälla	fälla
vitt	vitt
stört	stört
fördärvades	fördärvades
borrade	borrade
byggnadsverk	byggnadsverk
antända	antända
aktades	aktades
sakerna	sakerna
slätt	slätt
minska	minska
fria	fria
sänkas	sänkas
leva	leva
göra	göra
göres	göres
alltings	alltings
Gud	Gud
dragen	dragen
ålägga	ålägga
sprida	sprida
förgjorda	förgjorda
jagades	jagades
bortförda	bortförda
hämtades	hämtades
hjulet	hjulet
gäckas	gäckas
utsläckes	utsläckes
släktet	släktet
segrar	segrar
bäre	bäre
vars	vars
gästabud	gästabud
sändebudet	sändebudet
Vårt	Vårt
knyte	knyte
beredde	beredde
förfares	förfares
bjuda	bjuda
upplysa	upplysa
hörsamma	hörsamma
fårs	fårs
ringare	ringare
snöret	snöret
säljes	säljes
förbudet	förbudet
fläka	fläka
sänkt	sänkt
dammarna	dammarna
bakhållet	bakhållet
avskilda	avskilda
födas	födas
smältas	smältas
namn	namn
fots	fots
jubelår	jubelår
täcka	täcka
upplöses	upplöses
togs	togs
strålande	strålande
klagoropet	klagoropet
uppförd	uppförd
rena	rena
frambära	frambära
följd	följd
uppgiven	uppgiven
lösa	lösa
kläder	kläder
fylld	fylld
betäckt	betäckt
Esters	Esters
övergiva	övergiva
dukade	dukade
sköta	sköta
vant	vant
taga	taga
slagen	slagen
uppståndna	uppståndna
loven	loven
spenabarn	spenabarn
modet	modet
hölja	hölja
bohag	bohag
jämnas	jämnas
löftet	löftet
Talar	Talar
talades	talades
uppenbarade	uppenbarade
möta	möta
betrodda	betrodda
stige	stige
beredda	beredda
släckt	släckt
Israel	Israel
avfallen	avfallen
avvändes	avvändes
satte	satte
överlämnade	överlämnade
bedrives	bedrives
hon	hon
påbud	påbud
skadade	skadade
undantagna	undantagna
sträckt	sträckt
Vare	Vare
vise	vise
väges	väges
firade	firade
altare	altare
utstakade	utstakade
förjagade	förjagade
minnes	minnes
övrigas	övrigas
viskas	viskas
många	många
Vaken	Vaken
påskalamm	påskalamm
hacka	hacka
väcka	väcka
vända	vända
uppfödde	uppfödde
åts	åts
röres	röres
bitens	bitens
arks	arks
snara	snara
djur	djur
förtryckt	förtryckt
döva	döva
strids	strids
kända	kända
förtorkade	förtorkade
utkräves	utkräves
Faraos	Faraos
förleder	förleder
konungadöme	konungadöme
murar	murar
beskärd	beskärd
svävande	svävande
funne	funne
saknas	saknas
livet	livet
gudsfruktans	gudsfruktans
böjde	böjde
mista	mista
tankar	tankar
främmande	främmande
kärl	kärl
stötes	stötes
flyttades	flyttades
förståndet	förståndet
sänka	sänka
bådas	bådas
bälte	bälte
tändas	tändas
vätt	vätt
täckt	täckt
hemsökes	hemsökes
dolda	dolda
hoppas	hoppas
trampade	trampade
tystade	tystade
Mana	Mana
skäras	skäras
give	give
smide	smide
säges	säges
fästas	fästas
tage	tage
stickade	stickade
upphöjd	upphöjd
utstött	utstött
tårarna	tårarna
uppbygga	uppbygga
näst	näst
utdelade	utdelade
stormades	stormades
falle	falle
inrättades	inrättades
förgöres	förgöres
uppdraget	uppdraget
anstiftades	anstiftades
Hela	Hela
modersskötet	modersskötet
backar	backar
betryckte	betryckte
märkt	märkt
eds	eds
värde	värde
inbyggare	inbyggare
överdragna	överdragna
loge	loge
smälte	smälte
gjuta	gjuta
vanärade	vanärade
dräpa	dräpa
Simma	Simma
bönerna	bönerna
upplöst	upplöst
svävade	svävade
släckes	släckes
edens	edens
sjuka	sjuka
förstörda	förstörda
fiskar	fiskar
förda	förda
synas	synas
upptända	upptända
gods	gods
stjäla	stjäla
skarpa	skarpa
oxens	oxens
träd	träd
förstånd	förstånd
utsprida	utsprida
hyst	hyst
klädde	klädde
inrättade	inrättade
tankarna	tankarna
vädurens	vädurens
armod	armod
byar	byar
drogs	drogs
skuren	skuren
stycken	stycken
äta	äta
församlas	församlas
agat	agat
anklagades	anklagades
sitter	sitter
ort	ort
upprättade	upprättade
lyfta	lyfta
rättfärdiga	rättfärdiga
nästas	nästas
blodbad	blodbad
kännes	kännes
rike	rike
Heles	Heles
förfärade	förfärade
bygges	bygges
övergive	övergive
vilddjur	vilddjur
anställa	anställa
rörande	rörande
tränga	tränga
stoderna	stoderna
sons	sons
ställa	ställa
gemak	gemak
förenade	förenade
sändas	sändas
torget	torget
utföra	utföra
Benjamins	Benjamins
förskräcka	förskräcka
givna	givna
berömde	berömde
log	log
fördömd	fördömd
kallas	kallas
trygga	trygga
sköljes	sköljes
stupade	stupade
syns	syns
födde	födde
kokte	kokte
ödmjukade	ödmjukade
följda	följda
murbruk	murbruk
berg	berg
klippa	klippa
domarna	domarna
dricka	dricka
kallade	kallade
odjur	odjur
ålägges	ålägges
vrides	vrides
befästas	befästas
röras	röras
komme	komme
anskaffade	anskaffade
