penningar	penningar
ställd	ställd
axet	axet
inbyggares	inbyggares
klövarna	klövarna
läka	läka
förtäre	förtäre
rädd	rädd
släckt	släckt
beskärt	beskärt
förtorkades	förtorkades
inmönstrades	inmönstrades
avfallna	avfallna
fare	fare
bytte	bytte
försåt	försåt
flyttades	flyttades
slås	slås
släkterna	släkterna
klipper	klipper
fören	fören
hela	hela
Et	Et
förödes	förödes
antalet	antalet
ära	ära
gjuta	gjuta
vit	vit
känna	känna
svansarna	svansarna
tjänade	tjänade
upphäva	upphäva
lämnades	lämnades
oxens	oxens
fördöma	fördöma
dyrkades	dyrkades
nedbryta	nedbryta
byarna	byarna
kyssa	kyssa
undersökt	undersökt
renades	renades
överstes	överstes
binda	binda
föröda	föröda
renat	renat
armod	armod
palats	palats
uppfylle	uppfylle
bortförde	bortförde
Båda	Båda
dödande	dödande
lyftes	lyftes
bygga	bygga
taga	taga
läkt	läkt
behövande	behövande
hörsammades	hörsammades
Israel	Israel
bytt	bytt
valvet	valvet
Meriba	Meriba
vänd	vänd
förstörda	förstörda
hemsökt	hemsökt
förstöres	förstöres
förbrännes	förbrännes
sån	sån
spjutet	spjutet
uppföra	uppföra
sköta	sköta
fat	fat
stickade	stickade
omsnärjer	omsnärjer
hysa	hysa
betrycktes	betrycktes
upprätta	upprätta
rörande	rörande
mätta	mätta
varen	varen
stötte	stötte
sjunge	sjunge
upptända	upptända
Dessa	Dessa
Meribas	Meribas
fyllt	fyllt
talar	talar
förbytes	förbytes
upprättade	upprättade
Faders	Faders
avskära	avskära
ödmjukade	ödmjukade
hörsamma	hörsamma
bindes	bindes
skölja	skölja
sås	sås
sätta	sätta
mätte	mätte
utrotade	utrotade
Fadern	Fadern
Talar	Talar
Antikrists	Antikrists
genomsöka	genomsöka
Nod	Nod
stjälen	stjälen
arglistighet	arglistighet
utsända	utsända
vindarna	vindarna
föreläses	föreläses
stadgas	stadgas
döpt	döpt
enas	enas
stjäl	stjäl
undersöka	undersöka
Aner	Aner
krossades	krossades
besökt	besökt
handlar	handlar
binde	binde
bortkastad	bortkastad
kläde	kläde
blygas	blygas
följd	följd
borttappade	borttappade
köpebrevet	köpebrevet
förlika	förlika
flottar	flottar
Obed	Obed
borgar	borgar
förgöres	förgöres
nästas	nästas
No	No
tabernakel	tabernakel
föra	föra
lovade	lovade
utgöra	utgöra
Vårt	Vårt
veten	veten
uppfylles	uppfylles
avsöndrade	avsöndrade
krossade	krossade
upptecknade	upptecknade
värden	värden
Öga	Öga
vinna	vinna
kysst	kysst
budens	budens
vanära	vanära
mana	mana
ena	ena
molnet	molnet
länder	länder
Land	Land
lägg	lägg
djur	djur
förtära	förtära
vanärade	vanärade
fälles	fälles
jämnas	jämnas
omringade	omringade
huset	huset
buds	buds
Lemeks	Lemeks
öppnades	öppnades
arv	arv
behöves	behöves
strålade	strålade
trampa	trampa
byar	byar
offrade	offrade
efterfölja	efterfölja
borttappat	borttappat
upphöjda	upphöjda
fyllda	fyllda
slita	slita
omgives	omgives
dröja	dröja
åka	åka
omfång	omfång
pressade	pressade
utfärdade	utfärdade
utsläckes	utsläckes
ed	ed
frambäres	frambäres
fattas	fattas
Stället	Stället
utlyst	utlyst
Sisak	Sisak
kände	kände
uppfyll	uppfyll
trygga	trygga
springare	springare
lever	lever
garn	garn
hyllade	hyllade
trängde	trängde
Hulda	Hulda
fåren	fåren
taket	taket
Berias	Berias
Baals	Baals
stenröse	stenröse
sons	sons
släkt	släkt
fråga	fråga
åker	åker
Natans	Natans
söks	söks
församlade	församlade
vakttornet	vakttornet
sändas	sändas
