skipt	skipt
komast	komast
opið	opið
klæði	klæði
síðastur	síðastur
varna	varna
hýstum	hýstum
heiðurinn	heiðurinn
Hef	Hef
breytt	breytt
mörk	mörk
hlið	hlið
þessir	þessir
hafir	hafir
hefðum	hefðum
leyndum	leyndum
líkir	líkir
þjáist	þjáist
þeirra	þeirra
fylltur	fylltur
skrifa	skrifa
allir	allir
elskum	elskum
söfnuð	söfnuð
hljómað	hljómað
gjörðuð	gjörðuð
þarfir	þarfir
hliðum	hliðum
heyrðir	heyrðir
styrktu	styrktu
skildir	skildir
leysa	leysa
spáði	spáði
heiti	heiti
fisk	fisk
rek	rek
dæmdu	dæmdu
leita	leita
hliðið	hliðið
valda	valda
skipa	skipa
dans	dans
heiður	heiður
söfnuðu	söfnuðu
heyrðuð	heyrðuð
fæddur	fæddur
metast	metast
fáist	fáist
Þessa	Þessa
ráða	ráða
eigist	eigist
þínu	þínu
nefndir	nefndir
Hefur	Hefur
móðu	móðu
skjótt	skjótt
breyttu	breyttu
tíða	tíða
verk	verk
fæddu	fæddu
biðjast	biðjast
elskaði	elskaði
klæddum	klæddum
múr	múr
kasti	kasti
missir	missir
rifið	rifið
síðasta	síðasta
Hvor	Hvor
burtu	burtu
starfi	starfi
helgum	helgum
málum	málum
safnast	safnast
akur	akur
rigni	rigni
vor	vor
drepa	drepa
hrekja	hrekja
Æðst	Æðst
Ert	Ert
síðast	síðast
fljótir	fljótir
þvo	þvo
ákveðið	ákveðið
nefnda	nefnda
ráð	ráð
haldast	haldast
helgast	helgast
leitt	leitt
mættuð	mættuð
gefin	gefin
þúsundunum	þúsundunum
hluti	hluti
hrærði	hrærði
eyrum	eyrum
sérhvert	sérhvert
lokum	lokum
þriðja	þriðja
leyfum	leyfum
áhugi	áhugi
þörfum	þörfum
neyddu	neyddu
flokka	flokka
salt	salt
ala	ala
fimmta	fimmta
byggðir	byggðir
hagi	hagi
þau	þau
seldur	seldur
dæmist	dæmist
Mannssoninn	Mannssoninn
dauða	dauða
ná	ná
þrem	þrem
enn	enn
sleppt	sleppt
færði	færði
minnast	minnast
skírist	skírist
reiðir	reiðir
borð	borð
flettu	flettu
tíð	tíð
byggist	byggist
síðastir	síðastir
þekkt	þekkt
sjúkdóma	sjúkdóma
sjálfur	sjálfur
tíðum	tíðum
þýðast	þýðast
Mæli	Mæli
nokkur	nokkur
sæti	sæti
gerist	gerist
leysir	leysir
slíkum	slíkum
lærast	lærast
hryggist	hryggist
breyta	breyta
háls	háls
fluttur	fluttur
styrkti	styrkti
borðið	borðið
segir	segir
báðum	báðum
mundir	mundir
fenguð	fenguð
saltast	saltast
anda	anda
hræddur	hræddur
undir	undir
gangi	gangi
Kristi	Kristi
náið	náið
fylla	fylla
færir	færir
Eruð	Eruð
vissa	vissa
fjarlægð	fjarlægð
gleði	gleði
Leita	Leita
andaði	andaði
vörunum	vörunum
sjöunda	sjöunda
mun	mun
reynast	reynast
tala	tala
keypti	keypti
færðuð	færðuð
skýrði	skýrði
met	met
hefur	hefur
sín	sín
Dauði	Dauði
svaraði	svaraði
Hvert	Hvert
Þess	Þess
berð	berð
hóp	hóp
læsti	læsti
Fyrstur	Fyrstur
leit	leit
mál	mál
Enga	Enga
Þau	Þau
Látið	Látið
fyrstum	fyrstum
skírast	skírast
byggðum	byggðum
birtum	birtum
Getur	Getur
verið	verið
