Krist	Krist
hálsinn	hálsinn
megið	megið
þekkist	þekkist
fyrstir	fyrstir
hins	hins
þótt	þótt
sín	sín
leysir	leysir
byggða	byggða
Guði	Guði
brenna	brenna
berð	berð
lögð	lögð
sinna	sinna
Hafi	Hafi
eitur	eitur
fiska	fiska
rótfestir	rótfestir
leiddi	leiddi
fjarlægð	fjarlægð
ilmjurtir	ilmjurtir
mættuð	mættuð
skipti	skipti
gegnt	gegnt
heilsu	heilsu
Þess	Þess
Hvort	Hvort
skrifa	skrifa
liði	liði
kallast	kallast
hlýddi	hlýddi
minnstu	minnstu
hvílir	hvílir
mína	mína
liðinn	liðinn
skjóta	skjóta
háum	háum
sagna	sagna
gæti	gæti
höndla	höndla
þakkað	þakkað
dans	dans
hugi	hugi
hefðu	hefðu
missti	missti
séu	séu
hötuðum	hötuðum
styrk	styrk
boða	boða
langað	langað
vík	vík
Komum	Komum
deyðir	deyðir
seldur	seldur
elskaði	elskaði
mættum	mættum
óvirt	óvirt
fylltur	fylltur
varðveitast	varðveitast
brennur	brennur
líkt	líkt
hengduð	hengduð
skylduð	skylduð
tölu	tölu
leysti	leysti
gríska	gríska
heitt	heitt
Sjálfir	Sjálfir
giftist	giftist
útlista	útlista
engum	engum
fæddir	fæddir
flesta	flesta
þriðju	þriðju
Annað	Annað
hljómaði	hljómaði
værum	værum
leysa	leysa
skilin	skilin
skalt	skalt
hrekjast	hrekjast
heima	heima
sigurinn	sigurinn
skildist	skildist
síðasta	síðasta
úti	úti
brotið	brotið
þekktu	þekktu
Naksons	Naksons
hvílist	hvílist
gjörist	gjörist
send	send
muni	muni
raustar	raustar
foreldrunum	foreldrunum
birtum	birtum
næstur	næstur
fjórir	fjórir
eigin	eigin
heyrast	heyrast
talaði	talaði
breyta	breyta
Hafði	Hafði
ali	ali
Allur	Allur
gullið	gullið
Leitast	Leitast
blindum	blindum
hinum	hinum
velþóknanleg	velþóknanleg
settum	settum
svarið	svarið
flestir	flestir
Getum	Getum
kenni	kenni
fyllti	fyllti
Fyrstur	Fyrstur
skjótum	skjótum
lýsti	lýsti
segist	segist
standa	standa
hvílíkar	hvílíkar
heilla	heilla
sakargift	sakargift
talast	talast
skamma	skamma
elskum	elskum
mælist	mælist
skrifaði	skrifaði
þrýstir	þrýstir
nefnt	nefnt
fundinn	fundinn
klæðast	klæðast
hryggist	hryggist
óvirti	óvirti
heiti	heiti
sýnist	sýnist
boðið	boðið
segir	segir
postuladóms	postuladóms
denarinn	denarinn
skilið	skilið
ytri	ytri
lofgjörð	lofgjörð
boðum	boðum
fleygði	fleygði
sendir	sendir
hittu	hittu
veittuð	veittuð
brúðkaupsgestum	brúðkaupsgestum
kröftugt	kröftugt
neinn	neinn
sinni	sinni
ættfeðurna	ættfeðurna
týndur	týndur
dána	dána
lifnaði	lifnaði
skapa	skapa
brott	brott
umskornu	umskornu
dáið	dáið
hefur	hefur
værir	værir
hötuðu	hötuðu
fæddu	fæddu
spillti	spillti
kristinna	kristinna
náðu	náðu
mín	mín
Haf	Haf
mínu	mínu
flokkur	flokkur
fléttum	fléttum
samkundustjóri	samkundustjóri
langaði	langaði
öðlast	öðlast
hvílast	hvílast
félagi	félagi
Hafa	Hafa
vissum	vissum
múrinn	múrinn
líki	líki
vara	vara
Mun	Mun
mátti	mátti
krossfestuð	krossfestuð
valda	valda
einhverja	einhverja
sóttu	sóttu
þakka	þakka
starfi	starfi
búist	búist
spyrjist	spyrjist
liðið	liðið
hafi	hafi
heimta	heimta
móðu	móðu
halda	halda
fjarlægir	fjarlægir
Hvern	Hvern
mær	mær
haga	haga
kunnir	kunnir
leitum	leitum
hvorir	hvorir
aukist	aukist
hinir	hinir
Enga	Enga
samkundustjóra	samkundustjóra
Hvað	Hvað
valdið	valdið
höndlað	höndlað
yrðum	yrðum
reiði	reiði
eigna	eigna
hverjir	hverjir
stökkti	stökkti
Fyrir	Fyrir
safnað	safnað
grein	grein
fórnfærði	fórnfærði
drukkið	drukkið
stóra	stóra
rekið	rekið
sinnar	sinnar
allir	allir
mínum	mínum
Enginn	Enginn
suma	suma
ríktu	ríktu
drukkna	drukkna
deyða	deyða
víst	víst
undur	undur
færð	færð
sætum	sætum
verki	verki
míns	míns
fleygt	fleygt
borga	borga
heim	heim
gjöra	gjöra
biðjast	biðjast
skírlífu	skírlífu
vissa	vissa
stökk	stökk
denar	denar
ytra	ytra
smaragður	smaragður
snúast	snúast
munir	munir
hætti	hætti
ofan	ofan
leystu	leystu
aldir	aldir
hégómamáls	hégómamáls
leyndum	leyndum
Lík	Lík
voru	voru
styrkist	styrkist
er	er
tala	tala
fullreynd	fullreynd
settu	settu
öllum	öllum
skírlífar	skírlífar
fiskinn	fiskinn
stóru	stóru
eyða	eyða
rótfestu	rótfestu
minn	minn
þrumum	þrumum
hvaða	hvaða
bærum	bærum
treystir	treystir
móður	móður
skömmum	skömmum
fremstur	fremstur
Koma	Koma
sína	sína
finnst	finnst
haf	haf
tunglsjúkur	tunglsjúkur
óvirtuð	óvirtuð
leggur	leggur
færðuð	færðuð
neytti	neytti
flettu	flettu
stæra	stæra
Mannssoninn	Mannssoninn
þínar	þínar
lið	lið
þeirri	þeirri
spá	spá
vonum	vonum
klædd	klædd
ein	ein
stór	stór
varðveitist	varðveitist
síðastur	síðastur
ríkdóminn	ríkdóminn
starfa	starfa
hneigðu	hneigðu
Engum	Engum
kosti	kosti
mínar	mínar
skuluð	skuluð
grísku	grísku
lokið	lokið
Hvert	Hvert
Allt	Allt
þrumu	þrumu
eigist	eigist
Æðst	Æðst
lærðuð	lærðuð
vanheilagan	vanheilagan
heyrði	heyrði
Asía	Asía
opna	opna
gengið	gengið
Sendu	Sendu
auk	auk
sumu	sumu
Mannssonur	Mannssonur
græddir	græddir
reki	reki
neitt	neitt
munduð	munduð
fylla	fylla
þrengingar	þrengingar
virði	virði
veikt	veikt
snúið	snúið
hvílíkir	hvílíkir
málum	málum
þóttist	þóttist
talentu	talentu
tíðir	tíðir
reiðin	reiðin
loka	loka
höndli	höndli
sendur	sendur
virðist	virðist
hryggi	hryggi
opið	opið
líkist	líkist
dæmi	dæmi
gróðaveg	gróðaveg
mærin	mærin
raust	raust
setta	setta
dæmdu	dæmdu
leitast	leitast
valið	valið
samboðna	samboðna
trú	trú
heiman	heiman
Þessa	Þessa
ráðast	ráðast
skipi	skipi
vanheilagt	vanheilagt
drepa	drepa
svara	svara
háls	háls
byggði	byggði
ríkdómi	ríkdómi
uppvekur	uppvekur
sleppt	sleppt
keypti	keypti
reyndir	reyndir
anda	anda
hlýddu	hlýddu
hýstum	hýstum
kjörið	kjörið
líkir	líkir
þinn	þinn
kallaði	kallaði
heita	heita
síst	síst
hugsaði	hugsaði
hafna	hafna
notað	notað
stundu	stundu
brennu	brennu
eigi	eigi
týnda	týnda
engar	engar
leyndu	leyndu
lofi	lofi
höfðuð	höfðuð
engan	engan
skulum	skulum
órétti	órétti
freistað	freistað
skiptið	skiptið
Skyldum	Skyldum
kæra	kæra
nefnist	nefnist
greini	greini
krossfestan	krossfestan
auki	auki
leiddu	leiddu
misgjörða	misgjörða
vitru	vitru
kjörinn	kjörinn
skipaði	skipaði
lastmælt	lastmælt
lofgjörðin	lofgjörðin
fundið	fundið
hræðast	hræðast
hinar	hinar
lauk	lauk
kæru	kæru
keyptu	keyptu
ýmiss	ýmiss
hvílíkum	hvílíkum
þörf	þörf
lok	lok
breytt	breytt
hvor	hvor
snerist	snerist
tilreiknast	tilreiknast
fjórum	fjórum
orð	orð
skækjan	skækjan
Hvaðan	Hvaðan
sleppir	sleppir
leitaði	leitaði
dæma	dæma
hætt	hætt
eru	eru
settur	settur
flokka	flokka
meira	meira
vaka	vaka
hliðin	hliðin
mest	mest
vaxi	vaxi
Suma	Suma
lík	lík
krossfestir	krossfestir
gjörður	gjörður
þremur	þremur
undan	undan
tilreiknaði	tilreiknaði
öðlist	öðlist
þekktuð	þekktuð
ráði	ráði
hengdi	hengdi
inni	inni
væri	væri
borði	borði
vissu	vissu
einhver	einhver
allan	allan
nokkru	nokkru
þekkt	þekkt
málið	málið
aftra	aftra
yrði	yrði
verðið	verðið
sendi	sendi
orðið	orðið
sjálfur	sjálfur
skipa	skipa
gefin	gefin
ræddu	ræddu
báðum	báðum
ættfeðurnir	ættfeðurnir
þakkaði	þakkaði
láta	láta
fengin	fengin
þolið	þolið
sjötti	sjötti
réttur	réttur
þrengingu	þrengingu
fyrstur	fyrstur
glerhafið	glerhafið
þessa	þessa
síið	síið
mælir	mælir
gjörðuð	gjörðuð
vitrað	vitrað
Inn	Inn
opinber	opinber
sum	sum
krossfestur	krossfestur
jafnt	jafnt
opnaði	opnaði
fluttu	fluttu
gætt	gætt
slíkir	slíkir
gjaldið	gjaldið
gjörast	gjörast
lastmælir	lastmælir
skýrt	skýrt
hópa	hópa
mínir	mínir
deyðast	deyðast
þúsundunum	þúsundunum
ert	ert
met	met
syndgið	syndgið
byggist	byggist
lagt	lagt
andaði	andaði
leggst	leggst
yrðuð	yrðuð
komst	komst
þýðast	þýðast
fylltir	fylltir
fundin	fundin
skírast	skírast
Hafið	Hafið
auka	auka
Kom	Kom
klæðum	klæðum
máli	máli
flétta	flétta
sjúkdómur	sjúkdómur
ættu	ættu
spáðu	spáðu
Munum	Munum
virtuð	virtuð
leiða	leiða
neinu	neinu
Mælir	Mælir
styrktu	styrktu
gengi	gengi
ákærðu	ákærðu
raustin	raustin
sást	sást
þínum	þínum
ríkdóm	ríkdóm
þín	þín
þriðji	þriðji
heyrðu	heyrðu
var	var
þekktur	þekktur
verði	verði
neytt	neytt
tunglsjúka	tunglsjúka
fjarlægt	fjarlægt
felldur	felldur
myrtu	myrtu
undir	undir
fyrstu	fyrstu
ræða	ræða
hornum	hornum
dreif	dreif
bestu	bestu
Hvar	Hvar
horfði	horfði
hljómað	hljómað
gerast	gerast
þvoðu	þvoðu
hluta	hluta
misst	misst
lastmæla	lastmæla
umskornir	umskornir
kross	kross
stærir	stærir
tíð	tíð
leggi	leggi
felldu	felldu
Hefur	Hefur
krossinn	krossinn
rifið	rifið
annan	annan
þvost	þvost
varst	varst
bæta	bæta
mun	mun
gerði	gerði
hefðarsætin	hefðarsætin
söfnuð	söfnuð
síður	síður
hvílu	hvílu
framan	framan
stærum	stærum
en	en
veikir	veikir
sagt	sagt
styrki	styrki
hræddir	hræddir
djúp	djúp
klædduð	klædduð
vetur	vetur
missir	missir
farast	farast
þessir	þessir
stær	stær
salt	salt
virti	virti
ráða	ráða
megum	megum
safna	safna
norður	norður
rifi	rifi
spillist	spillist
hvaðan	hvaðan
hneigði	hneigði
þrengingin	þrengingin
kær	kær
sjúkdóm	sjúkdóm
greina	greina
settuð	settuð
þessu	þessu
sýnast	sýnast
drýgðu	drýgðu
lofið	lofið
fundum	fundum
boðaði	boðaði
birtast	birtast
Allir	Allir
horfðu	horfðu
leyfi	leyfi
spilltur	spilltur
þíns	þíns
burt	burt
fylltu	fylltu
syndgum	syndgum
gjörðu	gjörðu
upp	upp
mörkum	mörkum
bundið	bundið
sé	sé
mund	mund
velþóknanlegur	velþóknanlegur
hvern	hvern
hlið	hlið
stæri	stæri
fiskurinn	fiskurinn
þinni	þinni
komna	komna
áhugi	áhugi
reyndur	reyndur
greinunum	greinunum
náið	náið
Skyldu	Skyldu
glatast	glatast
boði	boði
verk	verk
leyst	leyst
bættu	bættu
samboðin	samboðin
hliðum	hliðum
voruð	voruð
fást	fást
ræddi	ræddi
heitið	heitið
flokkinn	flokkinn
búna	búna
birtist	birtist
Erum	Erum
kærðu	kærðu
krossfest	krossfest
fljótt	fljótt
leyfðu	leyfðu
flytjist	flytjist
saurgað	saurgað
ritum	ritum
dæmið	dæmið
leyfa	leyfa
líkið	líkið
hittum	hittum
ríkir	ríkir
vísa	vísa
vissuð	vissuð
freistaði	freistaði
þekkti	þekkti
eyddist	eyddist
boð	boð
fiski	fiski
væru	væru
aftrar	aftrar
einhvern	einhvern
helgast	helgast
þreytast	þreytast
tíðum	tíðum
raustum	raustum
hýstuð	hýstuð
hvílíkur	hvílíkur
þína	þína
felldir	felldir
engu	engu
æptu	æptu
hugsast	hugsast
útlisti	útlisti
fletta	fletta
hrærði	hrærði
neitaði	neitaði
laukst	laukst
krossfesti	krossfesti
inn	inn
ákæra	ákæra
eina	eina
hóp	hóp
skyldu	skyldu
nokkrir	nokkrir
Hvor	Hvor
át	át
drekk	drekk
hópum	hópum
dansa	dansa
drepum	drepum
eitt	eitt
keyptir	keyptir
talentur	talentur
skil	skil
flokk	flokk
turn	turn
ríkið	ríkið
verð	verð
þessum	þessum
gengist	gengist
byggður	byggður
ferst	ferst
fyrsta	fyrsta
þjást	þjást
ráð	ráð
hald	hald
ber	ber
Hef	Hef
ríkt	ríkt
höfða	höfða
skækjur	skækjur
hengdu	hengdu
nefnda	nefnda
leiðin	leiðin
heitir	heitir
skjótt	skjótt
nefndur	nefndur
Sumir	Sumir
syndgar	syndgar
fluttur	fluttur
mundir	mundir
sjúkdóma	sjúkdóma
slíkum	slíkum
elska	elska
metast	metast
æðstu	æðstu
hrista	hrista
annast	annast
fullnuð	fullnuð
Hvaða	Hvaða
þeirrar	þeirrar
færist	færist
áliti	áliti
rétta	rétta
meta	meta
skulu	skulu
giftast	giftast
safnaði	safnaði
þriðja	þriðja
sérhvern	sérhvern
síðastir	síðastir
henni	henni
skírði	skírði
byggðum	byggðum
gjalda	gjalda
hef	hef
eigið	eigið
sjálfan	sjálfan
Getur	Getur
hvílíkan	hvílíkan
fórnfært	fórnfært
senduð	senduð
byggðir	byggðir
áttunda	áttunda
báðar	báðar
Hverja	Hverja
bundna	bundna
næst	næst
staðinn	staðinn
öllu	öllu
sigur	sigur
sést	sést
hrekja	hrekja
flettir	flettir
flokkum	flokkum
völdum	völdum
ríkdómur	ríkdómur
ríkti	ríkti
græddi	græddi
vitrir	vitrir
völdu	völdu
hórkarl	hórkarl
það	það
þúsundum	þúsundum
trúðu	trúðu
látna	látna
annað	annað
huldu	huldu
horfum	horfum
styrkir	styrkir
eignarlýður	eignarlýður
postuladómi	postuladómi
birti	birti
neyddu	neyddu
meir	meir
hafið	hafið
gjörir	gjörir
brúðkaupsgestir	brúðkaupsgestir
gangast	gangast
best	best
jafnir	jafnir
lifnaður	lifnaður
foreldrum	foreldrum
flytjast	flytjast
drekkið	drekkið
birta	birta
vona	vona
dæmast	dæmast
hverja	hverja
stóð	stóð
of	of
fimmti	fimmti
berst	berst
lifðu	lifðu
helgi	helgi
kastið	kastið
kringum	kringum
höfum	höfum
neinir	neinir
alda	alda
minnast	minnast
skildum	skildum
Hin	Hin
búið	búið
ala	ala
hristu	hristu
leiddir	leiddir
heilsaði	heilsaði
mætti	mætti
ráðið	ráðið
eyrunum	eyrunum
velþóknanlegar	velþóknanlegar
samkundustjórunum	samkundustjórunum
hryggir	hryggir
langt	langt
hræðist	hræðist
múr	múr
seldir	seldir
minni	minni
óvirtir	óvirtir
merkti	merkti
Hinir	Hinir
alinn	alinn
læsti	læsti
mega	mega
núna	núna
hvílíka	hvílíka
sjálfir	sjálfir
lofaði	lofaði
minnsta	minnsta
jafnast	jafnast
hórkarlar	hórkarlar
órétt	órétt
rita	rita
eruð	eruð
misgjörðin	misgjörðin
ofar	ofar
gegn	gegn
aukið	aukið
þess	þess
skýrum	skýrum
nefnast	nefnast
slíkar	slíkar
nokkrar	nokkrar
Fyrst	Fyrst
loft	loft
skapi	skapi
Rétt	Rétt
æpti	æpti
breytist	breytist
Jasoni	Jasoni
þau	þau
byggðu	byggðu
lokum	lokum
gættu	gættu
sig	sig
skip	skip
slíkur	slíkur
hvílíks	hvílíks
sendum	sendum
háir	háir
alla	alla
kastað	kastað
dansaði	dansaði
norðan	norðan
bætti	bætti
rigni	rigni
fyllir	fyllir
slíku	slíku
heyrðum	heyrðum
heyrðuð	heyrðuð
breyttu	breyttu
vor	vor
byggð	byggð
minna	minna
eigur	eigur
leysast	leysast
fyllast	fyllast
haldið	haldið
enn	enn
kasti	kasti
