hlýddu	hlýddu
flestir	flestir
Hin	Hin
minnist	minnist
aftra	aftra
standa	standa
kastaði	kastaði
lok	lok
háls	háls
ákveðin	ákveðin
Hvaða	Hvaða
dæmdur	dæmdur
undan	undan
klæðum	klæðum
allur	allur
ræðu	ræðu
hvert	hvert
mínar	mínar
hliðið	hliðið
Skyldi	Skyldi
leyfðu	leyfðu
nefndur	nefndur
félagi	félagi
væru	væru
styrkir	styrkir
Látum	Látum
valdið	valdið
eitur	eitur
skömm	skömm
fluttu	fluttu
hafði	hafði
skömmum	skömmum
Eru	Eru
kasta	kasta
áttunda	áttunda
lastmæltu	lastmæltu
ert	ert
gjörðu	gjörðu
eru	eru
lík	lík
lauk	lauk
ilmjurtir	ilmjurtir
vissa	vissa
biðjist	biðjist
bæta	bæta
Líkt	Líkt
höfðu	höfðu
þekkti	þekkti
óvirt	óvirt
heimta	heimta
ríkdóms	ríkdóms
horfði	horfði
krossfest	krossfest
enga	enga
syndgum	syndgum
enginn	enginn
færði	færði
þoli	þoli
náið	náið
gátuð	gátuð
minnast	minnast
dæmdir	dæmdir
einhver	einhver
allan	allan
ákæra	ákæra
lifðu	lifðu
slíkur	slíkur
kórónu	kórónu
dansaði	dansaði
ræddi	ræddi
skjótt	skjótt
fara	fara
færir	færir
glerhafið	glerhafið
sakargift	sakargift
sjúkdóm	sjúkdóm
huga	huga
engar	engar
Fyrst	Fyrst
ríkið	ríkið
spáðu	spáðu
Koma	Koma
síðast	síðast
vörum	vörum
skírði	skírði
leysa	leysa
fiskinn	fiskinn
heyrðu	heyrðu
þín	þín
kæra	kæra
klæðast	klæðast
jafna	jafna
vona	vona
sigurinn	sigurinn
þúsundunum	þúsundunum
langaði	langaði
skrifaði	skrifaði
þjáist	þjáist
líkir	líkir
öðru	öðru
næsta	næsta
haga	haga
sjötta	sjötta
gegnt	gegnt
þriðji	þriðji
sjúkdómur	sjúkdómur
krossfestu	krossfestu
kom	kom
sýnduð	sýnduð
mærin	mærin
eyddist	eyddist
hvar	hvar
hópinn	hópinn
stundum	stundum
höndli	höndli
Hvort	Hvort
tilreiknast	tilreiknast
þrengingar	þrengingar
fimmti	fimmti
ber	ber
sóttu	sóttu
trúa	trúa
met	met
þína	þína
klæða	klæða
þrýstu	þrýstu
báðar	báðar
keypti	keypti
nokkrum	nokkrum
byggir	byggir
dæmt	dæmt
hryggir	hryggir
klæddir	klæddir
skýrðu	skýrðu
sinnar	sinnar
leiðir	leiðir
segir	segir
þrengdist	þrengdist
þriðja	þriðja
leggst	leggst
Hvorn	Hvorn
heitir	heitir
alls	alls
vaka	vaka
kunna	kunna
reyndur	reyndur
misgjörðin	misgjörðin
biðjast	biðjast
sums	sums
hræðist	hræðist
gangast	gangast
fljótt	fljótt
hræddir	hræddir
Hvað	Hvað
birti	birti
ræddu	ræddu
munum	munum
háum	háum
alda	alda
jafnir	jafnir
átuð	átuð
græddi	græddi
Mannssonur	Mannssonur
sendur	sendur
nefnt	nefnt
öðrum	öðrum
hafi	hafi
drepum	drepum
byggðum	byggðum
leitast	leitast
gjaldið	gjaldið
stóru	stóru
ritum	ritum
lofaði	lofaði
aftrar	aftrar
núna	núna
nokkurt	nokkurt
fiskurinn	fiskurinn
neitaði	neitaði
fæðu	fæðu
borga	borga
ríki	ríki
veitast	veitast
söfnuð	söfnuð
fæða	fæða
snúast	snúast
skilinn	skilinn
annan	annan
látið	látið
hugi	hugi
Lík	Lík
vanheilagt	vanheilagt
eyða	eyða
fært	fært
merkir	merkir
brennur	brennur
vonum	vonum
hégómamáls	hégómamáls
settir	settir
Rétt	Rétt
umskornu	umskornu
ráð	ráð
síðu	síðu
Naksons	Naksons
yrði	yrði
sumu	sumu
útlisti	útlisti
flokkum	flokkum
fremst	fremst
minnst	minnst
höfða	höfða
fengin	fengin
ályktaði	ályktaði
opnast	opnast
þekkt	þekkt
veikir	veikir
fundum	fundum
seldu	seldu
leiddir	leiddir
ráða	ráða
gætum	gætum
gengi	gengi
Sumir	Sumir
slíka	slíka
raustin	raustin
hlýst	hlýst
spillast	spillast
síið	síið
munið	munið
þrýstir	þrýstir
merkti	merkti
mega	mega
kysstu	kysstu
leyfa	leyfa
leyst	leyst
aukist	aukist
varðveitti	varðveitti
vara	vara
þessa	þessa
sjöunda	sjöunda
horn	horn
fullyrti	fullyrti
fórnfært	fórnfært
getur	getur
grein	grein
nokkru	nokkru
boðin	boðin
ríkdómi	ríkdómi
langt	langt
gættu	gættu
dauða	dauða
ríkdóminn	ríkdóminn
rétt	rétt
fórnfæra	fórnfæra
Kom	Kom
lofi	lofi
gjörist	gjörist
velþóknanlegar	velþóknanlegar
réttur	réttur
liðið	liðið
fæddur	fæddur
ferst	ferst
áhuga	áhuga
tíð	tíð
skrifum	skrifum
sjötti	sjötti
Krist	Krist
dáið	dáið
fyrsti	fyrsti
öðlist	öðlist
spáði	spáði
neinn	neinn
lagður	lagður
Sjálfir	Sjálfir
Fyrir	Fyrir
kristinna	kristinna
heitt	heitt
sinn	sinn
jafnt	jafnt
settum	settum
deyðið	deyðið
boð	boð
einu	einu
fullreyndin	fullreyndin
slíkir	slíkir
sig	sig
mínu	mínu
fjórum	fjórum
samkundustjórunum	samkundustjórunum
leitt	leitt
fenguð	fenguð
gangi	gangi
fjóra	fjóra
langi	langi
lifnaður	lifnaður
hvílík	hvílík
Sendu	Sendu
rifið	rifið
Send	Send
var	var
alinn	alinn
vísa	vísa
fundinn	fundinn
víkur	víkur
ríkir	ríkir
Hvert	Hvert
syndgið	syndgið
neinir	neinir
hreinsast	hreinsast
skiptir	skiptir
líkt	líkt
meir	meir
trúðu	trúðu
þíns	þíns
leggi	leggi
annað	annað
verða	verða
hef	hef
græddir	græddir
læsir	læsir
flytjist	flytjist
smaragður	smaragður
hórkarlar	hórkarlar
leiddur	leiddur
Allur	Allur
kenni	kenni
gjörir	gjörir
sleppt	sleppt
bættu	bættu
svarið	svarið
hötuðu	hötuðu
hræddur	hræddur
postuladóms	postuladóms
Allir	Allir
fæddir	fæddir
höfum	höfum
næstur	næstur
hálsinn	hálsinn
raustum	raustum
skjótast	skjótast
megið	megið
Munum	Munum
fyllast	fyllast
kröftugi	kröftugi
hvílt	hvílt
hliðum	hliðum
denarinn	denarinn
kvæntist	kvæntist
staðinn	staðinn
Suma	Suma
Sum	Sum
skipta	skipta
Þau	Þau
hópum	hópum
heilsu	heilsu
vakir	vakir
skildum	skildum
talast	talast
