anda	anda
skulum	skulum
sæti	sæti
borgir	borgir
keypti	keypti
víkur	víkur
vissir	vissir
múrinn	múrinn
raust	raust
lögð	lögð
drýgðu	drýgðu
treystir	treystir
skalt	skalt
reiðir	reiðir
heilsa	heilsa
hálsinn	hálsinn
gengi	gengi
heyrast	heyrast
verðið	verðið
fjórir	fjórir
hætt	hætt
fæðu	fæðu
ættu	ættu
skömmum	skömmum
lifðu	lifðu
hefðu	hefðu
talentu	talentu
segist	segist
vík	vík
heyrðu	heyrðu
hagi	hagi
reyndir	reyndir
skírast	skírast
gátuð	gátuð
veitast	veitast
eigið	eigið
boða	boða
hötuðum	hötuðum
stundu	stundu
undur	undur
selduð	selduð
Leita	Leita
vissum	vissum
neyddur	neyddur
gátum	gátum
máttu	máttu
skipa	skipa
borga	borga
leyndu	leyndu
fremstur	fremstur
skipaði	skipaði
Hvern	Hvern
syndgar	syndgar
þrengdist	þrengdist
inni	inni
hverju	hverju
hverjir	hverjir
eru	eru
þeirra	þeirra
mörk	mörk
leitast	leitast
einhvern	einhvern
Líkt	Líkt
muni	muni
þínu	þínu
höfðuð	höfðuð
sjúkdóma	sjúkdóma
leggið	leggið
hætti	hætti
hlutum	hlutum
misst	misst
minnstu	minnstu
eignarlýð	eignarlýð
sé	sé
stóðuð	stóðuð
trú	trú
þrumu	þrumu
sótt	sótt
undan	undan
lýsti	lýsti
höfði	höfði
biðjast	biðjast
giftast	giftast
hvílíkur	hvílíkur
skjóti	skjóti
sneri	sneri
ilmjurtunum	ilmjurtunum
hefðarsæti	hefðarsæti
krossfestuð	krossfestuð
valinn	valinn
græddi	græddi
æðst	æðst
hrygg	hrygg
hins	hins
kennd	kennd
kastaði	kastaði
þreytist	þreytist
komum	komum
Skyldi	Skyldi
fullnuð	fullnuð
gjalda	gjalda
gjöri	gjöri
rekið	rekið
Hvort	Hvort
borðum	borðum
háum	háum
ljúkast	ljúkast
gerast	gerast
sérhverja	sérhverja
horfðu	horfðu
gefast	gefast
boðum	boðum
hljómaði	hljómaði
snúið	snúið
út	út
kallast	kallast
uppvekja	uppvekja
helgast	helgast
sjötti	sjötti
þinna	þinna
borgum	borgum
huldu	huldu
gjörðuð	gjörðuð
fisk	fisk
sést	sést
gjaldið	gjaldið
starfi	starfi
spáðu	spáðu
engan	engan
verða	verða
farast	farast
stökktu	stökktu
verið	verið
hengduð	hengduð
saurga	saurga
haldið	haldið
ráða	ráða
sýndu	sýndu
fæst	fæst
Þessa	Þessa
lofi	lofi
sýnduð	sýnduð
hvílt	hvílt
mega	mega
þjást	þjást
spyrjist	spyrjist
snerist	snerist
misgjörðin	misgjörðin
spillast	spillast
boð	boð
kastið	kastið
fyllast	fyllast
Skyldum	Skyldum
var	var
höfðu	höfðu
hefur	hefur
fimmta	fimmta
vor	vor
hýst	hýst
borði	borði
brennu	brennu
klæðast	klæðast
keyptu	keyptu
þúsund	þúsund
fremsta	fremsta
hætta	hætta
værir	værir
söfnuð	söfnuð
liði	liði
óvirt	óvirt
gætir	gætir
glatast	glatast
kristinna	kristinna
mín	mín
kom	kom
æðsta	æðsta
þrengingin	þrengingin
verk	verk
missi	missi
ýmist	ýmist
fullyrti	fullyrti
fórnfært	fórnfært
Hinir	Hinir
öðrum	öðrum
saurgi	saurgi
áhugi	áhugi
þolið	þolið
horfði	horfði
Eruð	Eruð
denara	denara
fórnfærði	fórnfærði
skammt	skammt
kosta	kosta
Asíu	Asíu
reki	reki
ljúka	ljúka
hryggir	hryggir
þótti	þótti
lauk	lauk
líka	líka
virti	virti
sýnist	sýnist
samkundustjóri	samkundustjóri
ríkdóminn	ríkdóminn
leynda	leynda
svara	svara
ríkdómi	ríkdómi
skyldum	skyldum
áttunda	áttunda
hliðum	hliðum
þrem	þrem
tunglsjúka	tunglsjúka
birtist	birtist
hreinsaði	hreinsaði
rétt	rétt
þessi	þessi
móðu	móðu
jafnt	jafnt
eyrum	eyrum
krossfestið	krossfestið
kunna	kunna
þremur	þremur
Hvar	Hvar
lastmæli	lastmæli
nokkru	nokkru
allan	allan
leiddur	leiddur
deyðir	deyðir
gróðaveg	gróðaveg
aukast	aukast
nefnast	nefnast
eitur	eitur
vissa	vissa
hafið	hafið
stundum	stundum
leyst	leyst
stunda	stunda
krossfesta	krossfesta
þess	þess
skipti	skipti
skiptum	skiptum
upp	upp
settu	settu
virðist	virðist
kært	kært
skiptir	skiptir
fjóra	fjóra
styrki	styrki
fæddir	fæddir
leyndum	leyndum
fremur	fremur
virðast	virðast
þeirrar	þeirrar
gerðu	gerðu
treystu	treystu
ráð	ráð
hvern	hvern
flokkinn	flokkinn
gefin	gefin
heim	heim
tíðum	tíðum
þekkist	þekkist
turn	turn
Sjálfur	Sjálfur
grein	grein
móður	móður
Mannssonur	Mannssonur
lengur	lengur
krossfestir	krossfestir
vísu	vísu
mun	mun
reka	reka
saurgast	saurgast
halda	halda
brennur	brennur
meira	meira
þekktuð	þekktuð
styrktu	styrktu
blindum	blindum
kæra	kæra
samkundustjórinn	samkundustjórinn
glerhaf	glerhaf
annan	annan
krossfest	krossfest
gengist	gengist
hafði	hafði
varðveitist	varðveitist
færðu	færðu
greinunum	greinunum
Getum	Getum
Krist	Krist
munu	munu
rigna	rigna
munið	munið
þínir	þínir
skip	skip
sumum	sumum
drukkna	drukkna
styrkti	styrkti
fylli	fylli
hefðuð	hefðuð
vanheilagan	vanheilagan
þúsunda	þúsunda
haldast	haldast
óvirti	óvirti
safnast	safnast
sakargift	sakargift
Hvaðan	Hvaðan
kennir	kennir
minnst	minnst
talast	talast
það	það
opnast	opnast
kyssti	kyssti
nefnda	nefnda
dauði	dauði
heimtuð	heimtuð
lok	lok
saurgað	saurgað
Alls	Alls
sjálft	sjálft
allt	allt
rétta	rétta
spilltum	spilltum
áhuga	áhuga
Allur	Allur
deyða	deyða
oft	oft
hvílíkum	hvílíkum
spillist	spillist
kringum	kringum
safnaði	safnaði
dána	dána
blindir	blindir
hræddir	hræddir
borðið	borðið
krossfesti	krossfesti
verð	verð
biðjist	biðjist
fjórðu	fjórðu
koma	koma
færðuð	færðuð
skulu	skulu
þótt	þótt
stór	stór
voru	voru
leiddir	leiddir
sigur	sigur
hvílíks	hvílíks
fært	fært
leiði	leiði
fæðast	fæðast
snúast	snúast
Innan	Innan
þínum	þínum
horfum	horfum
værum	værum
heiti	heiti
þinnar	þinnar
fundið	fundið
ali	ali
hópi	hópi
fyllti	fyllti
dáð	dáð
fluttu	fluttu
skrifaði	skrifaði
jafnast	jafnast
skamma	skamma
Þessir	Þessir
hittu	hittu
líkt	líkt
múr	múr
hugi	hugi
haga	haga
gegnt	gegnt
aukist	aukist
dæmdu	dæmdu
standa	standa
þriðja	þriðja
leysast	leysast
Naksons	Naksons
Eru	Eru
vísa	vísa
stóru	stóru
auki	auki
heyrði	heyrði
fást	fást
höfða	höfða
leyfðu	leyfðu
hvílast	hvílast
dreifst	dreifst
Suma	Suma
jafna	jafna
byggðum	byggðum
dansaði	dansaði
dæmist	dæmist
séu	séu
skyldir	skyldir
þekktur	þekktur
krossinn	krossinn
skipunum	skipunum
opið	opið
mínir	mínir
Lík	Lík
deyðið	deyðið
gætti	gætti
þörfum	þörfum
færðir	færðir
aftra	aftra
eina	eina
segðu	segðu
freistað	freistað
breyttu	breyttu
rifið	rifið
sást	sást
neitaði	neitaði
virða	virða
skjótt	skjótt
lagðir	lagðir
slíku	slíku
byggist	byggist
náðu	náðu
ráðum	ráðum
Komu	Komu
ættuð	ættuð
græddir	græddir
hin	hin
þessu	þessu
syndgum	syndgum
fullyrtu	fullyrtu
Ert	Ert
hefði	hefði
hrekja	hrekja
hneigðu	hneigðu
tíð	tíð
leiðast	leiðast
elskum	elskum
sleppir	sleppir
