förstörda	förstörda
svänga	svänga
efterfölja	efterfölja
hållen	hållen
helgades	helgades
öre	öre
värmen	värmen
Sera	Sera
betryckta	betryckta
lyftas	lyftas
upptage	upptage
fortfare	fortfare
äta	äta
funne	funne
fördärvare	fördärvare
markens	markens
saker	saker
uppbyggda	uppbyggda
Susan	Susan
städer	städer
vindarna	vindarna
inställa	inställa
Assur	Assur
siares	siares
Tagen	Tagen
sken	sken
fetmas	fetmas
avbärga	avbärga
tyget	tyget
skälet	skälet
fälles	fälles
stänger	stänger
segrar	segrar
föröken	föröken
sjuke	sjuke
drivna	drivna
skapade	skapade
räcken	räcken
vädurarna	vädurarna
klövs	klövs
söks	söks
Sådana	Sådana
förgjorde	förgjorde
fördriva	fördriva
uppväckt	uppväckt
vänt	vänt
äldste	äldste
räcka	räcka
böjt	böjt
låret	låret
Lus	Lus
släppe	släppe
kallas	kallas
hindarna	hindarna
ende	ende
förhärligen	förhärligen
anklagades	anklagades
viken	viken
längtan	längtan
ekar	ekar
behållna	behållna
klagoropet	klagoropet
gudsfruktans	gudsfruktans
rädd	rädd
upprättade	upprättade
vila	vila
fikonträd	fikonträd
brändes	brändes
tjänade	tjänade
Kanaans	Kanaans
lögnprofeterna	lögnprofeterna
samlas	samlas
uträcka	uträcka
öppnades	öppnades
bjuda	bjuda
bedrage	bedrage
Meleks	Meleks
förblivande	förblivande
inmönstrade	inmönstrade
skäl	skäl
Bekers	Bekers
Vars	Vars
uppfyll	uppfyll
frågade	frågade
falls	falls
Helt	Helt
säges	säges
annan	annan
Johanan	Johanan
göre	göre
födde	födde
de	de
oss	oss
utsläckes	utsläckes
Amons	Amons
Assyriens	Assyriens
upplösa	upplösa
Sisaks	Sisaks
täcke	täcke
klippa	klippa
bortföra	bortföra
antändes	antändes
Nebo	Nebo
mödade	mödade
säljes	säljes
skäres	skäres
Öga	Öga
Jason	Jason
styckade	styckade
satta	satta
jagades	jagades
fårs	fårs
betydande	betydande
rörde	rörde
kläder	kläder
talade	talade
mönstrades	mönstrades
Libanon	Libanon
levande	levande
fäste	fäste
förtorkades	förtorkades
kläde	kläde
Benjamins	Benjamins
omringade	omringade
säkra	säkra
kastade	kastade
berget	berget
lämnade	lämnade
växt	växt
städerna	städerna
veta	veta
Vilken	Vilken
Naftalis	Naftalis
komma	komma
hjul	hjul
svalkas	svalkas
Lotan	Lotan
upplåtna	upplåtna
den	den
gives	gives
Fallen	Fallen
burna	burna
Manasses	Manasses
vätt	vätt
Ordet	Ordet
ställt	ställt
uppstånden	uppstånden
Husen	Husen
löpa	löpa
träda	träda
läggen	läggen
Under	Under
skyddade	skyddade
bevisade	bevisade
Gehenna	Gehenna
Noas	Noas
Uris	Uris
grav	grav
betäckt	betäckt
sliten	sliten
Arabien	Arabien
skilda	skilda
förordnade	förordnade
vara	vara
åten	åten
bön	bön
Joram	Joram
Susa	Susa
förliten	förliten
lovar	lovar
drypa	drypa
Meraris	Meraris
Rådet	Rådet
Hanes	Hanes
förtryckta	förtryckta
läger	läger
Tres	Tres
fattas	fattas
öppnen	öppnen
fördrivna	fördrivna
bete	bete
föda	föda
stadgas	stadgas
bortrycktes	bortrycktes
fots	fots
förstes	förstes
sitter	sitter
steka	steka
Sur	Sur
års	års
drages	drages
stänga	stänga
Hul	Hul
falle	falle
göres	göres
betalen	betalen
eder	eder
kärl	kärl
krönt	krönt
Melek	Melek
hornet	hornet
flöge	flöge
avmäta	avmäta
dennes	dennes
granne	granne
Husas	Husas
fångade	fångade
avsöndrades	avsöndrades
Asafs	Asafs
slags	slags
skiften	skiften
Råd	Råd
stänka	stänka
betyda	betyda
Diana	Diana
övergiva	övergiva
Sem	Sem
förbundet	förbundet
oftare	oftare
genomsöka	genomsöka
taga	taga
Leas	Leas
förfara	förfara
Efrons	Efrons
bars	bars
vakttorn	vakttorn
ställd	ställd
smälte	smälte
till	till
pelarna	pelarna
förbud	förbud
snärjda	snärjda
Israels	Israels
utforskade	utforskade
skilts	skilts
ordspråket	ordspråket
sköten	sköten
inmönstrades	inmönstrades
skrymtade	skrymtade
vakar	vakar
sänkas	sänkas
arglistig	arglistig
gånge	gånge
göda	göda
Bera	Bera
uppförde	uppförde
fordran	fordran
beten	beten
plugg	plugg
inbärgar	inbärgar
hållare	hållare
Satans	Satans
förvaltade	förvaltade
viskas	viskas
borgare	borgare
Sadok	Sadok
märkt	märkt
gödda	gödda
döva	döva
invig	invig
vid	vid
uppfylles	uppfylles
bruse	bruse
döma	döma
Anatot	Anatot
backarna	backarna
stötes	stötes
förfares	förfares
Man	Man
vederkvickt	vederkvickt
brus	brus
besatte	besatte
Svärdet	Svärdet
beviset	beviset
böjes	böjes
Ester	Ester
stenröse	stenröse
skuldoffersväduren	skuldoffersväduren
dödande	dödande
Abraham	Abraham
Simmas	Simmas
domar	domar
Landet	Landet
hugga	hugga
rulla	rulla
Jotams	Jotams
faste	faste
hälsa	hälsa
mödat	mödat
Massa	Massa
mjöl	mjöl
gräns	gräns
upptändas	upptändas
ledda	ledda
korsfästas	korsfästas
säga	säga
Anas	Anas
utroten	utroten
gångerna	gångerna
lägga	lägga
Libanons	Libanons
förskräcka	förskräcka
Tala	Tala
skugga	skugga
styrkt	styrkt
utsträckt	utsträckt
Sköt	Sköt
förtryckare	förtryckare
fostrare	fostrare
Elias	Elias
jubelår	jubelår
anförare	anförare
kriget	kriget
ansedde	ansedde
korset	korset
slagen	slagen
hörda	hörda
övrigas	övrigas
utstakade	utstakade
vin	vin
ställda	ställda
ena	ena
rykande	rykande
sådana	sådana
sko	sko
mätta	mätta
berömda	berömda
Gehennas	Gehennas
hot	hot
gjorda	gjorda
gräto	gräto
Et	Et
San	San
gläds	gläds
dugande	dugande
åt	åt
lamms	lamms
lever	lever
dennas	dennas
lånade	lånade
Esters	Esters
förbjuda	förbjuda
skådade	skådade
kors	kors
genomsökt	genomsökt
dragna	dragna
stärka	stärka
kysst	kysst
vetekornet	vetekornet
stormades	stormades
predikare	predikare
Dessa	Dessa
barn	barn
förleder	förleder
skänka	skänka
bedriva	bedriva
Milkas	Milkas
brännsåret	brännsåret
trängt	trängt
tillgiven	tillgiven
förtryck	förtryck
sätta	sätta
brev	brev
vittnade	vittnade
badade	badade
slätt	slätt
hörsamma	hörsamma
förunne	förunne
överdragen	överdragen
namn	namn
bon	bon
beloppet	beloppet
nödgade	nödgade
inviga	inviga
möta	möta
avvända	avvända
väcka	väcka
vakade	vakade
bevaren	bevaren
tränga	tränga
valv	valv
förfäras	förfäras
Hebron	Hebron
svälja	svälja
undersökt	undersökt
läkare	läkare
upptänden	upptänden
log	log
ihågkomma	ihågkomma
nödgas	nödgas
frätas	frätas
förlika	förlika
Assurs	Assurs
förlik	förlik
fostrade	fostrade
kränka	kränka
rikt	rikt
inne	inne
sändas	sändas
förtrycka	förtrycka
dolda	dolda
lysande	lysande
Amalek	Amalek
mötes	mötes
borttappade	borttappade
omfånget	omfånget
armodet	armodet
uppsatta	uppsatta
förjagade	förjagade
vände	vände
skjuten	skjuten
tungas	tungas
böjd	böjd
libyerna	libyerna
rötterna	rötterna
försörjare	försörjare
rädda	rädda
