háir	háir
værum	værum
leiddir	leiddir
aftraði	aftraði
farast	farast
stundir	stundir
gengist	gengist
leggst	leggst
megum	megum
settir	settir
byggður	byggður
saltast	saltast
hættu	hættu
flétta	flétta
læsti	læsti
þessir	þessir
uppvekur	uppvekur
tali	tali
Hvorn	Hvorn
minnast	minnast
víkur	víkur
nefnast	nefnast
síðast	síðast
hræðast	hræðast
varðveitti	varðveitti
aldir	aldir
krossfesti	krossfesti
flokkur	flokkur
spáðu	spáðu
birtist	birtist
var	var
veittuð	veittuð
þekktir	þekktir
hvílist	hvílist
þekktuð	þekktuð
dauða	dauða
þrumum	þrumum
leyndi	leyndi
trúðu	trúðu
spá	spá
denara	denara
ráð	ráð
vona	vona
hengdi	hengdi
veikir	veikir
velþóknanlegar	velþóknanlegar
klæðum	klæðum
hins	hins
sumu	sumu
brenna	brenna
voruð	voruð
kær	kær
berast	berast
Sjálfur	Sjálfur
ríkt	ríkt
réttu	réttu
verðið	verðið
langaði	langaði
dæmdu	dæmdu
æðstu	æðstu
fylla	fylla
leitum	leitum
settuð	settuð
Skyldi	Skyldi
hef	hef
sigur	sigur
framar	framar
bættu	bættu
veitti	veitti
hitt	hitt
ráðið	ráðið
hvorir	hvorir
deyðir	deyðir
muni	muni
hrærist	hrærist
byggða	byggða
skulu	skulu
munu	munu
ritum	ritum
snúið	snúið
saurgast	saurgast
seldu	seldu
heilli	heilli
rigni	rigni
breyta	breyta
fenguð	fenguð
spáð	spáð
raust	raust
seldir	seldir
vakti	vakti
ferð	ferð
dreifst	dreifst
leiði	leiði
færðu	færðu
spyrjast	spyrjast
ytri	ytri
mættum	mættum
fullreyndin	fullreyndin
skírlífar	skírlífar
lík	lík
slíkan	slíkan
þreytast	þreytast
eigna	eigna
Æðstu	Æðstu
sín	sín
báða	báða
sjötti	sjötti
raustu	raustu
þörfum	þörfum
meira	meira
Þess	Þess
þrengdi	þrengdi
Þessu	Þessu
lastmælin	lastmælin
gætt	gætt
nokkru	nokkru
hötuðu	hötuðu
eyðist	eyðist
allan	allan
sá	sá
deyðast	deyðast
Krist	Krist
hlýst	hlýst
þessar	þessar
heill	heill
hugsast	hugsast
þrýstu	þrýstu
slíkt	slíkt
met	met
Allur	Allur
þreytum	þreytum
ein	ein
allur	allur
dæmdir	dæmdir
hluta	hluta
Þessir	Þessir
starfi	starfi
hreinsaði	hreinsaði
of	of
krossfestu	krossfestu
tunglsjúka	tunglsjúka
fiskurinn	fiskurinn
látna	látna
biðjist	biðjist
lítið	lítið
síðastur	síðastur
sjúkdóm	sjúkdóm
heilsu	heilsu
skírist	skírist
rifi	rifi
lokum	lokum
styrkti	styrkti
send	send
saurgað	saurgað
byggðir	byggðir
áttundi	áttundi
vörum	vörum
sendi	sendi
hlýði	hlýði
Munum	Munum
svona	svona
fyllist	fyllist
þrengingunum	þrengingunum
hvílíkt	hvílíkt
þakka	þakka
heyrast	heyrast
græddur	græddur
kunnir	kunnir
valinn	valinn
líka	líka
Leita	Leita
aftrar	aftrar
sjúkdómur	sjúkdómur
veikt	veikt
fullnast	fullnast
slepptu	slepptu
leiðin	leiðin
bundið	bundið
fimmta	fimmta
suma	suma
fundinn	fundinn
kærir	kærir
lastmælir	lastmælir
loft	loft
talið	talið
heyrði	heyrði
hvílíks	hvílíks
komum	komum
þol	þol
eyrunum	eyrunum
leysti	leysti
krossfest	krossfest
allir	allir
þakkaði	þakkaði
fremst	fremst
fluttu	fluttu
Asía	Asía
kringum	kringum
hræddur	hræddur
fæddur	fæddur
ákveðin	ákveðin
Eru	Eru
skyldum	skyldum
félagi	félagi
skírast	skírast
þúsunda	þúsunda
hvílík	hvílík
sagt	sagt
borðum	borðum
aukast	aukast
tíða	tíða
hulda	hulda
hornum	hornum
ali	ali
styrktu	styrktu
annan	annan
órétti	órétti
skjótum	skjótum
Enga	Enga
glatast	glatast
alda	alda
sóttu	sóttu
hafi	hafi
skildir	skildir
gegn	gegn
átuð	átuð
liðið	liðið
eitur	eitur
séu	séu
varðveitast	varðveitast
fórnfært	fórnfært
fylgdum	fylgdum
Hafði	Hafði
raustar	raustar
hrygg	hrygg
fyrsti	fyrsti
félaga	félaga
kastaði	kastaði
mesta	mesta
Jason	Jason
hefði	hefði
opinber	opinber
sætum	sætum
staða	staða
Anna	Anna
leyfi	leyfi
birtur	birtur
leysir	leysir
líkur	líkur
langi	langi
fást	fást
freistað	freistað
hvert	hvert
safnað	safnað
hagi	hagi
máli	máli
leit	leit
Ert	Ert
ýmiss	ýmiss
misgjörða	misgjörða
nokkrir	nokkrir
báðar	báðar
höfðum	höfðum
krossfestuð	krossfestuð
lögðu	lögðu
foreldrum	foreldrum
hefðuð	hefðuð
skuluð	skuluð
skylduð	skylduð
þessum	þessum
norður	norður
fylltur	fylltur
borga	borga
Mæli	Mæli
ríkdóm	ríkdóm
fengin	fengin
tjáði	tjáði
vísa	vísa
komna	komna
misst	misst
þjáist	þjáist
öll	öll
opið	opið
aukist	aukist
þíns	þíns
horfði	horfði
samboðin	samboðin
hluti	hluti
syndgið	syndgið
haldast	haldast
einhver	einhver
brúðkaupsgestum	brúðkaupsgestum
gerist	gerist
safnast	safnast
kristinn	kristinn
gleði	gleði
Krists	Krists
fjóra	fjóra
séum	séum
málum	málum
fara	fara
talentu	talentu
hórkarlar	hórkarlar
horfum	horfum
slíkum	slíkum
gengi	gengi
búist	búist
eignarlýð	eignarlýð
jafnir	jafnir
horfið	horfið
Slíkar	Slíkar
rétt	rétt
birtum	birtum
samkundustjórinn	samkundustjórinn
hvílíkum	hvílíkum
stundum	stundum
boðum	boðum
Skyldum	Skyldum
fæddu	fæddu
ytra	ytra
höfum	höfum
Mælir	Mælir
þinna	þinna
andast	andast
sýnast	sýnast
Fyrsti	Fyrsti
svo	svo
umskornu	umskornu
hefðarsætin	hefðarsætin
foreldra	foreldra
leyfið	leyfið
flokka	flokka
múrinn	múrinn
hætti	hætti
Þessi	Þessi
söfnuð	söfnuð
vanheilagan	vanheilagan
minni	minni
svara	svara
lifði	lifði
heilsaði	heilsaði
sína	sína
senda	senda
Það	Það
þarfir	þarfir
eigið	eigið
missti	missti
óskum	óskum
komst	komst
fjarlægir	fjarlægir
breidd	breidd
horn	horn
drekk	drekk
ríkdómur	ríkdómur
óvirtuð	óvirtuð
denarinn	denarinn
ræðu	ræðu
færðuð	færðuð
hópur	hópur
skækjan	skækjan
flettu	flettu
sneri	sneri
sums	sums
látum	látum
mestur	mestur
kosta	kosta
drepum	drepum
gríska	gríska
eruð	eruð
heitið	heitið
veitast	veitast
útlisti	útlisti
nokkrum	nokkrum
postuladóm	postuladóm
klæddum	klæddum
megið	megið
vorum	vorum
þriðji	þriðji
haldið	haldið
kjörinn	kjörinn
langt	langt
kvæntist	kvæntist
heitt	heitt
oft	oft
en	en
Suma	Suma
órétt	órétt
sérhver	sérhver
háls	háls
mærin	mærin
þrengingu	þrengingu
velþóknanleg	velþóknanleg
felldur	felldur
öðlast	öðlast
þrengingin	þrengingin
stæra	stæra
lagður	lagður
ná	ná
sjöundi	sjöundi
æpti	æpti
Guð	Guð
boði	boði
væru	væru
hittum	hittum
hina	hina
reki	reki
turninn	turninn
hrærði	hrærði
samkundustjórunum	samkundustjórunum
vitrað	vitrað
þjást	þjást
Alla	Alla
bættist	bættist
Hinar	Hinar
helgum	helgum
neytti	neytti
stökkti	stökkti
skammt	skammt
lýsti	lýsti
dansa	dansa
lengi	lengi
þvost	þvost
skapa	skapa
skyldu	skyldu
berð	berð
umskornir	umskornir
foreldrunum	foreldrunum
laukst	laukst
loka	loka
meir	meir
selduð	selduð
veturinn	veturinn
hinum	hinum
mættuð	mættuð
Hvor	Hvor
kring	kring
undur	undur
fimmti	fimmti
hafði	hafði
helgast	helgast
kross	kross
mæli	mæli
leiddu	leiddu
næsta	næsta
neinir	neinir
kærðu	kærðu
þolað	þolað
hræddir	hræddir
álit	álit
birti	birti
sést	sést
Kristur	Kristur
alinn	alinn
borgum	borgum
heyrðu	heyrðu
út	út
sérhvert	sérhvert
stær	stær
heyrðuð	heyrðuð
uppvekja	uppvekja
leynda	leynda
flokki	flokki
alls	alls
andaði	andaði
raustin	raustin
lofi	lofi
hinir	hinir
elska	elska
Hef	Hef
burt	burt
drekki	drekki
neinu	neinu
ríkdómi	ríkdómi
þýðast	þýðast
jafna	jafna
skjóta	skjóta
langað	langað
engar	engar
öllu	öllu
þessa	þessa
krossfestur	krossfestur
giftast	giftast
brennur	brennur
safna	safna
reiði	reiði
sumir	sumir
mundir	mundir
kæru	kæru
þakkir	þakkir
bærum	bærum
hlið	hlið
sérhvern	sérhvern
skildum	skildum
fært	fært
anda	anda
gjörist	gjörist
leysa	leysa
heiðurinn	heiðurinn
setta	setta
höfðuð	höfðuð
gróðavegur	gróðavegur
inni	inni
sumt	sumt
flokkinn	flokkinn
fluttur	fluttur
dæma	dæma
hengduð	hengduð
engu	engu
eigi	eigi
lögð	lögð
byggði	byggði
skipunum	skipunum
huga	huga
kóróna	kóróna
skalt	skalt
þrengdist	þrengdist
standi	standi
græddi	græddi
hópum	hópum
hræðist	hræðist
breytist	breytist
skapi	skapi
vissir	vissir
styrkir	styrkir
sendir	sendir
standa	standa
Allan	Allan
sjöunda	sjöunda
leggið	leggið
síðastir	síðastir
víst	víst
auka	auka
leysast	leysast
hengdu	hengdu
uppi	uppi
Hvort	Hvort
glatt	glatt
úti	úti
fljótir	fljótir
auki	auki
sinni	sinni
klæði	klæði
skipta	skipta
slíkir	slíkir
leyfa	leyfa
öðru	öðru
hrista	hrista
stóðuð	stóðuð
byggt	byggt
þeirra	þeirra
jafnað	jafnað
óvirti	óvirti
málið	málið
mestu	mestu
segðu	segðu
hafa	hafa
leggi	leggi
þrumu	þrumu
gegnt	gegnt
akur	akur
henni	henni
þrenging	þrenging
skyldi	skyldi
æptu	æptu
fáist	fáist
hvílir	hvílir
hrekjast	hrekjast
munir	munir
verði	verði
sótt	sótt
rigna	rigna
rekur	rekur
náðu	náðu
eyða	eyða
fullyrtu	fullyrtu
þýðist	þýðist
dána	dána
stökktu	stökktu
leiðir	leiðir
bæru	bæru
þóttist	þóttist
talast	talast
fletta	fletta
mínir	mínir
reiðin	reiðin
byggðum	byggðum
eigin	eigin
gátum	gátum
gefið	gefið
lið	lið
merkti	merkti
fylli	fylli
stóð	stóð
vitru	vitru
fiski	fiski
Asíu	Asíu
lagt	lagt
lærður	lærður
skip	skip
gætum	gætum
næst	næst
lagðir	lagðir
skjóti	skjóti
akurinn	akurinn
vissum	vissum
hvort	hvort
Líkt	Líkt
valdi	valdi
rek	rek
sjálfur	sjálfur
gætir	gætir
át	át
boðaði	boðaði
fæðast	fæðast
settu	settu
tala	tala
tíðir	tíðir
lítt	lítt
Mannssonurinn	Mannssonurinn
fléttum	fléttum
hætta	hætta
hennar	hennar
skýrðu	skýrðu
vanheilagir	vanheilagir
dæmist	dæmist
virða	virða
umskorna	umskorna
hvern	hvern
skil	skil
hötuðum	hötuðum
meta	meta
sinna	sinna
ræddi	ræddi
Hefur	Hefur
fæst	fæst
djúpt	djúpt
sérhverja	sérhverja
leyfðu	leyfðu
samboðið	samboðið
hvílíka	hvílíka
trúa	trúa
drukkna	drukkna
finnst	finnst
lagði	lagði
greini	greini
breiddi	breiddi
rifið	rifið
vakir	vakir
Sjálfir	Sjálfir
hald	hald
borgir	borgir
mörkum	mörkum
gjörðu	gjörðu
vaxið	vaxið
þúsund	þúsund
standast	standast
borð	borð
ríkdóms	ríkdóms
hliðin	hliðin
sinn	sinn
skrifi	skrifi
rétta	rétta
sæti	sæti
tilreiknuð	tilreiknuð
hvíl	hvíl
þekkti	þekkti
undir	undir
gjörðuð	gjörðuð
segir	segir
geta	geta
deyðið	deyðið
leitast	leitast
kallaði	kallaði
nefndir	nefndir
snerist	snerist
höndlað	höndlað
slíkar	slíkar
aukið	aukið
ljúkast	ljúkast
heilla	heilla
kært	kært
neinn	neinn
Æðst	Æðst
nokkurt	nokkurt
hefðu	hefðu
líki	líki
stundu	stundu
Getum	Getum
heimtuð	heimtuð
virtuð	virtuð
Sendu	Sendu
lokið	lokið
sé	sé
þekkt	þekkt
blindum	blindum
munt	munt
hégómamál	hégómamál
flokkum	flokkum
míns	míns
lastmæltu	lastmæltu
máttu	máttu
stóru	stóru
kunni	kunni
kórónu	kórónu
þína	þína
sleppt	sleppt
hefðarsæti	hefðarsæti
skapaði	skapaði
opna	opna
skipaði	skipaði
ræða	ræða
leiddi	leiddi
Hvern	Hvern
skýrum	skýrum
þótti	þótti
samboðinn	samboðinn
Engum	Engum
gæti	gæti
þremur	þremur
valda	valda
munduð	munduð
eyrum	eyrum
fullyrti	fullyrti
lengur	lengur
sendur	sendur
missi	missi
múr	múr
stökk	stökk
greinum	greinum
liði	liði
krossfestir	krossfestir
áliti	áliti
Annað	Annað
fremur	fremur
ríki	ríki
gátuð	gátuð
gjöra	gjöra
undu	undu
þrem	þrem
Nakson	Nakson
bætti	bætti
merkir	merkir
nokkra	nokkra
stært	stært
lofgjörð	lofgjörð
færir	færir
höfða	höfða
Orð	Orð
eignarlýður	eignarlýður
stunda	stunda
varst	varst
báðir	báðir
Haf	Haf
seldur	seldur
grein	grein
mátti	mátti
komast	komast
ráða	ráða
skýrði	skýrði
skrifum	skrifum
lifnaði	lifnaði
kæra	kæra
síið	síið
fæða	fæða
stærum	stærum
leyndu	leyndu
læsir	læsir
skýrt	skýrt
ráði	ráði
bæta	bæta
allt	allt
treyst	treyst
skyldir	skyldir
gættu	gættu
myrtu	myrtu
Sum	Sum
Naksons	Naksons
spillti	spillti
lastmæli	lastmæli
sást	sást
syndga	syndga
þinnar	þinnar
lifnaður	lifnaður
vissa	vissa
virti	virti
sýnist	sýnist
metum	metum
móður	móður
ályktaði	ályktaði
dans	dans
færð	færð
mundum	mundum
keypti	keypti
enga	enga
jafnast	jafnast
minn	minn
postuladóms	postuladóms
tölum	tölum
lauk	lauk
opnast	opnast
undan	undan
óvirtir	óvirtir
gerast	gerast
krossfesta	krossfesta
yrðum	yrðum
gift	gift
fórnfæra	fórnfæra
vík	vík
vitrast	vitrast
blinda	blinda
leitt	leitt
raustum	raustum
reiðir	reiðir
aftra	aftra
flytjist	flytjist
syndgar	syndgar
styrk	styrk
fyllti	fyllti
fyllir	fyllir
fremsta	fremsta
haldist	haldist
lofaði	lofaði
leyndum	leyndum
ríkti	ríkti
skildist	skildist
hópi	hópi
leita	leita
mörk	mörk
hugsaði	hugsaði
þvoðu	þvoðu
starfa	starfa
vísu	vísu
fullnuð	fullnuð
borði	borði
sýndu	sýndu
orð	orð
mína	mína
felldu	felldu
hryggi	hryggi
verð	verð
þínu	þínu
mín	mín
sendum	sendum
einum	einum
elskum	elskum
mínum	mínum
nefnt	nefnt
keyptir	keyptir
dáðu	dáðu
vissuð	vissuð
ákærðu	ákærðu
búna	búna
birtast	birtast
freistaði	freistaði
grísku	grísku
Enginn	Enginn
flokk	flokk
guð	guð
dauði	dauði
talentur	talentur
æðsta	æðsta
dansaði	dansaði
værir	værir
fiska	fiska
boðið	boðið
gerðu	gerðu
breytt	breytt
fiskinn	fiskinn
minnst	minnst
samboðna	samboðna
flesta	flesta
nei	nei
áttunda	áttunda
leggur	leggur
lastmælt	lastmælt
tilreiknast	tilreiknast
gleðst	gleðst
hórkarl	hórkarl
hvílíkan	hvílíkan
gullið	gullið
smaragður	smaragður
lærast	lærast
spáði	spáði
minnstu	minnstu
fæðu	fæðu
inn	inn
móðu	móðu
líkist	líkist
hlutum	hlutum
Eruð	Eruð
sum	sum
snúi	snúi
kyssti	kyssti
aftrið	aftrið
Hvert	Hvert
leiða	leiða
lok	lok
munum	munum
misgjörðin	misgjörðin
hafir	hafir
skipa	skipa
klædd	klædd
Hin	Hin
þeirrar	þeirrar
fullreynd	fullreynd
fyrstum	fyrstum
mund	mund
engan	engan
öðrum	öðrum
tíð	tíð
kasta	kasta
báðum	báðum
ert	ert
byggist	byggist
gifta	gifta
eru	eru
útlista	útlista
einhvern	einhvern
Jasoni	Jasoni
breytti	breytti
byggðu	byggðu
hlýddi	hlýddi
Er	Er
samkundustjóri	samkundustjóri
skilinn	skilinn
hliðum	hliðum
gerði	gerði
gengið	gengið
ættfeðurna	ættfeðurna
þótt	þótt
svarið	svarið
óvirt	óvirt
kröftugi	kröftugi
sjúkdóma	sjúkdóma
missir	missir
Dauðinn	Dauðinn
hafna	hafna
hálsinn	hálsinn
drekkið	drekkið
byggð	byggð
ættfeðurnir	ættfeðurnir
Skyldu	Skyldu
mætti	mætti
vanheilagt	vanheilagt
stóra	stóra
glataði	glataði
höfðu	höfðu
Komum	Komum
skækjur	skækjur
sumum	sumum
gangi	gangi
klæddir	klæddir
syndgað	syndgað
reka	reka
dæmið	dæmið
Slíkt	Slíkt
ákveðið	ákveðið
hittu	hittu
þessu	þessu
þekktu	þekktu
hafið	hafið
höndla	höndla
jafnt	jafnt
þoli	þoli
hvílíkur	hvílíkur
kunna	kunna
fleygt	fleygt
leiddur	leiddur
deyða	deyða
metið	metið
Koma	Koma
veittu	veittu
fá	fá
kenni	kenni
virðast	virðast
þvo	þvo
dæmt	dæmt
myrti	myrti
glerhaf	glerhaf
kjörið	kjörið
hin	hin
skiptið	skiptið
dáð	dáð
hreinsast	hreinsast
Réttu	Réttu
saurgi	saurgi
breyttu	breyttu
Fyrstur	Fyrstur
skilin	skilin
læst	læst
safnaði	safnaði
burtu	burtu
hórkarla	hórkarla
sagna	sagna
líkið	líkið
annað	annað
sjötta	sjötta
hinar	hinar
Hverja	Hverja
slík	slík
denar	denar
ilmjurtir	ilmjurtir
skækjum	skækjum
bundna	bundna
minna	minna
mæla	mæla
fundið	fundið
hýstuð	hýstuð
verk	verk
dæmdum	dæmdum
hvílu	hvílu
mælist	mælist
spillist	spillist
trú	trú
skiptir	skiptir
sinnar	sinnar
ríkið	ríkið
norðan	norðan
skilaði	skilaði
djúp	djúp
þörf	þörf
valið	valið
byggir	byggir
fylltir	fylltir
Orðið	Orðið
fjórum	fjórum
völdu	völdu
Erum	Erum
munið	munið
mest	mest
vitrir	vitrir
Verði	Verði
snúast	snúast
hýst	hýst
ræddu	ræddu
framan	framan
þau	þau
söfnuðu	söfnuðu
ríkir	ríkir
breytum	breytum
þriðja	þriðja
hvílíkar	hvílíkar
nú	nú
hneigði	hneigði
síst	síst
skiptum	skiptum
Verið	Verið
vitrunum	vitrunum
hvílt	hvílt
hlýddu	hlýddu
slíka	slíka
reynist	reynist
gefast	gefast
tölu	tölu
hvor	hvor
einu	einu
verið	verið
Komu	Komu
mínar	mínar
kysstu	kysstu
reyndur	reyndur
eyddi	eyddi
erum	erum
skipi	skipi
yrðuð	yrðuð
mun	mun
treystir	treystir
halda	halda
minnsta	minnsta
áhuga	áhuga
hugi	hugi
Rétt	Rétt
einhverja	einhverja
kennd	kennd
þreytst	þreytst
upp	upp
gróðaveg	gróðaveg
gull	gull
Kom	Kom
neitað	neitað
vaka	vaka
þreytist	þreytist
mála	mála
þess	þess
gefin	gefin
neitaði	neitaði
saurgar	saurgar
nefnist	nefnist
þinni	þinni
eyddist	eyddist
þínum	þínum
styrki	styrki
fjarlægð	fjarlægð
gjaldi	gjaldi
Alls	Alls
hitti	hitti
búið	búið
glerhafið	glerhafið
horfðu	horfðu
skipti	skipti
leitaði	leitaði
drukkið	drukkið
