skamma	skamma
skapa	skapa
mundir	mundir
sjúkdóma	sjúkdóma
tíð	tíð
kasta	kasta
ferst	ferst
þúsundunum	þúsundunum
munduð	munduð
lokum	lokum
ráða	ráða
safna	safna
skipaði	skipaði
ert	ert
staðinn	staðinn
trúðu	trúðu
þrýstir	þrýstir
hefðarsætin	hefðarsætin
sætum	sætum
skýrum	skýrum
snúast	snúast
leyfi	leyfi
varst	varst
reiðir	reiðir
Mannssoninn	Mannssoninn
krossfesti	krossfesti
mættuð	mættuð
gull	gull
erum	erum
bundna	bundna
hvílíkum	hvílíkum
leiðin	leiðin
leggur	leggur
fyrstu	fyrstu
helgast	helgast
sendu	sendu
hefur	hefur
liðið	liðið
foreldrum	foreldrum
stundu	stundu
smaragð	smaragð
þekkti	þekkti
liðinn	liðinn
bæru	bæru
hvílast	hvílast
Réttu	Réttu
kross	kross
gengið	gengið
fylltir	fylltir
lagður	lagður
haft	haft
settuð	settuð
ríkt	ríkt
syndgað	syndgað
veittuð	veittuð
færu	færu
vitru	vitru
móðu	móðu
ráðum	ráðum
svara	svara
spáði	spáði
opinber	opinber
huga	huga
horfðu	horfðu
fullyrti	fullyrti
skapi	skapi
sendur	sendur
samkundustjóra	samkundustjóra
tunglsjúkur	tunglsjúkur
skrifa	skrifa
bættu	bættu
flytjast	flytjast
samboðin	samboðin
nefndur	nefndur
felldu	felldu
vissuð	vissuð
hreinsaði	hreinsaði
gætum	gætum
selduð	selduð
samkundustjórunum	samkundustjórunum
breiddi	breiddi
ritum	ritum
kristinna	kristinna
veittu	veittu
áttunda	áttunda
leysast	leysast
elskaði	elskaði
halda	halda
víkur	víkur
krossfestuð	krossfestuð
höndlað	höndlað
verðið	verðið
megið	megið
voruð	voruð
Getur	Getur
flétta	flétta
mál	mál
mælir	mælir
eigin	eigin
kenndir	kenndir
muni	muni
skömmum	skömmum
missir	missir
skírist	skírist
rifið	rifið
sæti	sæti
þýðast	þýðast
ráð	ráð
orðið	orðið
felldir	felldir
Hvern	Hvern
vaka	vaka
hvílík	hvílík
mesta	mesta
leiddu	leiddu
Ert	Ert
fullreynd	fullreynd
reiði	reiði
kórónum	kórónum
berð	berð
yrðuð	yrðuð
væru	væru
hýstuð	hýstuð
fundið	fundið
kunna	kunna
gjaldið	gjaldið
hvílíkur	hvílíkur
verk	verk
andast	andast
hópum	hópum
gerist	gerist
fæst	fæst
safnast	safnast
opið	opið
velþóknanleg	velþóknanleg
reyndir	reyndir
met	met
spillist	spillist
kært	kært
óska	óska
drekkið	drekkið
máttu	máttu
hafna	hafna
lítt	lítt
áliti	áliti
heyrast	heyrast
flokkum	flokkum
aftra	aftra
tíða	tíða
ráðið	ráðið
vitrir	vitrir
auki	auki
leystu	leystu
fullreyndur	fullreyndur
fletta	fletta
þriðja	þriðja
uppvekja	uppvekja
eyða	eyða
sjúkdóm	sjúkdóm
foreldrunum	foreldrunum
þrýstu	þrýstu
skýrðu	skýrðu
hljómað	hljómað
misst	misst
fundum	fundum
flokkinn	flokkinn
værum	værum
tala	tala
leiddir	leiddir
stundir	stundir
getum	getum
eigna	eigna
skipa	skipa
búna	búna
þriðji	þriðji
ritaði	ritaði
skilinn	skilinn
flettu	flettu
blinda	blinda
fæðist	fæðist
Æðstu	Æðstu
tölum	tölum
elsku	elsku
kastið	kastið
tíðir	tíðir
greinum	greinum
aftrar	aftrar
væri	væri
þúsund	þúsund
heima	heima
búið	búið
kallast	kallast
vissir	vissir
hópi	hópi
skrifaði	skrifaði
brenna	brenna
Getum	Getum
hald	hald
lofaði	lofaði
Eruð	Eruð
postuladómi	postuladómi
æðstu	æðstu
kringum	kringum
breytum	breytum
leyndi	leyndi
Skyldu	Skyldu
ræddi	ræddi
