Helt	Helt
Lammet	Lammet
förfares	förfares
spridda	spridda
valla	valla
Husas	Husas
vattnas	vattnas
klagorop	klagorop
utfören	utfören
fråga	fråga
sårande	sårande
enes	enes
mödat	mödat
försvarade	försvarade
nitälsken	nitälsken
ätes	ätes
glänsande	glänsande
uppbyggda	uppbyggda
sport	sport
förstörs	förstörs
inrättades	inrättades
stärkt	stärkt
blodbadet	blodbadet
tröstar	tröstar
budet	budet
arme	arme
viljen	viljen
sätet	sätet
bars	bars
görare	görare
tungas	tungas
dräpt	dräpt
utsprida	utsprida
murare	murare
öga	öga
söka	söka
rädes	rädes
hembära	hembära
oren	oren
förenade	förenade
sports	sports
slån	slån
trängd	trängd
hörsammades	hörsammades
brännes	brännes
spott	spott
skattmästare	skattmästare
tillfrisknat	tillfrisknat
bliva	bliva
krigarna	krigarna
yngste	yngste
ringar	ringar
försörja	försörja
åkerstycken	åkerstycken
fångade	fångade
skänk	skänk
året	året
skurna	skurna
avfallna	avfallna
Eder	Eder
dödades	dödades
drog	drog
försvunna	försvunna
tåga	tåga
lamms	lamms
byggnadsverket	byggnadsverket
brödet	brödet
fästes	fästes
mörker	mörker
antal	antal
blåses	blåses
hyllade	hyllade
tillreds	tillreds
omgiven	omgiven
uppsatte	uppsatte
sitta	sitta
övrigt	övrigt
murbruk	murbruk
kränkt	kränkt
ställd	ställd
tagna	tagna
utslag	utslag
Tagen	Tagen
brinna	brinna
ansikte	ansikte
utrönt	utrönt
järn	järn
lyftas	lyftas
avhållen	avhållen
slaktet	slaktet
hos	hos
kastades	kastades
Gode	Gode
gästabudet	gästabudet
mista	mista
gileaditen	gileaditen
räckt	räckt
tänka	tänka
valkare	valkare
inmönstrades	inmönstrades
Farao	Farao
läs	läs
amma	amma
sanna	sanna
faste	faste
konungadömet	konungadömet
förföljare	förföljare
hälsades	hälsades
palatset	palatset
förrådshuset	förrådshuset
gör	gör
budordet	budordet
Stället	Stället
böjes	böjes
våldföres	våldföres
belopp	belopp
förlike	förlike
dån	dån
hus	hus
lösas	lösas
beskärde	beskärde
sista	sista
välva	välva
glada	glada
ögat	ögat
aktade	aktade
svala	svala
horn	horn
omsnärjde	omsnärjde
lammet	lammet
vände	vände
Högste	Högste
bortrycktes	bortrycktes
Aras	Aras
kläder	kläder
bortkastat	bortkastat
beröven	beröven
sjuke	sjuke
släkte	släkte
dråp	dråp
hemsöka	hemsöka
utstött	utstött
burna	burna
Et	Et
förhindrade	förhindrade
skåden	skåden
brändes	brändes
namns	namns
jämna	jämna
sälj	sälj
uttåg	uttåg
anställda	anställda
slitna	slitna
vakttorn	vakttorn
drabbade	drabbade
överlämnades	överlämnades
mjöl	mjöl
dröjen	dröjen
förste	förste
grunden	grunden
ben	ben
bälte	bälte
upplåtna	upplåtna
Seras	Seras
rört	rört
säte	säte
retade	retade
skänkt	skänkt
maakatéerna	maakatéerna
bindas	bindas
hövdingdömet	hövdingdömet
oss	oss
ödmjukade	ödmjukade
höra	höra
förre	förre
hala	hala
blygas	blygas
bortfört	bortfört
Mas	Mas
utsträcka	utsträcka
sakens	sakens
löfte	löfte
ingångarna	ingångarna
Res	Res
bröder	bröder
jagade	jagade
