siktades	siktades
ringe	ringe
förlite	förlite
uppsatta	uppsatta
hembäre	hembäre
Högstes	Högstes
dricka	dricka
lovar	lovar
mark	mark
beskäres	beskäres
Efraims	Efraims
finne	finne
övertäcka	övertäcka
fördrivna	fördrivna
avskilda	avskilda
Allas	Allas
anklagades	anklagades
uppdraget	uppdraget
säg	säg
platserna	platserna
Obeds	Obeds
upptaga	upptaga
Egyptens	Egyptens
förföljare	förföljare
bakhållet	bakhållet
överdragna	överdragna
domarna	domarna
giva	giva
omgiva	omgiva
bohaget	bohaget
Bileam	Bileam
viljes	viljes
vittnesbörd	vittnesbörd
lärda	lärda
dina	dina
täcktes	täcktes
oxarna	oxarna
ark	ark
stigen	stigen
gjutes	gjutes
namns	namns
Gode	Gode
struts	struts
tröstar	tröstar
sjuke	sjuke
talen	talen
vann	vann
Hela	Hela
Berea	Berea
lära	lära
nitälskan	nitälskan
budens	budens
Anak	Anak
dräpa	dräpa
Brödet	Brödet
visen	visen
sky	sky
påskalamm	påskalamm
uppsökte	uppsökte
predikare	predikare
förehaves	förehaves
uppgives	uppgives
fördärvare	fördärvare
blindas	blindas
flytt	flytt
avhållen	avhållen
revo	revo
sticka	sticka
släktens	släktens
uttåg	uttåg
dräpt	dräpt
varde	varde
burna	burna
döpes	döpes
längten	längten
rättfärdiga	rättfärdiga
verket	verket
första	första
Husas	Husas
loge	loge
förgöres	förgöres
sprida	sprida
uppbyggda	uppbyggda
dråparna	dråparna
gripa	gripa
Merari	Merari
hållna	hållna
inrättade	inrättade
fyllas	fyllas
inviga	inviga
falla	falla
antändes	antändes
Ute	Ute
löfte	löfte
ögat	ögat
spände	spände
Lemek	Lemek
skuldoffersväduren	skuldoffersväduren
Nebajot	Nebajot
spotten	spotten
tak	tak
Ard	Ard
sista	sista
hembära	hembära
vandrarna	vandrarna
vrida	vrida
Son	Son
avfallen	avfallen
svinet	svinet
låga	låga
räcka	räcka
rådde	rådde
tändas	tändas
vetet	vetet
Våra	Våra
tårarna	tårarna
fruktan	fruktan
båda	båda
ringare	ringare
arglistig	arglistig
höre	höre
stänga	stänga
vilddjur	vilddjur
