gallín	gallín
stærir	stærir
lifðu	lifðu
eiturlyfjanotendum	eiturlyfjanotendum
krossfest	krossfest
fjóla	fjóla
aðdáendurna	aðdáendurna
spektu	spektu
þarfir	þarfir
kalkspati	kalkspati
skrifað	skrifað
rakið	rakið
lífstykkjanna	lífstykkjanna
setta	setta
karsi	karsi
múslimarnir	múslimarnir
æðarblikans	æðarblikans
krossfesta	krossfesta
hug	hug
stökkið	stökkið
fisksins	fisksins
keyptu	keyptu
garðyrkjufræðin	garðyrkjufræðin
stoðunum	stoðunum
langöfunum	langöfunum
sellerí	sellerí
áfrýjuðu	áfrýjuðu
hljóðfærið	hljóðfærið
eyjarnar	eyjarnar
kvöldunum	kvöldunum
Fyrsti	Fyrsti
vísindamönnunum	vísindamönnunum
hneyktuð	hneyktuð
ættfeðurna	ættfeðurna
múkka	múkka
græði	græði
tignað	tignað
Send	Send
peninginn	peninginn
slútta	slútta
Sendu	Sendu
hrap	hrap
þrengingum	þrengingum
gerast	gerast
hafanna	hafanna
synjaði	synjaði
minnt	minnt
fagurfræðina	fagurfræðina
klæddi	klæddi
flotaforingjann	flotaforingjann
vissa	vissa
virtuð	virtuð
ungum	ungum
sent	sent
portum	portum
ilmjurtunum	ilmjurtunum
hengdi	hengdi
þremur	þremur
birtir	birtir
ríkdómur	ríkdómur
ættuð	ættuð
lúkka	lúkka
langöfum	langöfum
bærum	bærum
hvílíkum	hvílíkum
kjafta	kjafta
fjölmiðlasögur	fjölmiðlasögur
hóll	hóll
hneigðuð	hneigðuð
prentuðuð	prentuðuð
drýgði	drýgði
fyrstur	fyrstur
þurrís	þurrís
brekkusniglunum	brekkusniglunum
leysir	leysir
alur	alur
fórnum	fórnum
réttur	réttur
reiðir	reiðir
væskill	væskill
gefinn	gefinn
véið	véið
aukaspyrnu	aukaspyrnu
þjónustuna	þjónustuna
sveikst	sveikst
líka	líka
þínar	þínar
hafði	hafði
heyrðir	heyrðir
túrista	túrista
feta	feta
smalahundana	smalahundana
flokkurinn	flokkurinn
þökkum	þökkum
svaraði	svaraði
gátum	gátum
bíóið	bíóið
ljúkast	ljúkast
hjartarins	hjartarins
efi	efi
rótfestu	rótfestu
áttunda	áttunda
gætt	gætt
fiskum	fiskum
fyrstum	fyrstum
hæðir	hæðir
vekti	vekti
jötunuxa	jötunuxa
Komu	Komu
japönskunni	japönskunni
