läs	läs
Satans	Satans
kors	kors
barn	barn
Assurs	Assurs
höra	höra
arms	arms
bygges	bygges
steka	steka
nästa	nästa
sångerna	sångerna
Sjustjärnornas	Sjustjärnornas
nästas	nästas
Elisa	Elisa
satta	satta
hålen	hålen
kokte	kokte
förtälja	förtälja
bortförda	bortförda
ekar	ekar
rygga	rygga
förbud	förbud
tänk	tänk
siktades	siktades
borttappade	borttappade
förskingrades	förskingrades
smida	smida
son	son
tryggade	tryggade
sträcka	sträcka
Öga	Öga
libyerna	libyerna
fördärv	fördärv
bitarna	bitarna
Son	Son
avskära	avskära
näst	näst
Hagar	Hagar
helas	helas
betyda	betyda
växe	växe
ägare	ägare
höj	höj
råka	råka
Samarias	Samarias
utpantat	utpantat
betydande	betydande
släkte	släkte
öppnen	öppnen
köpa	köpa
tillträda	tillträda
uppresa	uppresa
övriga	övriga
dyrkar	dyrkar
nödgade	nödgade
mörka	mörka
skjuta	skjuta
plågade	plågade
längtan	längtan
mjöl	mjöl
äte	äte
bäres	bäres
släppt	släppt
rätta	rätta
upptändas	upptändas
undersökt	undersökt
nedgjorda	nedgjorda
stärka	stärka
samma	samma
korn	korn
antändas	antändas
återstodo	återstodo
beställa	beställa
trampas	trampas
vätas	vätas
gräte	gräte
Sina	Sina
rövare	rövare
handlar	handlar
utrotades	utrotades
omvände	omvände
firades	firades
tryckte	tryckte
Lemek	Lemek
sådant	sådant
förtär	förtär
Ava	Ava
mäta	mäta
bohag	bohag
sändebudet	sändebudet
ryckes	ryckes
Baals	Baals
kramade	kramade
hörda	hörda
Vilka	Vilka
förordnade	förordnade
följande	följande
tjänade	tjänade
Hagars	Hagars
svälja	svälja
helgades	helgades
insatt	insatt
benet	benet
förgjordes	förgjordes
varandra	varandra
bytte	bytte
fråga	fråga
Alexanders	Alexanders
vittnade	vittnade
bon	bon
fostrades	fostrades
våldföra	våldföra
korna	korna
bekännare	bekännare
lyfta	lyfta
någon	någon
beställt	beställt
Edom	Edom
äppelträd	äppelträd
ätes	ätes
känna	känna
Råd	Råd
kyssa	kyssa
förtrycktas	förtrycktas
Maas	Maas
uppenbarade	uppenbarade
moder	moder
som	som
glänsa	glänsa
uppslukades	uppslukades
Judeens	Judeens
damm	damm
nitälsken	nitälsken
ut	ut
förutbestämde	förutbestämde
utrotade	utrotade
Belas	Belas
märka	märka
Leviatan	Leviatan
grumlade	grumlade
uträckas	uträckas
frätas	frätas
flögo	flögo
försvarade	försvarade
råd	råd
sändes	sändes
Ono	Ono
förunnade	förunnade
