src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
tillsätta,tillsättas,0_0,0_11,verb;inf;actv,verb;inf;pasv,C
palats,palatsen,1_1,1_7,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;gen - n;nt;sg;ind;compound-R - n;nt;pl;ind;gen - n;nt;pl;ind;compound-R - n;nt;sg;ind;gen;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;nt;pl;ind;gen;compound-R,n;nt;pl;def - n;nt;pl;def;compound-R,C
framställa,framställde,0_0,0_1,verb;inf;actv,verb;past;actv - adj;pp;m;sg;def,C
välden,välden,1_7,1_7,n;ut;sg;def - n;nt;pl;ind - n;ut;sg;def;compound-R - n;nt;pl;ind;compound-R,n;ut;sg;def - n;nt;pl;ind - n;ut;sg;def;compound-R - n;nt;pl;ind;compound-R,C
lång,långt,0_2,0_10,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,C
otålig,otåligt,0_2,0_10,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,C
aktar,aktas,2_9,2_7,verb;pres;actv,verb;inf;pasv - verb;pres;pasv,C
bommar,bommen,2_9,2_14,n;ut;pl;ind - verb;pres;actv - n;ut;pl;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,C
bidade,biden,2_11,2_14,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,n;ut;sg;def - n;ut;sg;def;compound-R,POS_PAIR_ERROR
ringen,ring,2_14,2_2,n;ut;sg;def - n;ut;sg;def;compound-R,verb;imp - n;nt;sg;ind - n;ut;sg;ind - n;nt;sg;ind;compound-R - n;ut;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
lätt,lät,0_10,0_2,adj;sint;pst;nt;sg;ind - adj;sint;pst;ut;sg;ind,verb;past;actv,POS_PAIR_ERROR
Ahi,Ahia,0_2,0_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
behöva,behöves,0_0,0_3,verb;inf;actv,verb;imp - verb;pres;pasv - verb;pres;pasv,C
andar,andarna,2_9,2_13,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;pl;def - n;ut;pl;def;compound-R,C
uppfylle,uppfylles,0_5,0_3,,,SRC_LEXICAL_ERROR
avslutat,avslutad,0_10,0_5,verb;supn;actv - adj;pp;nt;sg;ind,adj;pp;ut;sg;ind,C
offerdjur,offerdjurs,1_1,1_2,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Datan,Datans,1_1,1_2,n;un;sg;def - n;ut;sg;def - n;un;sg;def;compound-R - n;ut;sg;def;compound-R,n;un;sg;def;gen - n;ut;sg;def;gen - n;un;sg;def;gen;compound-R - n;ut;sg;def;gen;compound-R,C
överlämnar,överlämnat,2_9,2_5,verb;pres;actv,verb;supn;actv - adj;pp;nt;sg;ind,C
bindes,bind,0_3,0_2,verb;pres;pasv - verb;prs;pasv,verb;imp - n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp - n;ut;sg;ind;cmp;compound-only-L,C
skuren,skur,0_6,0_2,n;ut;sg;def - n;ut;sg;def;compound-R - adj;pp;ut;sg;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,C
