src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
tillsätta,tillsättas,0_0,V;ACT;NFIN,0_11,ADJ;INDF;GEN;PL,verb;inf;actv,verb;inf;pasv,ERR_TGT_SLOT_ERROR
palats,palatsen,1_1,N;INDF;NOM;SG,1_7,DET;SG,n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;gen - n;nt;sg;ind;compound-R - n;nt;pl;ind;gen - n;nt;pl;ind;compound-R - n;nt;sg;ind;gen;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;nt;pl;ind;gen;compound-R,n;nt;pl;def - n;nt;pl;def;compound-R,ERR_TGT_SLOT_ERROR
framställa,framställde,0_0,V;ACT;NFIN,0_1,V;ACT;IND;PST,verb;inf;actv,verb;past;actv - adj;pp;m;sg;def,ERR_TGT_SLOT_ERROR
välden,välden,1_7,DET;SG,1_7,DET;SG,n;ut;sg;def - n;nt;pl;ind - n;ut;sg;def;compound-R - n;nt;pl;ind;compound-R,n;ut;sg;def - n;nt;pl;ind - n;ut;sg;def;compound-R - n;nt;pl;ind;compound-R,SRC_SLOT_ERROR;TGT_SLOT_ERROR
lång,långt,0_2,V;ACT;NFIN;COMPOUND,0_10,ADJ;INDF;NEUT;SG,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
otålig,otåligt,0_2,V;ACT;NFIN;COMPOUND,0_10,ADJ;INDF;NEUT;SG,adj;sint;pst;ut;sg;ind,adj;sint;pst;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
aktar,aktas,2_9,V;ACT;IND;PRS,2_7,V;PASS;NFIN,verb;pres;actv,verb;inf;pasv - verb;pres;pasv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
bommar,bommen,2_9,V;ACT;IND;PRS,2_14,N;DEF;SG,n;ut;pl;ind - verb;pres;actv - n;ut;pl;ind;compound-R,n;ut;sg;def - n;ut;sg;def;compound-R,ERR_TGT_SLOT_ERROR
bidade,biden,2_11,ADJ;DEF;PL,2_14,N;DEF;SG,verb;past;actv - adj;pp;pl;ind - adj;pp;pl;def - adj;pp;m;sg;def - adj;pp;fn;sg;def,n;ut;sg;def - n;ut;sg;def;compound-R,ERR_TGT_SLOT_ERROR
ringen,ring,2_14,N;DEF;SG,2_2,N;INDF;NOM;SG;COMPOUND,n;ut;sg;def - n;ut;sg;def;compound-R,verb;imp - n;nt;sg;ind - n;ut;sg;ind - n;nt;sg;ind;compound-R - n;ut;sg;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,ERR_SRC_SLOT_ERROR
lätt,lät,0_10,ADJ;INDF;NEUT;SG,0_2,V;ACT;NFIN;COMPOUND,adj;sint;pst;nt;sg;ind - adj;sint;pst;ut;sg;ind,verb;past;actv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Ahi,Ahia,0_2,V;ACT;NFIN;COMPOUND,0_0,V;ACT;NFIN,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
behöva,behöves,0_0,V;ACT;NFIN,0_3,V;PASS;IND;PRS,verb;inf;actv,verb;imp - verb;pres;pasv - verb;pres;pasv,C
andar,andarna,2_9,V;ACT;IND;PRS,2_13,PROPN;MASC,n;ut;pl;ind - n;ut;pl;ind;compound-R,n;ut;pl;def - n;ut;pl;def;compound-R,ERR_SRC_SLOT_ERROR
uppfylle,uppfylles,0_5,V.PTCP;PST,0_3,V;PASS;IND;PRS,,,UNK_SRC_SLOT_ERROR;SRC_LEXICAL_ERROR
avslutat,avslutad,0_10,ADJ;INDF;NEUT;SG,0_5,V.PTCP;PST,verb;supn;actv - adj;pp;nt;sg;ind,adj;pp;ut;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
offerdjur,offerdjurs,1_1,N;INDF;NOM;SG,1_2,N;INDF;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Datan,Datans,1_1,N;INDF;NOM;SG,1_2,N;INDF;GEN;PL,n;un;sg;def - n;ut;sg;def - n;un;sg;def;compound-R - n;ut;sg;def;compound-R,n;un;sg;def;gen - n;ut;sg;def;gen - n;un;sg;def;gen;compound-R - n;ut;sg;def;gen;compound-R,SRC_SLOT_ERROR;TGT_SLOT_ERROR
överlämnar,överlämnat,2_9,V;ACT;IND;PRS,2_5,V.CVB;ACT,verb;pres;actv,verb;supn;actv - adj;pp;nt;sg;ind,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
bindes,bind,0_3,V;PASS;IND;PRS,0_2,V;ACT;NFIN;COMPOUND,verb;pres;pasv - verb;prs;pasv,verb;imp - n;nt;sg;ind - n;nt;pl;ind - n;nt;sg;ind;compound-R - n;nt;pl;ind;compound-R - n;nt;sg;ind;cmp;compound-only-L - n;ut;sg;ind;cmp - n;ut;sg;ind;cmp;compound-only-L,TGT_SLOT_ERROR
skuren,skur,0_6,ADJ;INDF;MASC+FEM;SG,0_2,V;ACT;NFIN;COMPOUND,n;ut;sg;def - n;ut;sg;def;compound-R - adj;pp;ut;sg;ind,n;ut;sg;ind - n;ut;sg;ind;compound-R - n;ut;sg;ind;cmp;compound-only-L - verb;inf;actv;cmp;compound-only-L,ERR_TGT_SLOT_ERROR
