1_8	N;IN+ALL;PL
1_12	V;ACT;PST;POS;IND;PL
0_9	N;IN+ALL;SG
1_22	V;ACT;PRS;POS;IMP;2;PL
1_21	N;PRT;PL
0_7	N;IN+ESS;SG
0_1	ADJ;NOM;SG
1_23	V;ACT;PRS;POS;IND;2;PL
0_6	N;AT+ALL;SG
1_11	V;ACT;PRS;POS;IMP;2;SG
0_13	ADJ;NOM;PL
0_18	N;AT+ESS;SG
0_4	V;ACT;PRS;POS;IND
1_15	N;AT+ALL;PL
1_10	V;ACT;INS;SG
1_13	V;ACT;PRS;POS;COND;3;SG
0_11	N;AT+ABL;SG
0_10	V;ACT;PRS;POS;IND;1;PL
1_2	V.PTCP;ACT;PRS
1_20	V;ACT;PRS;POS;IMP;3;PL
0_19	V;ACT;PRS;POS;COND
1_18	V;IN+ALL;SG
0_8	ADJ;GEADJ;SG
1_16	V;ACT;PRS;POS;IND;3;PL
0_0	V;ACT;PRS;POS;IND;1;SG
1_6	V;ACT;PRS;POS;IMP
1_0	V;ACT;PRS;POS;IND;3;SG
1_19	N;AT+ESS;PL
0_17	N;IN+ABL;SG
1_3	V;ACT;PST;POS;IND;1;SG
1_5	V;ACT;PST;POS;IND;3;PL
0_3	N;PRT;SG
0_14	ADJ;FRML;SG
1_1	V;NFIN
1_9	V;ACT;PRS;POS;IND;2;SG
0_16	N;NOM;SG
1_7	V.PTCP;ACT;PST
0_12	N;NOM;PL
0_2	ADJ;TRANS;SG
1_14	N;IN+ABL;PL
0_5	N;GEN;SG
1_17	V;ACT;PRS;POS;IMP;3;SG
0_15	N;GEN;PL
1_4	V;ACT;PST;POS;IND;3;SG
