1_8	V.CVB
0_0	V;IND;PST;3;SG
1_6	V.PTCP;PST;ACC;PL
0_6	PRN;INDF;ACC;PL
0_10	V;SBJV;PST;3;PL
0_17	V.PTCP;PST;ACC;SG
0_19	V;IND;PRS;2;PL
1_9	ADJ;NOM;PL
1_12	V.PTCP;PST;NOM;SG
0_8	V;SBJV;PRS;2;SG
0_14	V;IMP;2;SG
0_18	N;INDF;NOM;SG
0_13	V.PTCP;PST;DAT;PL
1_15	V;IMP;2;PL
1_0	N;INDF;ACC;SG
0_4	V;IND;PST;3;PL
1_4	V;IND;PST;2;SG
1_5	N;DEF;ACC;SG
0_20	V;NFIN
0_1	V;SBJV;PRS;1;PL
1_18	V;IND;PST;2;PL
1_10	V;SBJV;PST;2;PL
0_21	V.PTCP;PST;GEN;SG
1_13	PRN;INDF;GEN;SG
0_16	V;IND;PRS;2;SG
0_9	PRN;INDF;ACC;SG
1_17	N;INDF;GEN;SG
0_15	V;SBJV;PRS;3;PL
1_14	N;INDF;GEN;PL
1_2	N;INDF;DAT;PL
1_11	V;SBJV;PST;3;SG
0_12	V;IND;PRS;1;SG
0_11	V;IND;PRS;3;PL
0_5	V;SBJV;PST;1;SG
1_1	N;DEF;DAT;PL
0_3	ADJ;ACC;PL
1_7	N;INDF;DAT;SG
1_16	N;DEF;NOM;SG
0_2	ADJ;NOM;SG
1_3	ADJ;ACC;SG
1_19	V;IND;PRS;3;SG
0_7	V;SBJV;PRS;1;SG
