1_24	PRN;NOM;2;PL
0_4	PRN;NOM;3;SG
0_6	V;FUT;2;PL
0_18	V;PST;SG;MASC
0_15	V;FUT;2;SG
2_6	N;GEN;SG
1_18	DET;DAT;SG
0_24	V.PTCP;PASS;PST
1_14	ADJ;GEN;FEM;SG
2_18	N;NOM;SG
1_13	V;PRS;1;PL
0_31	V;NFIN
1_3	V;PRS;3;SG
1_9	V;2;PL
0_20	PRN;2;SG
2_17	N;INS;PL
0_3	ADJ;ACC;NEUT;SG
0_0	V;PST;PL
2_14	N;INS;SG
2_13	ADJ;ACC;FEM;SG
0_5	PRN;PL
0_28	ADJ;INS;NEUT;SG
0_2	PRN;ACC;3;SG
2_9	ADJ;NOM;FEM;SG
1_19	V;PRS;2;PL
1_16	ADJ;FEM;SG;LGSPEC1
0_17	V;IMP;1;PL
0_14	PRN;DAT;2;SG
1_1	N;ACC;SG
1_20	V.CVB;PRS
2_12	ADJ;ACC;MASC;SG
1_23	V;PRS;2;SG
1_11	NUM;PL
1_21	V.PTCP;ACT;PRS
2_7	ADJ;GEN;MASC;SG
0_7	PRN;INS;PL
2_16	ADJ;INS;MASC;SG
1_15	V;PST;SG;NEUT
1_10	DET;NOM;SG
1_8	NUM;GEN;PL
1_2	V;PRS;1;SG
1_5	V;IMP;2;PL
0_12	ADJ;NOM;MASC;SG
2_0	N;ESS;SG
0_27	ADJ;PL;LGSPEC1
0_21	ADJ;NOM;PL
0_29	V;PRS;3;PL
0_26	PRN;INS;3;SG
1_22	N;ACC;PL
2_5	PRN;ACC;SG
2_20	V.PTCP;ACT;PST
2_8	ADJ;ACC;PL
2_2	ADJ;ESS;FEM;SG
2_10	N;ESS;PL
0_1	V;IMP;2;SG
0_16	V;FUT;3;SG
0_25	PRN;DAT;SG
2_4	ADJ;INS;FEM;SG
1_12	PRN;NOM;2;SG
0_30	V.CVB;PST
1_6	V.CVB
1_17	NUM;NOM;PL
1_7	NUM;ACC;SG
0_10	ADJ;GEN;NEUT;SG
2_1	N;GEN;PL
2_11	N;DAT;PL
0_23	V;FUT;1;SG
0_19	ADJ;ESS;PL
0_13	PRN;NOM;SG
2_19	N;DAT;SG
1_0	V;FUT;3;PL
2_15	ADJ;NOM;NEUT;SG
0_22	DET;PL
0_9	V;PST;SG;FEM
0_8	PRN;DAT;3;SG
2_3	N;NOM;PL
1_4	ADJ;MASC;SG;LGSPEC1
0_11	DET;ACC;PL
