src word,tgt word,src slot,tgt slot
inwendig,inwendig,0_12,0_12
inwendig,inwendige,0_12,0_3
inwendig,inwendigen,0_12,0_0
inwendige,inwendig,0_3,0_12
inwendige,inwendige,0_3,0_3
inwendige,inwendigen,0_3,0_0
inwendigen,inwendig,0_0,0_12
inwendigen,inwendige,0_0,0_3
inwendigen,inwendigen,0_0,0_0
wird,wird,0_12,0_12
Eben,Eben,0_0,0_0
Eben,Eber,0_0,0_5
Eber,Eben,0_5,0_0
Eber,Eber,0_5,0_5
Drache,Drache,0_3,0_3
Drache,Drachen,0_3,0_0
Drachen,Drache,0_0,0_3
Drachen,Drachen,0_0,0_0
beschnitt,beschnitt,0_12,0_12
beschnitt,beschnitten,0_12,0_0
beschnitten,beschnitt,0_0,0_12
beschnitten,beschnitten,0_0,0_0
schön,schön,0_12,0_12
schön,schöne,0_12,0_3
schön,schöner,0_12,0_5
schön,schönen,0_12,0_0
schön,schönes,0_12,0_8
schöne,schön,0_3,0_12
schöne,schöne,0_3,0_3
schöne,schöner,0_3,0_5
schöne,schönen,0_3,0_0
schöne,schönes,0_3,0_8
schöner,schön,0_5,0_12
schöner,schöne,0_5,0_3
schöner,schöner,0_5,0_5
schöner,schönen,0_5,0_0
schöner,schönes,0_5,0_8
schönen,schön,0_0,0_12
schönen,schöne,0_0,0_3
schönen,schöner,0_0,0_5
schönen,schönen,0_0,0_0
schönen,schönes,0_0,0_8
schönes,schön,0_8,0_12
schönes,schöne,0_8,0_3
schönes,schöner,0_8,0_5
schönes,schönen,0_8,0_0
schönes,schönes,0_8,0_8
behandeln,behandeln,0_0,0_0
behandeln,behandelt,0_0,0_6
behandeln,behandelte,0_0,0_4
behandeln,behandelten,0_0,0_11
behandelt,behandeln,0_6,0_0
behandelt,behandelt,0_6,0_6
behandelt,behandelte,0_6,0_4
behandelt,behandelten,0_6,0_11
behandelte,behandeln,0_4,0_0
behandelte,behandelt,0_4,0_6
behandelte,behandelte,0_4,0_4
behandelte,behandelten,0_4,0_11
behandelten,behandeln,0_11,0_0
behandelten,behandelt,0_11,0_6
behandelten,behandelte,0_11,0_4
behandelten,behandelten,0_11,0_11
Beschnittenen,Beschnittenen,0_0,0_0
Beschnittenen,Beschnittener,0_0,0_5
Beschnittener,Beschnittenen,0_5,0_0
Beschnittener,Beschnittener,0_5,0_5
Heiße,Heiße,0_3,0_3
Heiße,Heißt,0_3,0_6
Heißt,Heiße,0_6,0_3
Heißt,Heißt,0_6,0_6
Mamre,Mamre,0_3,0_3
Mamre,Mamres,0_3,0_8
Mamres,Mamre,0_8,0_3
Mamres,Mamres,0_8,0_8
zeihen,zeihen,0_0,0_0
zeihen,zeiht,0_0,0_6
zeiht,zeihen,0_6,0_0
zeiht,zeiht,0_6,0_6
entrüsten,entrüsten,0_0,0_0
entrüsten,entrüstet,0_0,0_6
entrüstet,entrüsten,0_6,0_0
entrüstet,entrüstet,0_6,0_6
Bär,Bär,0_12,0_12
Bär,Bären,0_12,0_0
Bär,Bärte,0_12,0_4
Bären,Bär,0_0,0_12
Bären,Bären,0_0,0_0
Bären,Bärte,0_0,0_4
Bärte,Bär,0_4,0_12
Bärte,Bären,0_4,0_0
Bärte,Bärte,0_4,0_4
Neid,Neid,0_12,0_12
Neid,Neides,0_12,0_8
Neides,Neid,0_8,0_12
Neides,Neides,0_8,0_8
wisse,wisse,0_3,0_3
wisse,wisset,0_3,0_9
wisse,wissen,0_3,0_0
wisse,wissest,0_3,0_2
wisset,wisse,0_9,0_3
wisset,wisset,0_9,0_9
wisset,wissen,0_9,0_0
wisset,wissest,0_9,0_2
wissen,wisse,0_0,0_3
wissen,wisset,0_0,0_9
wissen,wissen,0_0,0_0
wissen,wissest,0_0,0_2
wissest,wisse,0_2,0_3
wissest,wisset,0_2,0_9
wissest,wissen,0_2,0_0
wissest,wissest,0_2,0_2
zwang,zwang,0_12,0_12
zwang,zwangen,0_12,0_0
zwangen,zwang,0_0,0_12
zwangen,zwangen,0_0,0_0
ausgeworfen,ausgeworfen,0_12,0_12
ausgeworfen,ausgeworfenen,0_12,0_0
ausgeworfenen,ausgeworfen,0_0,0_12
ausgeworfenen,ausgeworfenen,0_0,0_0
ersterbe,ersterbe,0_3,0_3
ersterbe,ersterben,0_3,0_0
ersterben,ersterbe,0_0,0_3
ersterben,ersterben,0_0,0_0
Fittich,Fittich,0_12,0_12
Fittich,Fittiche,0_12,0_3
Fittich,Fittichen,0_12,0_0
Fittiche,Fittich,0_3,0_12
Fittiche,Fittiche,0_3,0_3
Fittiche,Fittichen,0_3,0_0
Fittichen,Fittich,0_0,0_12
Fittichen,Fittiche,0_0,0_3
