versöhnt,versöhne,0_6,0_3
fürchtet,fürchtest,0_6,0_10
neigest,neigten,0_2,0_11
Welcher,Welches,0_5,0_8
Ai,Ais,1_0,1_2
lasse,lasset,0_3,0_9
sollten,soll,0_11,0_12
Korinth,Korinther,0_12,0_5
schlügen,schlüget,0_0,0_9
anriefen,anriefst,0_0,0_10
mangelt,mangeln,0_6,0_0
fülle,füllten,0_3,0_11
an,an,1_1,1_1
ganzer,ganzem,0_5,0_7
verborgenem,verborgener,0_7,0_5
räucherten,räucherte,0_11,0_4
erhöht,erhöhte,0_6,0_4
Angesichts,Angesicht,0_1,0_12
klaget,klagt,0_9,0_6
wohne,wohnst,0_3,0_10
versöhne,versöhnst,0_3,0_10
wehte,wehen,0_4,0_0
wollt,wollte,0_6,0_4
dränge,drängten,0_3,0_11
bedrohte,bedrohen,1_4,1_1
zürnet,zürnen,0_9,0_0
Zerstreuer,Zerstreuer,0_5,0_5
Abisais,Abisai,1_2,1_0
verändern,veränderst,0_0,0_10
schlaft,schlafen,0_6,0_0
Strauße,Strauß,0_3,0_12
zinsen,zinste,1_1,1_4
bewahrte,bewahrest,0_4,0_2
geißeln,geißelte,0_0,0_4
mangeln,mangelt,0_0,0_6
keltert,keltern,0_6,0_0
entsetzet,entsetzten,0_9,0_11
dürft,dürfen,0_6,0_0
Raub,Raube,0_12,0_3
sei,seist,0_12,0_10
demütige,demütigt,0_3,0_6
freche,frechen,0_3,0_0
wärst,wäre,0_10,0_3
demütigen,demütigte,0_0,0_4
austraten,austrat,0_0,0_12
Gebots,Gebote,0_1,0_3
jemandes,jemand,0_8,0_12
Steig,Steiget,0_12,0_9
antworten,antworte,0_0,0_3
nimm,nimmst,0_12,0_10
neu,neuer,0_12,0_5
wüst,wüstes,0_12,0_8
Mizpe,Mizpe,0_3,0_3
hingehet,hingeht,0_9,0_6
fremden,fremdem,0_0,0_7
welken,welke,0_0,0_3
versündige,versündigten,0_3,0_11
schießt,schieße,0_6,0_3
erhöhte,erhöhe,0_4,0_3
Verstöre,Verstörer,0_3,0_5
beklagt,beklagte,0_6,0_4
mehr,mehret,0_12,0_9
Christ,Christe,0_12,0_3
anrührten,anrührte,0_11,0_4
erforschen,erforsche,0_0,0_3
sehe,sehe,0_3,0_3
unbekannten,unbekannte,0_0,0_3
erhöhe,erhöhte,0_3,0_4
tolles,tolle,0_8,0_3
flüchtig,flüchtig,0_12,0_12
betastet,betaste,0_9,0_3
derselben,derselbe,0_0,0_3
beriefen,berief,0_0,0_12
gottloser,gottloses,0_5,0_8
überschwengliche,überschwenglichen,0_3,0_0
Mahaths,Mahath,1_2,1_0
Werken,Werke,0_0,0_3
Steiget,Steig,0_9,0_12
Wirte,Wirst,0_4,0_10
Schöpf,Schöpf,0_12,0_12
heiße,heißes,0_3,0_8
ersäufte,ersäuft,0_4,0_6
bewahret,bewahrst,0_9,0_10
ermahnte,ermahnen,0_4,0_0
versiegt,versiegen,0_6,0_0
hadere,hadere,0_3,0_3
suchet,suche,0_9,0_3
dicke,dicken,0_3,0_0
Leuchter,Leuchten,0_5,0_0
wild,wilder,0_12,0_5
folget,folgt,0_9,0_6
gedenket,gedenkest,0_9,0_2
Streit,Streite,0_12,0_3
entweihen,entweihte,0_0,0_4
sorgen,sorget,0_0,0_9
Bollwerk,Bollwerke,0_12,0_3
Fleisch,Fleische,0_12,0_3
laß,laßt,0_12,0_6
setzt,setzest,0_6,0_2
Meselemja,Meselemjas,1_0,1_2
verzehre,verzehrt,0_3,0_6
hingehet,hingehen,0_9,0_0
ob,oben,0_12,0_0
kriegt,kriegten,0_6,0_11
auflegt,auflege,0_6,0_3
Angesicht,Angesichts,0_12,0_1
faulen,faule,0_0,0_3
schweigen,schweigst,0_0,0_10
sitzt,sitzest,0_6,0_2
möge,mögest,0_3,0_2
ratschlagen,ratschlagte,0_0,0_4
Nehemia,Nehemias,1_0,1_2
Betet,Bete,0_9,0_3
Unbeschnittene,Unbeschnittene,0_3,0_3
lies,liesest,0_12,0_2
behaltet,behalte,0_9,0_3
auferstehen,auferstehe,0_0,0_3
fördere,fördern,0_3,0_0
darniederliegt,darniederliegen,0_6,0_0
schwarzen,schwarzes,0_0,0_8
Gebieter,Gebiet,0_5,0_12
streichen,streichen,0_0,0_0
auskommt,auskommen,0_6,0_0
solang,solange,0_12,0_3
gehen,gehen,0_0,0_0
Rehabeams,Rehabeam,1_2,1_0
gelegen,gelegt,0_0,0_6
toben,tobten,0_0,0_11
demütigst,demütig,0_10,0_12
Ob,Obst,0_12,0_10
kriegen,krieget,0_0,0_9
fordert,forderst,0_6,0_10
verachteter,verachteten,0_5,0_0
kleine,klein,0_3,0_12
krumme,krummen,0_3,0_0
böses,böser,0_8,0_5
besamt,besamen,0_6,0_0
Ephrath,Ephraths,0_12,0_1
Klaue,Klauen,0_3,0_0
aßet,aß,0_9,0_12
ansagten,ansagen,0_11,0_0
zeigen,zeige,0_0,0_3
tägliches,täglichem,0_8,0_7
herausgeht,herausgehe,0_6,0_3
frischen,frisches,0_0,0_8
Bergen,Berge,0_0,0_3
vergessest,vergesse,0_2,0_3
schwarze,schwarzes,0_3,0_8
regt,regen,0_6,0_0
speiest,speiet,0_2,0_9
Gebot,Gebotes,0_12,0_8
würdest,würdet,0_2,0_9
liebe,liebes,0_3,0_8
Schläfe,Schläfer,0_3,0_5
Tags,Tag,0_1,0_12
Unreiner,Unreinen,0_5,0_0
Großen,Große,0_0,0_3
grünes,grünen,0_8,0_0
brichst,brich,0_10,0_12
kurzem,kurz,0_7,0_12
arbeite,arbeiten,0_3,0_0
anbetet,anbeten,0_9,0_0
graute,graue,0_4,0_3
Buchen,Buches,0_0,0_8
verkündigte,verkündigten,0_4,0_11
fast,fastet,0_12,0_9
köstliches,köstlich,0_8,0_12
Ziegenhaar,Ziegenhaare,0_12,0_3
prächtigen,prächtige,0_0,0_3
flucht,fluchet,0_6,0_9
vergreifen,vergreifst,0_0,0_10
nachwandelt,nachwandelte,0_6,0_4
jemanden,jemandes,0_0,0_8
Assur,Assuriter,1_0,1_3
Warten,War,0_11,0_12
jung,junge,0_12,0_3
nachjagen,nachjage,0_0,0_3
mögst,mögt,0_10,0_6
andere,anderes,0_3,0_8
nirgend,nirgends,1_0,1_2
jüngerer,jüngeren,0_5,0_0
stärkten,stärkte,0_11,0_4
Eide,Eid,0_3,0_12
zugehört,zugehören,0_6,0_0
Kläger,Kläger,1_0,1_0
sondert,sonderte,0_6,0_4
schlafe,schlaft,0_3,0_6
diene,dienten,0_3,0_11
Sänften,Sänfte,0_0,0_3
fürchten,fürchte,0_0,0_12
weissage,weissagten,0_3,0_11
krank,kranken,0_12,0_0
treuen,treuer,0_0,0_5
schwimmen,schwimmst,0_0,0_10
treffen,trefft,0_0,0_6
