granda,grand,1_14,1_0
genginn,gengi,0_2,0_15
kom,komast,0_14,0_11
freistar,freista,1_9,1_14
sættist,sættast,0_7,0_11
varðveiti,varðveitast,0_15,0_11
góðir,góð,1_4,1_0
hvílíks,hvílíkan,1_13,1_3
máttur,máttinn,1_12,1_5
þorpa,þorp,1_14,1_0
lastmæltu,lastmæli,0_4,0_15
treystu,treysti,1_17,1_7
rannsakið,rannsakar,1_15,1_9
staður,stað,1_12,1_0
kemur,kem,0_16,0_14
fátækum,fátæk,1_2,1_0
þúsundunum,þúsundum,1_1,1_2
ritar,ritað,1_9,1_8
rætst,rætur,0_12,0_16
fávísa,fávísar,1_14,1_9
grafinn,grafir,0_2,0_8
óbyggðum,óbyggð,1_2,1_0
ljóna,ljón,1_14,1_0
ásettu,ásetti,1_17,1_7
ljósinu,ljós,1_10,1_0
fræðst,fræðir,0_12,0_8
fullyrtu,fullyrti,1_17,1_7
hinu,hina,1_17,1_14
Sódómu,Sódóma,1_17,1_14
þessir,þessar,1_4,1_9
Mannssoninn,Mannssonurinn,1_5,1_16
veitir,veitum,0_8,0_1
arfleifð,arfleifðar,1_0,1_9
drukkum,drukkin,0_1,0_3
fúsum,fúsir,1_2,1_4
útlendingum,útlendingur,1_2,1_12
stundu,stundum,1_17,1_2
vonin,voni,1_6,1_7
Ljós,Ljós,0_14,0_14
ofsókn,ofsóknir,1_0,1_4
senda,sendum,1_14,1_2
hegðar,hegðið,1_9,1_15
lærisveinunum,lærisveins,1_1,1_13
kvöldu,kvöld,1_17,1_0
stæra,stæri,0_20,0_15
efast,ef,0_11,0_14
guðlastar,guðlast,1_9,1_0
heiðingjar,heiðingja,1_9,1_14
sjáum,sjái,0_1,0_15
annara,annara,1_14,1_14
slíkum,slíka,1_2,1_14
hlutu,hluta,1_17,1_14
sæi,sæi,0_15,0_15
dýrlegan,dýrlegi,1_3,1_7
mælir,mælum,0_8,0_1
tunglsjúka,tunglsjúkur,1_14,1_12
kunnan,kunnur,1_3,1_12
líka,líkur,0_20,0_16
snauða,snauðu,1_14,1_17
dýrlegi,dýrlegi,1_7,1_7
greina,greinar,1_14,1_9
leiða,leiðin,1_14,1_6
bát,báti,1_0,1_7
samlaga,samlagast,1_14,1_19
ákaft,ákafar,1_0,1_9
friði,friður,1_7,1_12
möttulinn,möttul,1_5,1_0
aftraði,aftrið,1_11,1_15
frelsaði,frelsað,1_11,1_8
flutti,fluttir,1_7,1_4
reglu,reglum,1_17,1_2
þjóð,þjóð,1_0,1_0
orðum,orðs,1_2,1_13
hvíldardagur,hvíldardaginn,1_12,1_5
skíra,skírst,0_20,0_12
mína,míns,1_14,1_13
lendir,lendi,1_4,1_7
þýðast,þýðir,0_11,0_8
tjaldbúð,tjaldbúðin,0_14,0_3
gæfi,gæfur,1_7,1_12
lífinu,líf,1_10,1_0
sitja,sit,0_6,0_14
ávarpar,ávarpið,1_9,1_15
þinna,þinni,1_14,1_7
fengin,fenguð,1_6,1_18
lokið,lokað,1_15,1_8
óttinn,ótta,0_2,0_20
náðar,náðar,1_9,1_9
skírlífar,skírlífu,1_9,1_17
festi,fest,1_7,1_0
lendar,lendur,1_9,1_12
samboðin,samboðinn,0_3,0_2
fórnað,fórnin,1_8,1_6
heilu,heilan,1_17,1_3
full,fullur,1_0,1_12
tungur,tungum,1_12,1_2
skylduð,skyldir,1_18,1_4
hvílík,hvílíkum,1_0,1_2
höggva,höggvin,1_14,1_6
einlægt,einlæg,1_0,1_0
laus,lausan,1_0,1_3
skipinu,skip,1_10,1_0
Sælir,Sæl,1_4,1_0
ofdrykkja,ofdrykkju,1_14,1_17
bæn,bæ,0_9,0_14
léti,létum,1_7,1_2
ráðalaus,ráðalaus,1_0,1_0
liðs,liði,1_13,1_7
fellur,fellir,1_12,1_4
strætinu,strætum,1_10,1_2
Ljós,Ljósið,0_14,0_19
fótur,fóta,1_12,1_14
flokk,flokkur,1_0,1_12
vegar,vegið,1_9,1_15
skírð,skírði,0_18,0_5
orðinu,orðunum,1_10,1_1
alda,aldar,1_14,1_9
þjóni,þjónunum,1_7,1_1
barn,barði,0_9,0_5
mesta,mestu,1_14,1_17
kjöts,kjötið,1_13,1_15
konungunum,konung,1_1,1_0
kostar,kosta,1_9,1_14
hlutur,hlutir,1_12,1_4
finna,finnur,0_20,0_16
vor,vora,1_0,1_14
synduga,syndug,1_14,1_0
sálum,sál,1_2,1_0
röddu,röddin,1_17,1_6
fugla,fuglar,1_14,1_9
hreinu,hreinum,1_17,1_2
sjálf,sjálfa,1_0,1_14
inn,inni,0_14,0_15
mínar,mínum,1_9,1_2
samþykk,samþykktu,0_14,0_4
hef,hefðu,0_14,0_13
verkinu,verka,1_10,1_14
lendur,lendar,1_12,1_9
engla,englum,1_14,1_2
rækur,ræktu,0_16,0_4
annt,annar,1_0,1_9
ljós,ljósið,1_0,1_15
hafna,haf,0_21,0_14
stöðugur,stöðugir,1_12,1_4
samkundu,samkunda,1_17,1_14
fólks,fólk,1_13,1_0
líkama,líkamir,1_14,1_4
upplýsa,upplýsir,1_14,1_4
komin,koma,0_3,0_20
hálfan,hálfu,1_3,1_17
vara,varst,0_20,0_12
deila,deilur,1_14,1_12
skreyttu,skreytið,0_4,0_19
reynast,reynið,0_11,0_19
bú,búum,0_14,0_1
lokað,loka,1_8,1_14
borgarhliðunum,borgarhliðunum,1_1,1_1
heilags,heilaga,1_13,1_14
kunna,kunnur,1_14,1_12
vein,vei,0_3,0_15
loka,lokum,1_14,1_2
birta,birtir,0_20,0_8
stólpi,stólpa,1_7,1_14
steyta,steytir,1_14,1_4
blessa,blessa,1_14,1_14
vakið,vakinn,0_19,0_2
lokið,loka,1_15,1_14
veiku,veikir,1_17,1_4
Eruð,Ert,1_18,1_0
kunngjörið,kunngjört,0_19,0_17
lágir,lágum,1_4,1_2
miklað,mikli,1_8,1_7
Gyðinga,Gyðingurinn,1_14,1_16
laufgast,laufgað,1_19,1_8
daginn,daga,1_5,1_14
horfum,horfir,0_1,0_8
velur,velt,0_16,0_17
syndgum,syndgið,1_2,1_15
Tímóteus,Tímóteusar,1_0,1_9
ákafar,ákaft,1_9,1_0
niðja,nið,0_6,0_14
voni,von,1_7,1_0
flytja,flyt,0_6,0_14
gagns,gagnar,1_13,1_9
vaka,vakin,0_20,0_3
orð,orðum,1_0,1_2
létu,lét,1_17,1_0
réttlát,réttlátu,1_0,1_17
heyrið,heyrast,0_19,0_11
upphafið,upphafi,1_15,1_7
hinar,hinu,1_9,1_17
verka,verkunum,1_14,1_1
lík,líkist,0_14,0_7
prédikað,prédikum,1_8,1_2
tungur,tunga,1_12,1_14
trúið,trúir,0_19,0_8
dýrmætan,dýrmætur,1_3,1_12
skil,skilinn,1_0,1_5
lýður,lýða,1_12,1_14
gestunum,gestur,1_1,1_12
brúðkaupið,brúðkaups,1_15,1_13
trú,trúu,0_14,0_10
heim,heiminn,1_0,1_5
styrkja,styrktu,0_6,0_4
þúsundum,þúsund,1_2,1_0
fáir,fáum,0_8,0_1
slíku,slík,1_17,1_0
leitum,leiti,1_2,1_7
launa,launin,1_14,1_6
slíkan,slíkt,1_3,1_0
sterkur,sterka,1_12,1_14
brennisteini,brennisteins,1_7,1_13
álít,álítið,1_0,1_15
stundin,stundum,1_6,1_2
aflaði,afl,1_11,1_0
svikum,svikin,1_2,1_6
vilji,viljað,1_7,1_8
boðorði,boðorð,1_7,1_0
uppsker,uppskerum,1_0,1_2
sætt,sæta,1_0,1_14
sleppt,sleppa,0_17,0_20
eldurinn,eldinn,1_16,1_5
eins,einar,1_13,1_9
leyfið,leyft,0_19,0_17
tali,tala,1_7,1_14
dýri,dýrinu,1_7,1_10
lifnaði,lifnaður,1_7,1_12
virði,virða,0_15,0_20
sess,sest,1_13,1_0
útlendingar,útlendingum,1_9,1_2
strætin,stræti,1_6,1_7
dæmdan,dæmdir,1_3,1_4
dæma,dæmið,0_20,0_19
skíru,skírast,0_10,0_11
tákna,táknunum,1_14,1_1
hvílíkan,hvílíkar,1_3,1_9
hersveit,hersveitir,1_0,1_4
vanir,vana,0_8,0_20
veitast,veitum,0_11,0_1
léti,lét,1_7,1_0
aflar,afl,1_9,1_0
leyndardómur,leyndardómurinn,1_12,1_16
nefndur,nefnda,1_12,1_14
vond,vondar,1_0,1_9
landstjóri,landstjórar,1_7,1_9
líkist,lík,0_7,0_14
þerna,þernan,1_14,1_3
samkundur,samkundum,1_12,1_2
samþykk,samþykkið,0_14,0_19
ills,illir,1_13,1_4
fullu,full,1_17,1_0
greið,greiði,0_14,0_15
skil,skilaði,1_0,1_11
hirðar,hirðir,1_9,1_4
steinar,stein,1_9,1_0
Hverja,Hvert,0_6,0_17
heims,heiminn,1_13,1_5
orðunum,orðið,1_1,1_15
fánýtt,fánýtu,1_0,1_17
bert,beri,0_17,0_15
muni,munir,0_15,0_8
vindar,vindum,1_9,1_2
helgur,helgum,1_12,1_2
veittuð,veitti,1_18,1_7
vondum,vond,1_2,1_0
Heilagur,Heilagi,1_12,1_7
grafið,grafir,0_19,0_8
skapaði,skapi,1_11,1_7
selt,sel,0_17,0_14
saltast,saltur,0_11,0_16
úlfa,úlfurinn,1_14,1_16
hyggist,hygg,0_7,0_14
mega,megi,0_20,0_15
vínviðurinn,vínviður,1_16,1_12
verkin,verks,1_6,1_13
staðfastur,staðfastir,1_12,1_4
skrifuð,skrifað,1_18,1_8
pundið,pundin,1_15,1_6
vakinn,vakir,0_2,0_8
kæmu,kæmi,1_17,1_7
tungan,tungum,1_3,1_2
hópinn,hópum,1_5,1_2
reiðin,reiði,1_6,1_7
hyggja,hygg,0_6,0_14
ofsótti,ofsóttu,1_7,1_17
jörð,jörð,1_0,1_0
fjóra,fjórum,0_20,0_1
kærleiks,kærleiki,1_13,1_7
sakfella,sakfellir,1_14,1_4
líkir,líkja,0_8,0_6
fyrirgefur,fyrirgefum,1_12,1_2
flettið,flettu,0_19,0_10
góðir,góða,1_4,1_14
líkið,líka,0_19,0_20
róti,rótum,1_7,1_2
lofað,lofa,1_8,1_14
miklu,mikla,1_17,1_14
