tage,taget,0_5,0_2
tillsätta,tillsättas,0_0,0_11
palats,palatsen,1_1,1_7
framställa,framställde,0_0,0_1
välden,välden,1_7,1_7
lång,långt,0_2,0_10
otålig,otåligt,0_2,0_10
aktar,aktas,2_9,2_7
bommar,bommen,2_9,2_14
bidade,biden,2_11,2_14
ringen,ring,2_14,2_2
lätt,lät,0_10,0_2
Ahi,Ahia,0_2,0_0
behöva,behöves,0_0,0_3
andar,andarna,2_9,2_13
uppfylle,uppfylles,0_5,0_3
avslutat,avslutad,0_10,0_5
offerdjur,offerdjurs,1_1,1_2
Datan,Datans,1_1,1_2
överlämnar,överlämnat,2_9,2_5
bindes,bind,0_3,0_2
skuren,skur,0_6,0_2
prisade,priset,2_11,2_4
dricka,dricker,0_0,0_8
utvalde,utvald,0_5,0_2
förseglet,förseglat,2_4,2_5
överhet,överheten,1_1,1_7
skriven,skrivet,0_6,0_2
öppnade,öppnat,2_11,2_5
utropar,utropade,2_9,2_11
räknade,räknen,2_11,2_14
bespottade,bespotta,2_11,2_12
fördärvare,fördärvar,2_1,2_9
bort,bor,0_10,0_2
arglistige,arglistigt,0_5,0_10
Sofar,Sofa,2_9,2_12
följen,följas,0_6,0_11
jämnar,jämnad,2_9,2_3
Ara,Ard,0_0,0_5
ladan,lador,0_2,0_13
klokare,kloke,0_12,0_5
beröven,berövar,2_14,2_9
fastare,fastade,2_1,2_11
Suf,Sufa,0_2,0_0
förunnade,förunna,2_11,2_12
viljas,viljen,0_11,0_6
rota,rota,2_12,2_12
bitter,bittert,0_2,0_10
höge,högt,0_5,0_10
meddelat,meddelas,2_5,2_7
undervisas,undervisa,2_7,2_12
vän,vände,0_2,0_1
lovsången,lovsångs,1_7,1_2
ogudaktigt,ogudaktigare,0_10,0_12
stången,stångar,2_14,2_9
uppfylle,uppfyllen,0_5,0_6
Ordet,Ord,1_8,1_1
förhärda,förhärdad,2_12,2_3
ofärden,ofärds,1_7,1_2
tages,tagit,0_3,0_14
gång,gångerna,1_1,1_5
frommas,fromme,0_11,0_5
höljes,hölje,0_3,0_5
fläck,fläckar,2_2,2_9
trötta,trött,0_0,0_2
anklagad,anklagade,2_3,2_11
invig,invigas,0_2,0_11
framställa,framställa,0_0,0_0
framställa,framställda,0_0,0_0
salar,sal,1_0,1_1
mågar,måg,2_9,2_2
räckt,räck,0_10,0_2
Jojakims,Jojakim,1_2,1_1
vilar,vilen,2_9,2_14
spetälsk,spetälske,0_2,0_5
Svara,Svarar,2_12,2_9
kalva,kalv,2_12,2_2
döden,dödas,2_14,2_7
gynnsam,gynnsamt,0_2,0_10
förjagar,förjagat,2_9,2_5
inför,införa,0_2,0_0
tavlor,tavla,0_13,0_0
doppade,doppa,2_11,2_12
Teba,Tebet,0_0,0_2
pölen,pöl,1_7,1_1
kamelston,kamelsto,0_6,0_2
ar,art,0_2,0_10
utmarker,utmark,1_0,1_1
okändes,okända,0_3,0_0
