src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,annotation
versöhnt,versöhne,0_12,V;IND;PRS;2;PL,0_10,V;SBJV;PRS;1;SG
fürchtet,fürchtest,0_14,V;SBJV;PRS;2;PL,0_5,V;SBJV;PRS;2;SG
neigest,neigten,0_5,V;SBJV;PRS;2;SG,0_8,V;SBJV;PST;3;PL
welcher,welches,0_7,V;IND;PST;3;SG,0_11,?
ai,ais,1_5,V;SBJV;PST;2;PL,1_0,?
lasse,lasset,0_10,V;SBJV;PRS;1;SG,0_14,V;SBJV;PRS;2;PL
sollten,soll,0_8,V;SBJV;PST;3;PL,0_13,V;IMP;2;SG
korinth,korinther,0_13,V;IMP;2;SG,0_7,V;IND;PST;3;SG
schlügen,schlüget,0_0,V;NFIN,0_14,V;SBJV;PRS;2;PL
anriefen,anriefst,0_0,V;NFIN,0_3,V;IND;PRS;2;SG
mangelt,mangeln,0_12,V;IND;PRS;2;PL,0_0,V;NFIN
füllet,füllten,0_14,V;SBJV;PRS;2;PL,0_8,V;SBJV;PST;3;PL
aner,an,0_7,V;IND;PST;3;SG,0_13,V;IMP;2;SG
ganzer,ganzem,0_7,V;IND;PST;3;SG,0_2,?
verborgenem,verborgener,0_2,?,0_7,V;IND;PST;3;SG
räucherten,räucherte,0_8,V;SBJV;PST;3;PL,0_4,V;SBJV;PST;3;SG
erhöht,erhöhte,0_12,V;IND;PRS;2;PL,0_4,V;SBJV;PST;3;SG
angesichts,angesichtern,0_9,V;IND;PRS;3;SG,0_6,V;SBJV;PRS;1;PL
klaget,klagt,0_14,V;SBJV;PRS;2;PL,0_12,V;IND;PRS;2;PL
wohnung,wohnst,0_1,?,0_3,V;IND;PRS;2;SG
versöhnung,versöhnst,0_1,?,0_3,V;IND;PRS;2;SG
wehte,wehen,0_4,V;SBJV;PST;3;SG,0_0,V;NFIN
wollt,wollte,0_12,V;IND;PRS;2;PL,0_4,V;SBJV;PST;3;SG
drängern,drängten,0_6,V;SBJV;PRS;1;PL,0_8,V;SBJV;PST;3;PL
länge,längst,0_10,V;SBJV;PRS;1;SG,0_3,V;IND;PRS;2;SG
zürnet,zürnen,0_14,V;SBJV;PRS;2;PL,0_0,V;NFIN
zerstreuung,zerstreuer,0_1,?,0_7,V;IND;PST;3;SG
abisais,abisai,1_0,?,1_5,V;SBJV;PST;2;PL
veränderung,veränderst,0_1,?,0_3,V;IND;PRS;2;SG
schlaft,schlafen,0_12,V;IND;PRS;2;PL,0_0,V;NFIN
strauße,strauß,0_10,V;SBJV;PRS;1;SG,0_13,V;IMP;2;SG
zinsen,zinste,0_0,V;NFIN,0_4,V;SBJV;PST;3;SG
bewahrte,bewahrest,0_4,V;SBJV;PST;3;SG,0_5,V;SBJV;PRS;2;SG
geißeln,geißelte,0_0,V;NFIN,0_4,V;SBJV;PST;3;SG
mangel,mangelt,0_13,V;IMP;2;SG,0_12,V;IND;PRS;2;PL
keltert,keltern,0_12,V;IND;PRS;2;PL,0_0,V;NFIN
