src word,tgt word,src slot,src predicted,tgt slot,tgt predicted,annotation 1,annotation 2,Notes,KEY,
rooms,room,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,Could be a pipeline error. Also notice that room could potentially be a verb?,C,Correct
room,rooms,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,PARADIGM_ERROR,A word does not belong in the paradigm with the other words (see below for more specific instances of this)
,,,,,,,,,POS_ERROR,Inflection is grouped with words of a different POS (sometimes this has to be inferred by the slot ID)
hairs,hair,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,DERIVATION_ERROR,Special case of POS_ERROR -- the word is derived from the paradigm
hair,hairs,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,SLOT_ERROR,"Word belongs in the paradigm, but the slot is marked wrong (consider the predicted tags or use your best judgment for this..)"
,,,,,,,,,PIPELINE_ERROR,Error is systematic due to the way the inductin pipeline works
whispered,whispering,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,CLOSED_CLASS_ERROR,A closed class [e.g. 'and'] word is given inflecitons
whispering,whispered,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
,,,,,,,,,TODO:, distinguish target and source slot in slot errors
sums,sum,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,TODO:,We may want to mark in the 2nd column if an erroneous inflection pair rhymes with a real pair (maybe we can do something like this deterministically by analyzing the edit tree)
sum,sums,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
,,,,,,,,,,
galileans,galilean,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
galilean,galileans,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
looks,looked,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
looks,look,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
looks,looking,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
looked,looks,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
looked,look,1_1,V;PST,1_2,V;NFIN,C,,,,
looked,looking,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
look,looks,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
look,looked,1_2,V;NFIN,1_1,V;PST,C,,,,
look,looking,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
looking,looks,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
looking,looked,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
looking,look,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
flames,flame,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
flames,flaming,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
flame,flames,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
flame,flaming,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
flaming,flames,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
flaming,flame,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
stores,stored,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
stores,store,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
stores,storing,1_0,V;3;SG;PRS,1_3,V;V.PTCP;PRS,C,,,,
stored,stores,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
stored,store,1_1,V;PST,1_2,V;NFIN,C,,,,
stored,storing,1_1,V;PST,1_3,V;V.PTCP;PRS,C,,,,
store,stores,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
store,stored,1_2,V;NFIN,1_1,V;PST,C,,,,
store,storing,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
storing,stores,1_3,V;V.PTCP;PRS,1_0,V;3;SG;PRS,C,,,,
storing,stored,1_3,V;V.PTCP;PRS,1_1,V;PST,C,,,,
storing,store,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
bowls,bowl,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,"This IS a verb, but clearly would be used in noun sense in bible",,,
bowl,bowls,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
corrupts,corrupted,1_0,V;3;SG;PRS,1_1,V;PST,C,,,,
corrupts,corrupt,1_0,V;3;SG;PRS,1_2,V;NFIN,C,,,,
corrupted,corrupts,1_1,V;PST,1_0,V;3;SG;PRS,C,,,,
corrupted,corrupt,1_1,V;PST,1_2,V;NFIN,C,,,,
corrupt,corrupts,1_2,V;NFIN,1_0,V;3;SG;PRS,C,,,,
corrupt,corrupted,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
sorcerer,sorcery,1_5,N;SG,1_6,ADJ,DERIVATIONAL_ERROR,,,,
sorcery,sorcerer,1_6,ADJ,1_5,N;SG,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
evils,evil,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
evil,evils,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
spend,spending,1_2,V;NFIN,1_3,V;V.PTCP;PRS,C,,,,
spending,spend,1_3,V;V.PTCP;PRS,1_2,V;NFIN,C,,,,
,,,,,,,,,,
pushed,pushing,1_1,V;PST,1_3,V;V.PTCP;PRS,c,,,,
pushing,pushed,1_3,V;V.PTCP;PRS,1_1,V;PST,c,,,,
,,,,,,,,,,
dragged,dragging,1_1,V;PST,1_3,V;V.PTCP;PRS,c,,,,
dragging,dragged,1_3,V;V.PTCP;PRS,1_1,V;PST,c,,,,
,,,,,,,,,,
escorted,escort,1_1,V;PST,1_2,V;NFIN,C,,,,
escort,escorted,1_2,V;NFIN,1_1,V;PST,C,,,,
,,,,,,,,,,
loads,loaded,1_0,V;3;SG;PRS,1_1,V;PST,c,,,,
loads,load,1_0,V;3;SG;PRS,1_2,V;NFIN,c,,,,
loaded,loads,1_1,V;PST,1_0,V;3;SG;PRS,c,,,,
loaded,load,1_1,V;PST,1_2,V;NFIN,c,,,,
load,loads,1_2,V;NFIN,1_0,V;3;SG;PRS,c,,,,
load,loaded,1_2,V;NFIN,1_1,V;PST,c,,,,
,,,,,,,,,,
physical,physically,1_2,V;NFIN,1_4,?,DERIVATIONAL_ERROR,ADJ --> ADVERB,,,
physically,physical,1_4,?,1_2,V;NFIN,DERIVATIONAL_ERROR,,,,
,,,,,,,,,,
revelations,revelation,1_0,V;3;SG;PRS,1_2,V;NFIN,SLOT_ERROR,,,,
revelation,revelations,1_2,V;NFIN,1_0,V;3;SG;PRS,SLOT_ERROR,,,,
,,,,,,,,,,
inherited,inherit,1_1,V;PST,1_2,V;NFIN,C,,,,
