src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,annotation
llamé,llamamos,1_20,V;IND;PST;1;SG;PFV,1_4,V;IND;PST;1;PL;PFV,c
sanos,sanaran,1_3,?,1_19,V;SBJV;PST;3;PL;LGSPEC1,POS_ERROR
usan,usaré,1_16,V;IND;PRS;3;PL,1_7,V;IND;FUT;1;SG,c
reprendan,reprendía,0_8,V;POS;IMP;3;PL,0_1,V;IND;PST;3;SG;IPFV,c
animando,animó,1_12,V.CVB;PRS,1_15,V;IND;PST;3;SG;PFV,c
rechazará,rechazando,1_1,V;IND;FUT;3;SG,1_12,V.CVB;PRS,c
zanjas,zanja,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,PARADIGM_ERROR
ordenados,ordena,1_18,V.PTCP;PST;MASC;PL,1_11,V;POS;IMP;2;SG,c
mostrarán,mostramos,1_23,V;IND;FUT;3;PL,1_4,V;IND;PST;1;PL;PFV,c
rompía,romper,0_1,V;IND;PST;3;SG;IPFV,0_3,V;IND;FUT;2;SG,SLOT_ERROR
resucitará,resucitar,1_1,V;IND;FUT;3;SG,1_14,V;NFIN,c
cantos,cantaré,1_3,?,1_7,V;IND;FUT;1;SG,c
compre,compraron,1_22,V;POS;IMP;3;SG,1_0,V;IND;PST;3;PL;PFV,c
prometió,promete,0_2,V;SBJV;PST;1;SG;LGSPEC1,0_14,V;IND;PRS;3;SG,c
actuó,actuar,1_15,V;IND;PST;3;SG;PFV,1_14,V;NFIN,c
llegarán,llegó,1_23,V;IND;FUT;3;PL,1_15,V;IND;PST;3;SG;PFV,c
dedicados,dedicaban,1_18,V.PTCP;PST;MASC;PL,1_6,V;IND;PST;3;PL;IPFV,DERIVATION_ERROR
atrevía,atrevían,0_1,V;IND;PST;3;SG;IPFV,0_6,V;COND;3;PL,SLOT_ERROR
recoge,recoger,0_14,V;IND;PRS;3;SG,0_3,V;IND;FUT;2;SG,SLOT_ERROR
explicaron,explicaba,1_0,V;IND;PST;3;PL;PFV,1_5,V;IND;PST;1;SG;IPFV,c
poco,pocos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,PARADIGM_ERROR
sufría,sufrió,0_1,V;IND;PST;3;SG;IPFV,0_2,V;SBJV;PST;1;SG;LGSPEC1,SLOT_ERROR
paso,pasará,1_10,V;IND;PRS;1;SG,1_1,V;IND;FUT;3;SG,c
llamaré,llamaba,1_7,V;IND;FUT;1;SG,1_5,V;IND;PST;1;SG;IPFV,c
corrijas,corrijan,2_2,V.PTCP;PST;FEM;PL,2_4,V;IND;PRS;2;PL,SLOT_ERROR
cambia,cambiará,1_11,V;POS;IMP;2;SG,1_1,V;IND;FUT;3;SG,c
burlarse,burló,1_9,V;SBJV;PST;1;SG,1_15,V;IND;PST;3;SG;PFV,c
habla,hablado,1_11,V;POS;IMP;2;SG,1_13,V.PTCP;PST;MASC;SG,SLOT_ERROR
visitar,visitaré,1_14,V;NFIN,1_7,V;IND;FUT;1;SG,c
desnuda,desnudo,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,POS_ERROR
asustada,asusten,1_2,V.PTCP;PST;FEM;SG,1_17,V;SBJV;PRS;3;PL,c
anuncien,anuncie,1_17,V;SBJV;PRS;3;PL,1_22,V;POS;IMP;3;SG,c
sal,salía,0_0,V;POS;IMP;2;PL,0_1,V;IND;PST;3;SG;IPFV,PARADIGM_ERROR
llamo,llamarlo,1_10,V;IND;PRS;1;SG,1_21,?,CLITIC_ERROR
maltrata,maltrataran,1_11,V;POS;IMP;2;SG,1_19,V;SBJV;PST;3;PL;LGSPEC1,c
aprovechado,aprovecharon,1_13,V.PTCP;PST;MASC;SG,1_0,V;IND;PST;3;PL;PFV,c   
plano,plan,2_0,V;SBJV;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,PARADIGM_ERROR
sanaran,sano,1_19,V;SBJV;PST;3;PL;LGSPEC1,1_10,V;IND;PRS;1;SG,POS_ERROR
dormir,dormía,0_13,V;SBJV;PST;1;PL,0_1,V;IND;PST;3;SG;IPFV,SLOT_ERROR
amaré,amarlo,1_7,V;IND;FUT;1;SG,1_21,?,CLITIC_ERROR
cuento,cuentos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,POS_ERROR
alejen,aleje,1_17,V;SBJV;PRS;3;PL,1_22,V;POS;IMP;3;SG,SLOT_ERROR
pida,pido,0_12,V;SBJV;PRS;3;SG,0_0,V;POS;IMP;2;PL,SLOT_ERROR
comportaban,comportarse,1_6,V;IND;PST;3;PL;IPFV,1_9,V;SBJV;PST;1;SG,CLITIC_ERROR
reinó,reine,1_15,V;IND;PST;3;SG;PFV,1_22,V;POS;IMP;3;SG,c
