N;INDF;NOM;SG	2_0
N;DEF;NOM;SG	2_1
N;DEF;GEN;SG	2_6
N;INDF;GEN;SG	2_2
N;DEF;NOM;PL	0_10
N;DEF;GEN;PL	2_6
N;INDF;NOM;PL	0_12
N;INDF;GEN;PL	0_8
ADJ;DEF	1_2
ADJ;INDF;PL	1_2
ADJ;INDF;MASC+FEM;SG	1_6
ADJ;DEF;MASC;SG	0_11
ADJ;INDF;NEUT;SG	1_9
V;ACT;IND;PST	0_11
V.PTCP;PST	0_7
V.PTCP;PRS	0_9
V;ACT;IND;PRS	0_12
V.CVB;ACT	0_13
V;ACT;NFIN	0_14
V;IMP	0_14
V;PASS;IND;PST	0_15
V;PASS;IND;PRS	0_5
V;PASS;NFIN	0_5
V.CVB;PASS	2_2
ADJ;DEF;COMPV	1_13
ADJ;INDF;MASC+FEM;SG;COMPV	1_13
ADJ;INDF;MASC;SG;COMPV	1_13
ADJ;INDF;NEUT;SG;COMPV	1_13
ADJ;INDF;PL;COMPV	1_13
ADJ;INDF;MASC+FEM;SG;SPRL	1_6
ADJ;INDF;NEUT;SG;SPRL	0_8
ADJ;INDF;PL;SPRL	1_6
ADJ;DEF;MASC;SG;SPRL	1_0
ADJ;DEF;SPRL	1_2
