run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	1115	0.1435472220182418	8.0	0.40234375	0.8471048474311829	deu	pointer_generator_lstm	0
3	3247	0.0334864445030689	57.0	0.522265613079071	0.3980973064899444	swe	pointer_generator_lstm	0
3	3479	0.0104458136484026	59.0	0.353320300579071	0.8425230979919434	isl	pointer_generator_lstm	0
3	4181	0.0541848875582218	16.0	0.634960949420929	1.1138372421264648	rus	pointer_generator_lstm	0
3	6239	0.7655776739120483	623.0	0.4441666603088379	1.4971199035644531	deu	transformer	0
3	3119	0.7613536715507507	623.0	0.5475000143051147	1.103673219680786	swe	transformer	0
3	1519	0.8018230199813843	303.0	0.3341666758060455	1.3792076110839844	isl	transformer	0
3	15679	0.7567378878593445	783.0	0.637499988079071	1.5421302318572998	rus	transformer	0
3	5543	0.0670082569122314	27.0	0.449999988079071	0.898125410079956	deu	bilstm-attn	0
3	5339	0.0452424101531505	59.0	0.5	0.4627083539962768	swe	bilstm-attn	0
3	5519	0.053927257657051	59.0	0.2840000092983246	0.9241127967834472	isl	bilstm-attn	0
3	21275	0.0521016456186771	53.0	0.609000027179718	1.200298547744751	rus	bilstm-attn	0
3				0.531		deu	M_C	
3				0.55		swe	M_C	
3				0.335		isl	M_C	
3				0.632		rus	M_C	
5	3471	0.0533899813890457	27.0	0.3701171875	1.0724098682403564	deu	pointer_generator_lstm	0
5	2127	0.0365900360047817	37.0	0.5277343988418579	0.3470869660377502	swe	pointer_generator_lstm	0
5	3363	0.0167004447430372	57.0	0.331835925579071	0.8842031359672546	isl	pointer_generator_lstm	0
5	3443	0.0714666694402694	13.0	0.6357421875	1.0908088684082031	rus	pointer_generator_lstm	0
5	7519	0.7626745700836182	751.0	0.4358333349227905	1.5499322414398191	deu	transformer	0
5	2719	0.7600911855697632	543.0	0.5375000238418579	1.120671629905701	swe	transformer	0
5	3119	0.7566377520561218	623.0	0.3058333396911621	1.548142433166504	isl	transformer	0
5	10239	0.7618533968925476	511.0	0.6391666531562805	1.531407356262207	rus	transformer	0
5	5147	0.0654819086194038	25.0	0.5260000228881836	0.8503311276435852	deu	bilstm-attn	0
5	5339	0.0563122667372226	59.0	0.4830000102519989	0.4312840700149536	swe	bilstm-attn	0
5	5335	0.05573396012187	57.0	0.3009999990463257	0.8856645822525024	isl	bilstm-attn	0
5	18123	0.0526110902428627	45.0	0.6200000047683716	1.1665087938308716	rus	bilstm-attn	0
5				0.508		deu	M_C	
5				0.575		swe	M_C	
5				0.35		isl	M_C	
5				0.636		rus	M_C	
2	6695	0.0406710915267467	53.0	0.4951171875	1.1109318733215332	deu	pointer_generator_lstm	0
2	2799	0.021143764257431	49.0	0.501757800579071	0.3661129176616668	swe	pointer_generator_lstm	0
2	2783	0.0254178848117589	47.0	0.3091796934604645	0.8549590706825256	isl	pointer_generator_lstm	0
2	8117	0.0253589190542697	32.0	0.640625	1.307963252067566	rus	pointer_generator_lstm	0
2	1279	0.8423430323600769	127.0	0.5008333325386047	1.4029591083526611	deu	transformer	0
2	3599	0.7596580982208252	719.0	0.5383333563804626	1.105692744255066	swe	transformer	0
2	3839	0.7501131296157837	767.0	0.3183333277702331	1.5186269283294678	isl	transformer	0
2	14719	0.7581391930580139	735.0	0.6433333158493042	1.560146689414978	rus	transformer	0
2	8315	0.0381189100444316	41.0	0.4359999895095825	0.960523784160614	deu	bilstm-attn	0
2	3737	0.0957131385803222	41.0	0.4449999928474426	0.3851997256278991	swe	bilstm-attn	0
2	4231	0.0769833624362945	45.0	0.296999990940094	0.7949138879776001	isl	bilstm-attn	0
2	23639	0.0343586765229702	59.0	0.6380000114440918	1.258531093597412	rus	bilstm-attn	0
2				0.457		deu	M_C	
2				0.567		swe	M_C	
2				0.348		isl	M_C	
2				0.631		rus	M_C	
4	5331	0.023951144888997	42.0	0.4916015565395355	1.1436084508895874	deu	pointer_generator_lstm	0
4	3191	0.0182200223207473	56.0	0.5259765386581421	0.4097521007061004	swe	pointer_generator_lstm	0
4	2899	0.0363665781915187	49.0	0.3380859494209289	0.7574976086616516	isl	pointer_generator_lstm	0
4	8609	0.0230679418891668	34.0	0.6390625238418579	1.3087186813354492	rus	pointer_generator_lstm	0
4	7519	0.7611633539199829	751.0	0.4758333265781402	1.5311731100082395	deu	transformer	0
4	2719	0.7616168260574341	543.0	0.5450000166893005	1.0861198902130127	swe	transformer	0
4	2559	0.7613898515701294	511.0	0.3083333373069763	1.4995813369750977	isl	transformer	0
