run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	1499	0.0897749811410904	11.0	0.4017578065395355	0.8791978359222412	deu	pointer_generator_lstm	0
3	3299	0.0386350937187671	49.0	0.5126953125	0.41057950258255	swe	pointer_generator_lstm	0
3	2957	0.012580401264131	50.0	0.3527343869209289	0.8107558488845825	isl	pointer_generator_lstm	0
3	8546	0.020082090049982	36.0	0.6181640625	1.3741960525512695	rus	pointer_generator_lstm	0
3	5599	0.7689828276634216	559.0	0.4675000011920929	1.4997886419296265	deu	transformer	0
3	3455	0.7656369209289551	575.0	0.503333330154419	1.0989749431610107	swe	transformer	0
3	1759	0.7835835814476013	351.0	0.3174999952316284	1.4363254308700562	isl	transformer	0
3	11247	0.759256899356842	591.0	0.6466666460037231	1.5334622859954834	rus	transformer	1
3	9999	0.0252870339900255	49.0	0.449999988079071	0.993354856967926	deu	bilstm-attn	0
3	5511	0.0532558970153331	51.0	0.503000020980835	0.4472533464431762	swe	bilstm-attn	0
3	4967	0.0678400844335556	53.0	0.2960000038146972	0.8406623601913452	isl	bilstm-attn	0
3	17019	0.0598092302680015	45.0	0.6129999756813049	1.1690250635147097	rus	bilstm-attn	0
3				0.492		deu	M_C	
3				0.549		swe	M_C	
3				0.334		isl	M_C	
3				0.626		rus	M_C	
5	4249	0.0408519767224788	33.0	0.364062488079071	1.1300324201583862	deu	pointer_generator_lstm	0
5	3629	0.0200512744486331	54.0	0.4994140565395355	0.4129744470119476	swe	pointer_generator_lstm	0
5	3363	0.0126616321504116	57.0	0.3203125	0.8478412628173828	isl	pointer_generator_lstm	0
5	9239	0.0245069880038499	39.0	0.6279296875	1.2953933477401731	rus	pointer_generator_lstm	0
5	7039	0.7626943588256836	703.0	0.4566666781902313	1.5306005477905271	deu	transformer	0
5	3839	0.7619801759719849	639.0	0.5091666579246521	1.1041038036346436	swe	transformer	0
5	2079	0.7740979790687561	415.0	0.3199999928474426	1.4922161102294922	isl	transformer	0
5	4559	0.7818164825439453	239.0	0.6424999833106995	1.4996371269226074	rus	transformer	0
5	9999	0.030883764848113	49.0	0.531000018119812	0.9990090131759644	deu	bilstm-attn	0
5	6359	0.0488421320915222	59.0	0.4600000083446502	0.4978803396224975	swe	bilstm-attn	0
5	5335	0.051177829504013	57.0	0.2899999916553497	0.8950336575508118	isl	bilstm-attn	0
5	20719	0.0368697196245193	55.0	0.6589999794960022	1.2120213508605957	rus	bilstm-attn	0
5				0.521		deu	M_C	
5				0.548		swe	M_C	
5				0.342		isl	M_C	
5				0.629		rus	M_C	
2	6624	0.0371563248336315	52.0	0.4810546934604645	1.1642515659332275	deu	pointer_generator_lstm	0
2	3035	0.0437822453677654	45.0	0.498828113079071	0.3990407586097717	swe	pointer_generator_lstm	0
2	1391	0.097633883357048	23.0	0.3277343809604645	0.7006027102470398	isl	pointer_generator_lstm	0
2	10163	0.0323408618569374	43.0	0.62109375	1.3039193153381348	rus	pointer_generator_lstm	0
2	1759	0.807982325553894	175.0	0.51583331823349	1.385183334350586	deu	transformer	0
2	4703	0.7551815509796143	783.0	0.5249999761581421	1.100609302520752	swe	transformer	0
2	3119	0.7544163465499878	623.0	0.3208333253860473	1.5039299726486206	isl	transformer	0
2	7599	0.764792263507843	399.0	0.6449999809265137	1.5112823247909546	rus	transformer	0
2	5999	0.0575202405452728	29.0	0.4280000030994415	0.9416459798812866	deu	bilstm-attn	0
2	3603	0.1108265146613121	33.0	0.4819999933242798	0.3946355581283569	swe	bilstm-attn	0
2	3679	0.1041927114129066	39.0	0.2879999876022339	0.8138825297355652	isl	bilstm-attn	0
2	13319	0.0640742555260658	35.0	0.6340000033378601	1.1130414009094238	rus	bilstm-attn	0
2				0.519		deu	M_C	
2				0.568		swe	M_C	
2				0.352		isl	M_C	
2				0.649		rus	M_C	
4	4749	0.0401852205395698	37.0	0.456835925579071	1.0908528566360474	deu	pointer_generator_lstm	0
4	2573	0.0348699800670146	38.0	0.4957031309604645	0.3741152882575989	swe	pointer_generator_lstm	0
4	3247	0.0346808917820453	55.0	0.3244140744209289	0.8735494017601013	isl	pointer_generator_lstm	0
4	12704	0.0090808430686593	54.0	0.622265636920929	1.5131758451461792	rus	pointer_generator_lstm	0
4	5439	0.7678194642066956	543.0	0.4625000059604645	1.5089428424835205	deu	transformer	0
4	3359	0.7654962539672852	559.0	0.5208333134651184	1.0960116386413574	swe	transformer	0
4	2639	0.7613348364830017	527.0	0.3125	1.5403099060058594	isl	transformer	0
4	12767	0.758978545665741	671.0	0.6366666555404663	1.5420520305633545	rus	transformer	0
4	7199	0.0470597334206104	35.0	0.460999995470047	0.9390767812728882	deu	bilstm-attn	0
4	3391	0.1109342128038406	31.0	0.4769999980926513	0.3772797882556915	swe	bilstm-attn	0
4	5335	0.0580447502434253	57.0	0.2759999930858612	0.9437848925590516	isl	bilstm-attn	0
4	14799	0.0559153333306312	39.0	0.6389999985694885	1.213082790374756	rus	bilstm-attn	0
4				0.532		deu	M_C	
4				0.566		swe	M_C	
4				0.347		isl	M_C	
4				0.647		rus	M_C	
1	7124	0.0238445941358804	56.0	0.4671874940395355	1.2350947856903076	deu	pointer_generator_lstm	0
1	3431	0.0278276111930608	51.0	0.4892578125	0.4423513412475586	swe	pointer_generator_lstm	0
1	1159	0.1050596013665199	19.0	0.332812488079071	0.683208703994751	isl	pointer_generator_lstm	0
1	11318	0.0113154537975788	48.0	0.6298828125	1.4469935894012451	rus	pointer_generator_lstm	0
1	2879	0.7812605500221252	287.0	0.4325000047683716	1.4896018505096436	deu	transformer	0
1	4607	0.7569599151611328	767.0	0.5208333134651184	1.1433687210083008	swe	transformer	0
1	3839	0.7566957473754883	767.0	0.3108333349227905	1.526127815246582	isl	transformer	0
1	8207	0.7628220319747925	431.0	0.6358333230018616	1.5378425121307373	rus	transformer	0
1	6399	0.0651662424206733	31.0	0.460999995470047	0.9032214879989624	deu	bilstm-attn	0
1	3815	0.0913127362728118	35.0	0.4740000069141388	0.4188399612903595	swe	bilstm-attn	0
1	5519	0.0536677688360214	59.0	0.2949999868869781	0.8464418649673462	isl	bilstm-attn	0
1	22199	0.0418284833431243	59.0	0.6209999918937683	1.2306203842163086	rus	bilstm-attn	0
1				0.493		deu	M_C	
1				0.577		swe	M_C	
1				0.339		isl	M_C	
1				0.633		rus	M_C	
