run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	6374	0.0006792010972276	50.0	0.28515625	2.2939200401306152	deu	pointer_generator_lstm	0
3	2073	0.0137028153985738	33.0	0.2509765625	0.886513888835907	swe	pointer_generator_lstm	0
3	766	0.0076708067208528	12.0	0.1603515595197677	2.168536901473999	isl	pointer_generator_lstm	0
3	3695	0.0069781974889338	15.0	0.3029296994209289	2.449652671813965	rus	pointer_generator_lstm	0
3	2559	0.7554193735122681	255.0	0.2316666692495346	1.8561880588531492	deu	transformer	0
3	2959	0.7526569366455078	591.0	0.1941666603088379	1.763324499130249	swe	transformer	0
3	959	0.7693392634391785	191.0	0.1299999952316284	2.603637456893921	isl	transformer	0
3	6079	0.7621627449989319	319.0	0.2599999904632568	2.1129698753356934	rus	transformer	0
3	11199	0.001332965795882	55.0	0.2590000033378601	2.3637022972106934	deu	bilstm-attn	0
3	3919	0.0277475994080305	39.0	0.1729999929666519	1.2889405488967896	swe	bilstm-attn	0
3	5263	0.0063919220119714	55.0	0.1309999972581863	3.7308216094970703	isl	bilstm-attn	0
3	13283	0.0047842846252024	35.0	0.257999986410141	2.6698877811431885	rus	bilstm-attn	0
3				0.407		deu	M_C	
3				0.299		swe	M_C	
3				0.212		isl	M_C	
3				0.408		rus	M_C	
5	2249	0.018052976578474	17.0	0.2919921875	1.55083167552948	deu	pointer_generator_lstm	0
5	3598	0.0038657556287944	58.0	0.2396484315395355	1.0967047214508057	swe	pointer_generator_lstm	0
5	1769	0.007455626502633	29.0	0.1513671875	2.4241793155670166	isl	pointer_generator_lstm	0
5	6236	0.0011952184140682	26.0	0.320117175579071	2.767402172088623	rus	pointer_generator_lstm	0
5	2719	0.7519873380661011	271.0	0.2325000017881393	1.8726623058319087	deu	transformer	0
5	2319	0.7554752826690674	463.0	0.1933333277702331	1.7641324996948242	swe	transformer	1
5	719	0.8144406080245972	143.0	0.1308333277702331	2.515758514404297	isl	transformer	0
5	13375	0.757564127445221	703.0	0.2549999952316284	2.181479930877685	rus	transformer	1
5	9199	0.0049189492128789	45.0	0.2809999883174896	2.0111985206604004	deu	bilstm-attn	0
5	4115	0.0228673331439495	41.0	0.1720000058412552	1.2074768543243408	swe	bilstm-attn	0
5	4699	0.0083059091120958	49.0	0.1340000033378601	3.690443992614746	isl	bilstm-attn	0
5	11069	0.0067261573858559	29.0	0.2599999904632568	2.563177585601806	rus	bilstm-attn	0
5				0.393		deu	M_C	
5				0.273		swe	M_C	
5				0.19		isl	M_C	
5				0.397		rus	M_C	
2	3874	0.0014088496100157	30.0	0.2697265744209289	2.218291521072388	deu	pointer_generator_lstm	0
2	2622	0.0042955358512699	42.0	0.251757800579071	0.944957196712494	swe	pointer_generator_lstm	0
2	1002	0.008002015762031	16.0	0.1685546934604644	2.3602490425109863	isl	pointer_generator_lstm	0
2	3926	0.0113839926198124	16.0	0.314453125	2.4126288890838623	rus	pointer_generator_lstm	0
2	6559	0.7465370893478394	655.0	0.2408333271741867	1.964749336242676	deu	transformer	0
2	3439	0.7518430352210999	687.0	0.2025000005960464	1.777795672416687	swe	transformer	1
2	2239	0.7428798079490662	447.0	0.1233333349227905	2.841447591781616	isl	transformer	0
2	8511	0.7604140043258667	447.0	0.2450000047683715	2.1659579277038574	rus	transformer	1
2	7599	0.0046712863259017	37.0	0.25	1.7787905931472778	deu	bilstm-attn	0
2	5879	0.0097455754876136	59.0	0.1589999943971634	1.6700565814971924	swe	bilstm-attn	0
2	4135	0.0093659171834588	43.0	0.1289999932050705	3.847280979156494	isl	bilstm-attn	0
2	14021	0.004607971291989	37.0	0.277999997138977	2.6821541786193848	rus	bilstm-attn	0
2				0.387		deu	M_C	
2				0.289		swe	M_C	
2				0.223		isl	M_C	
2				0.402		rus	M_C	
4	3124	0.0020093563944101	24.0	0.2833984494209289	1.807236671447754	deu	pointer_generator_lstm	0
4	2317	0.0064027151092886	37.0	0.2177734375	1.0159286260604858	swe	pointer_generator_lstm	0
4	235	0.0745530351996421	3.0	0.1558593809604644	1.7273772954940796	isl	pointer_generator_lstm	0
4	8546	0.0010745436884462	36.0	0.3138671815395355	3.000166416168213	rus	pointer_generator_lstm	0
4	3359	0.7505875825881958	335.0	0.2249999940395355	1.9276764392852783	deu	transformer	1
4	3679	0.7543627619743347	735.0	0.1891666650772094	1.7491827011108398	swe	transformer	0
4	799	0.7940152883529663	159.0	0.1199999973177909	2.59914779663086	isl	transformer	0
4	8815	0.7593251466751099	463.0	0.2541666626930237	2.1384427547454834	rus	transformer	0
4	11999	0.0022205801215022	59.0	0.2360000014305114	2.048652410507202	deu	bilstm-attn	0
