run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	6399	0.0027149391826242	49.0	0.287109375	1.6986043453216553	deu	pointer_generator_lstm	0
3	3077	0.0033649364486336	56.0	0.2515625059604645	1.0782859325408936	swe	pointer_generator_lstm	0
3	1623	0.0015993029810488	27.0	0.1632812470197677	2.3659629821777344	isl	pointer_generator_lstm	0
3	5674	0.0009389913175255	24.0	0.315234363079071	2.76196813583374	rus	pointer_generator_lstm	0
3	7567	0.7539299726486206	687.0	0.2199999988079071	1.9742953777313232	deu	transformer	0
3	3839	0.7580361366271973	767.0	0.1958333402872085	1.7867355346679688	swe	transformer	0
3	1199	0.758901834487915	239.0	0.1299999952316284	2.601466178894043	isl	transformer	0
3	13375	0.7557452917098999	703.0	0.262499988079071	2.165222644805908	rus	transformer	0
3	9839	0.003470777766779	47.0	0.1969999969005584	2.041998147964477	deu	bilstm-attn	0
3	4871	0.011317784897983	55.0	0.1840000003576278	1.229488492012024	swe	bilstm-attn	0
3	4649	0.0052101830951869	49.0	0.1280000060796737	3.893742084503174	isl	bilstm-attn	0
3	16697	0.0025340989232063	45.0	0.2730000019073486	2.779255151748657	rus	bilstm-attn	0
3				0.326		deu	M_C	
3				0.274		swe	M_C	
3				0.22		isl	M_C	
3				0.405		rus	M_C	
5	4991	0.0006434965762309	38.0	0.2638671994209289	1.899821758270264	deu	pointer_generator_lstm	0
5	1997	0.0044738138094544	36.0	0.277148425579071	0.9107720255851746	swe	pointer_generator_lstm	0
5	1043	0.0034093952272087	17.0	0.142578125	2.0617024898529053	isl	pointer_generator_lstm	0
5	7490	0.0008159622084349	32.0	0.3158203065395355	2.97269868850708	rus	pointer_generator_lstm	0
5	7919	0.7543232440948486	719.0	0.2249999940395355	1.948944091796875	deu	transformer	0
5	3919	0.7528913021087646	783.0	0.1899999976158142	1.837764263153076	swe	transformer	0
5	2239	0.746362030506134	447.0	0.1274999976158142	2.8258824348449707	isl	transformer	0
5	11855	0.7561586499214172	623.0	0.2591666579246521	2.1584858894348145	rus	transformer	0
5	4099	0.0158411040902137	19.0	0.2129999995231628	1.5363765954971311	deu	bilstm-attn	0
5	4001	0.0163714475929737	45.0	0.1739999949932098	1.3212815523147583	swe	bilstm-attn	0
5	4463	0.0069056982174515	47.0	0.1289999932050705	3.8543577194213863	isl	bilstm-attn	0
5	10889	0.0050429161638021	29.0	0.2399999946355819	2.520498275756836	rus	bilstm-attn	0
5				0.308		deu	M_C	
5				0.288		swe	M_C	
5				0.222		isl	M_C	
5				0.393		rus	M_C	
2	3071	0.0072810910642147	23.0	0.280078113079071	1.839173674583435	deu	pointer_generator_lstm	0
2	2753	0.0023996664676815	50.0	0.259765625	0.9634638428688048	swe	pointer_generator_lstm	0
2	231	0.0833794474601745	3.0	0.1640625	1.7386754751205444	isl	pointer_generator_lstm	0
2	12711	0.0006054804543964	55.0	0.310351550579071	3.1173102855682373	rus	pointer_generator_lstm	0
2	4575	0.7597805857658386	415.0	0.262499988079071	1.899116277694702	deu	transformer	0
2	3279	0.7515993118286133	655.0	0.1858333349227905	1.814972162246704	swe	transformer	0
2	1599	0.7493017911911011	319.0	0.125	2.689155101776123	isl	transformer	0
2	11551	0.7569000124931335	607.0	0.2574999928474426	2.144353151321411	rus	transformer	0
2	8609	0.0068691805936396	41.0	0.2039999961853027	2.0780324935913086	deu	bilstm-attn	0
2	4871	0.0149942822754383	55.0	0.1840000003576278	1.4943742752075195	swe	bilstm-attn	0
2	4091	0.0055616083554923	43.0	0.1299999952316284	3.774428606033325	isl	bilstm-attn	0
2	21779	0.0017833133460953	59.0	0.2849999964237213	2.706996202468872	rus	bilstm-attn	0
2				0.297		deu	M_C	
2				0.276		swe	M_C	
2				0.211		isl	M_C	
2				0.399		rus	M_C	
4	2175	0.0034651041496545	16.0	0.3136718869209289	1.793358564376831	deu	pointer_generator_lstm	0
4	1727	0.0133644789457321	31.0	0.2437500059604644	0.9483630657196044	swe	pointer_generator_lstm	0
4	1275	0.0030896386597305	21.0	0.1652343720197677	2.288580894470215	isl	pointer_generator_lstm	0
4	10895	0.0006348448223434	47.0	0.3187499940395355	3.069844961166382	rus	pointer_generator_lstm	0
4	8095	0.7528798580169678	735.0	0.2291666716337204	1.948070287704468	deu	transformer	0
4	2879	0.7524817585945129	575.0	0.2008333355188369	1.7660340070724487	swe	transformer	0
4	1199	0.7594125270843506	239.0	0.1274999976158142	2.64198899269104	isl	transformer	0
4	14287	0.7559003233909607	751.0	0.2566666603088379	2.1795594692230225	rus	transformer	0
4	8609	0.0036576609127223	41.0	0.1979999989271164	2.0237741470336914	deu	bilstm-attn	0
4	4349	0.0157697889953851	49.0	0.164000004529953	1.513145923614502	swe	bilstm-attn	0
4	5021	0.0054190345108509	53.0	0.1289999932050705	3.987052202224731	isl	bilstm-attn	0
4	21053	0.0037627064157277	57.0	0.2639999985694885	2.9171950817108154	rus	bilstm-attn	0
4				0.309		deu	M_C	
4				0.259		swe	M_C	
4				0.212		isl	M_C	
4				0.409		rus	M_C	
1	1279	0.0098583921790122	9.0	0.2802734375	1.627260446548462	deu	pointer_generator_lstm	0
1	3023	0.0035364257637411	55.0	0.2582031190395355	1.1072343587875366	swe	pointer_generator_lstm	0
1	2783	0.0007142308750189	47.0	0.1548828184604644	2.8541860580444336	isl	pointer_generator_lstm	0
1	1361	0.0138924047350883	5.0	0.3214843869209289	2.245557308197021	rus	pointer_generator_lstm	0
1	5807	0.7584613561630249	527.0	0.2183333337306976	1.954999923706055	deu	transformer	0
1	3279	0.7502507567405701	655.0	0.1924999952316284	1.780718207359314	swe	transformer	0
1	879	0.7872675061225891	175.0	0.1274999976158142	2.6043448448181152	isl	transformer	0
1	5775	0.7614421248435974	303.0	0.2524999976158142	2.177851676940918	rus	transformer	0
1	11889	0.0029340735636651	57.0	0.2370000034570694	2.241116523742676	deu	bilstm-attn	0
1	5219	0.0123713687062263	59.0	0.163000002503395	1.6204742193222046	swe	bilstm-attn	0
