run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	5303	0.0020514542702585	38.0	0.2564453184604645	1.8567886352539065	deu	pointer_generator_lstm	0
3	3467	0.0040367259643971	50.0	0.2777343690395355	0.9426745176315308	swe	pointer_generator_lstm	0
3	2507	0.0026933688204735	32.0	0.1697265654802322	2.4584555625915527	isl	pointer_generator_lstm	0
3	8193	0.0005757820326834	33.0	0.3216796815395355	2.9447944164276123	rus	pointer_generator_lstm	0
3	4575	0.7610366940498352	415.0	0.2108333259820938	1.9451731443405151	deu	transformer	0
3	4127	0.7693413496017456	687.0	0.2341666668653488	1.7068727016448977	swe	transformer	0
3	1343	0.7868645787239075	191.0	0.1291666626930236	2.557765483856201	isl	transformer	0
3	12479	0.7592197060585022	623.0	0.2683333456516266	2.163254499435425	rus	transformer	0
3	12151	0.0032037571072578	55.0	0.2010000050067901	2.134441614151001	deu	bilstm-attn	0
3	6103	0.0127915721386671	55.0	0.2070000022649765	1.4205588102340698	swe	bilstm-attn	0
3	5611	0.0080821430310606	45.0	0.1389999985694885	3.719515323638916	isl	bilstm-attn	0
3	12319	0.0056146499700844	31.0	0.2669999897480011	2.7211804389953613	rus	bilstm-attn	0
3				0.301		deu	M_C	
3				0.27		swe	M_C	
3				0.205		isl	M_C	
3				0.383		rus	M_C	
5	3807	0.0016964667011052	27.0	0.334765613079071	1.7635831832885742	deu	pointer_generator_lstm	0
5	1495	0.0159127414226531	21.0	0.2619140744209289	0.8600019216537476	swe	pointer_generator_lstm	0
5	3419	0.0023195787798613	44.0	0.1781249940395355	2.060720205307007	isl	pointer_generator_lstm	0
5	2650	0.0128662744536995	10.0	0.3294921815395355	2.4037139415740967	rus	pointer_generator_lstm	0
5	3343	0.7603076100349426	303.0	0.2116666734218597	1.9274781942367556	deu	transformer	0
5	4799	0.7646929025650024	799.0	0.2433333396911621	1.7014000415802002	swe	transformer	0
5	4367	0.7651358842849731	623.0	0.1183333322405815	2.786914825439453	isl	transformer	0
5	15039	0.7583186030387878	751.0	0.2574999928474426	2.2283010482788086	rus	transformer	0
5	9113	0.0037430338561534	41.0	0.238999992609024	1.95664381980896	deu	bilstm-attn	0
5	6103	0.0099853491410613	55.0	0.2370000034570694	1.3271610736846924	swe	bilstm-attn	0
5	6099	0.0062700198031961	49.0	0.1319999992847442	3.582387924194336	isl	bilstm-attn	0
5	20019	0.0030302668455988	51.0	0.2610000073909759	2.856445074081421	rus	bilstm-attn	0
5				0.306		deu	M_C	
5				0.267		swe	M_C	
5				0.198		isl	M_C	
5				0.409		rus	M_C	
2	4895	0.0047115189954638	35.0	0.2710937559604645	1.856676459312439	deu	pointer_generator_lstm	0
2	1699	0.0104123316705226	24.0	0.2904296815395355	0.8870062232017517	swe	pointer_generator_lstm	0
2	4027	0.0021583465859293	52.0	0.1726562529802322	2.5772128105163574	isl	pointer_generator_lstm	0
2	5060	0.0009766990551725	20.0	0.3216796815395355	2.77042293548584	rus	pointer_generator_lstm	0
2	4223	0.7596081495285034	383.0	0.2374999970197677	1.9090023040771484	deu	transformer	1
2	4127	0.7709070444107056	687.0	0.246666669845581	1.6897348165512085	swe	transformer	0
2	2015	0.7703126668930054	287.0	0.1241666674613952	2.5099472999572754	isl	transformer	1
2	14719	0.7585690021514893	735.0	0.2558333277702331	2.2153143882751465	rus	transformer	0
2	7377	0.0076226033270359	33.0	0.2080000042915344	2.004925489425659	deu	bilstm-attn	0
2	3487	0.0314574055373668	31.0	0.221000000834465	1.1360621452331543	swe	bilstm-attn	0
2	7075	0.0053408504463732	57.0	0.1230000033974647	3.678134202957153	isl	bilstm-attn	0
2	21559	0.0025171635206788	55.0	0.2669999897480011	2.703742027282715	rus	bilstm-attn	0
2				0.298		deu	M_C	
2				0.251		swe	M_C	
2				0.212		isl	M_C	
2				0.394		rus	M_C	
4	3535	0.0025833961553871	25.0	0.3019531369209289	1.886793851852417	deu	pointer_generator_lstm	0
4	2447	0.0104781175032258	35.0	0.2882812619209289	0.911192774772644	swe	pointer_generator_lstm	0
4	455	0.0289745144546031	5.0	0.1691406220197677	1.4754351377487185	isl	pointer_generator_lstm	0
4	14218	0.00029108041781	58.0	0.3167968690395355	3.0723776817321777	rus	pointer_generator_lstm	0
4	3519	0.7637399435043335	319.0	0.2041666656732559	1.905046820640564	deu	transformer	0
4	4703	0.7612823843955994	783.0	0.2208333313465118	1.7398704290390017	swe	transformer	0
4	1679	0.7679112553596497	239.0	0.1266666650772094	2.564818382263184	isl	transformer	1
4	2559	0.7718608379364014	127.0	0.2666666805744171	2.109921932220459	rus	transformer	0
