run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	5190	0.0194484423846006	28.0	0.2691406309604645	1.431713581085205	deu	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
3	6614	0.0155028766021132	44.0	0.3056640625	0.7279094457626343	swe	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
3	3049	0.0270287729799747	24.0	0.2357421815395355	1.2460814714431765	isl	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
3	19316	0.0106880133971571	46.0	0.438281238079071	1.3425517082214355	rus	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
3	8579	0.0364682935178279	29.0	0.2119999974966049	1.4816948175430298	deu	bilstm-attn-sigmorphon-resampled-reinflection	0
3	10383	0.0484972894191741	43.0	0.2540000081062317	1.0677696466445925	swe	bilstm-attn-sigmorphon-resampled-reinflection	0
3	6983	0.0509644784033298	35.0	0.1860000044107437	1.8308899402618408	isl	bilstm-attn-sigmorphon-resampled-reinflection	0
3	14475	0.0697392597794532	21.0	0.3700000047683716	1.0663222074508667	rus	bilstm-attn-sigmorphon-resampled-reinflection	0
3	3119	0.7886574268341064	207.0	0.1566666662693023	1.754368782043457	deu	transformer-sigmorphon-resampled-reinflection	0
3	9215	0.7689337134361267	767.0	0.2725000083446502	1.616069197654724	swe	transformer-sigmorphon-resampled-reinflection	0
3	1599	0.8244499564170837	159.0	0.1650000065565109	1.9708306789398196	isl	transformer-sigmorphon-resampled-reinflection	0
3	8975	0.7792327404022217	271.0	0.4583333432674408	1.3526489734649658	rus	transformer-sigmorphon-resampled-reinflection	0
3				0.334		deu	M_C-sigmorphon-resampled-reinflection	
3				0.397		swe	M_C-sigmorphon-resampled-reinflection	
3				0.279		isl	M_C-sigmorphon-resampled-reinflection	
3				0.509		rus	M_C-sigmorphon-resampled-reinflection	
5	9844	0.0101965069770812	54.0	0.2671875059604645	1.475191950798035	deu	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
5	3380	0.0402528159320354	22.0	0.2845703065395355	0.6061275005340576	swe	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
5	3537	0.0233896616846323	28.0	0.2474609315395355	1.355798602104187	isl	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
5	8630	0.0281294118613004	20.0	0.4585937559604645	1.086216926574707	rus	pointer_generator_lstm-sigmorphon-resampled-reinflection	0
5	5147	0.0736822634935379	17.0	0.2280000001192093	1.2880793809890747	deu	bilstm-attn-sigmorphon-resampled-reinflection	0
5	13215	0.0328081399202346	55.0	0.2469999939203262	1.0926803350448608	swe	bilstm-attn-sigmorphon-resampled-reinflection	0
5	10475	0.0313289426267147	53.0	0.1979999989271164	2.2206871509552	isl	bilstm-attn-sigmorphon-resampled-reinflection	0
5	31583	0.0330151952803134	47.0	0.3659999966621399	1.496852993965149	rus	bilstm-attn-sigmorphon-resampled-reinflection	0
5	10559	0.7585166692733765	703.0	0.170833334326744	1.8701661825180051	deu	transformer-sigmorphon-resampled-reinflection	0
5	8255	0.7707908749580383	687.0	0.2566666603088379	1.656436800956726	swe	transformer-sigmorphon-resampled-reinflection	0
5	3679	0.7886102199554443	367.0	0.1774999946355819	2.278197288513184	isl	transformer-sigmorphon-resampled-reinflection	0
5	24815	0.7687172293663025	751.0	0.4583333432674408	1.4218435287475586	rus	transformer-sigmorphon-resampled-reinflection	0
5				0.372		deu	M_C-sigmorphon-resampled-reinflection	
5				0.405		swe	M_C-sigmorphon-resampled-reinflection	
5				0.277		isl	M_C-sigmorphon-resampled-reinflection	
5				0.518		rus	M_C-sigmorphon-resampled-reinflection	
