run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	3579	0.0048338053748011	19.0	0.3458984494209289	1.6945865154266355	deu	pointer_generator_lstm	0
3	3288	0.0209099072962999	22.0	0.2806640565395355	0.7860555052757263	swe	pointer_generator_lstm	0
3	1814	0.0102493576705455	14.0	0.2048828154802322	1.5509686470031738	isl	pointer_generator_lstm	0
3	1232	0.0447622127830982	2.0	0.3099609315395355	1.972237467765808	rus	pointer_generator_lstm	0
3	8639	0.7540342807769775	575.0	0.2083333283662796	1.91438102722168	deu	transformer	0
3	8447	0.7658337950706482	703.0	0.2416666597127914	1.7398784160614014	swe	transformer	0
3	7679	0.7588186860084534	767.0	0.1466666609048843	2.242205858230591	isl	transformer	0
3	11087	0.7700348496437073	335.0	0.2924999892711639	2.056462287902832	rus	transformer	0
3	13155	0.0038297045975923	45.0	0.1850000023841858	2.267985582351685	deu	bilstm-attn	0
3	12365	0.018836161121726	53.0	0.2440000027418136	1.4056494235992432	swe	bilstm-attn	0
3	11251	0.0058875908143818	57.0	0.1519999951124191	2.4181902408599854	isl	bilstm-attn	0
3	28951	0.006679396610707	43.0	0.3009999990463257	2.476675033569336	rus	bilstm-attn	0
3				0.306		deu	M_C	
3				0.355		swe	M_C	
3				0.217		isl	M_C	
3				0.395		rus	M_C	
5	7696	0.0022751749493181	42.0	0.2490234375	2.1116788387298584	deu	pointer_generator_lstm	0
5	7149	0.0132269840687513	49.0	0.2574218809604645	1.0703719854354858	swe	pointer_generator_lstm	0
5	1693	0.0170556865632534	13.0	0.1939453184604644	1.525852918624878	isl	pointer_generator_lstm	0
5	23426	0.003525459440425	56.0	0.3355468809604645	3.14270567893982	rus	pointer_generator_lstm	0
5	6239	0.7577289938926697	415.0	0.2066666632890701	1.9130319356918333	deu	transformer	0
5	4607	0.7820020914077759	383.0	0.2508333325386047	1.615694522857666	swe	transformer	0
5	3839	0.7680016160011292	383.0	0.1508333384990692	2.155318260192871	isl	transformer	0
5	26399	0.7664529085159302	799.0	0.2991666793823242	1.99422299861908	rus	transformer	0
5	15443	0.0034708664752542	53.0	0.2450000047683715	2.080282926559448	deu	bilstm-attn	0
5	9159	0.0275254547595977	39.0	0.2399999946355819	1.1318929195404053	swe	bilstm-attn	0
5	10475	0.0085456790402531	53.0	0.1539999991655349	2.1822309494018555	isl	bilstm-attn	0
5	38163	0.0045587266795337	57.0	0.2980000078678131	2.6238839626312256	rus	bilstm-attn	0
5				0.253		deu	M_C	
5				0.352		swe	M_C	
5				0.224		isl	M_C	
5				0.39		rus	M_C	
2	2326	0.0115604046732187	12.0	0.2896484434604645	1.56007719039917	deu	pointer_generator_lstm	0
2	4146	0.0250187870115041	28.0	0.263671875	1.0376315116882324	swe	pointer_generator_lstm	0
2	4718	0.0097780413925647	38.0	0.1822265684604644	1.879862189292908	isl	pointer_generator_lstm	0
2	3698	0.0173309296369552	8.0	0.3373046815395355	2.2413456439971924	rus	pointer_generator_lstm	0
2	8159	0.7562355995178223	543.0	0.1949999928474426	1.927952527999878	deu	transformer	0
2	8639	0.7656053304672241	719.0	0.25	1.6667031049728394	swe	transformer	0
2	6079	0.7598870396614075	607.0	0.1491666734218597	2.262913703918457	isl	transformer	0
2	24815	0.7667057514190674	751.0	0.3008333444595337	2.0223090648651123	rus	transformer	0
