run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	3042	0.0067902905866503	16.0	0.3248046934604645	1.5991640090942385	deu	pointer_generator_lstm	0
3	7974	0.013333735987544	54.0	0.2666015625	1.0538270473480225	swe	pointer_generator_lstm	0
3	6533	0.0037005003541707	53.0	0.1759765595197677	2.004427671432495	isl	pointer_generator_lstm	0
3	4679	0.0130488332360982	11.0	0.330859363079071	2.350966453552246	rus	pointer_generator_lstm	0
3	5999	0.758854329586029	399.0	0.2041666656732559	1.8877668380737305	deu	transformer	0
3	3839	0.7884264588356018	319.0	0.2416666597127914	1.6185681819915771	swe	transformer	0
3	5919	0.7601063847541809	591.0	0.1458333283662796	2.242380857467652	isl	transformer	0
3	23039	0.7653425931930542	719.0	0.2949999868869781	2.0518569946289062	rus	transformer	0
3	16015	0.0015225382521748	55.0	0.1879999935626983	2.084855556488037	deu	bilstm-attn	0
3	12063	0.0185115505009889	51.0	0.2189999967813491	1.4938232898712158	swe	bilstm-attn	0
3	7333	0.0134302275255322	37.0	0.1589999943971634	2.0635194778442383	isl	bilstm-attn	0
3	16223	0.0098464209586381	25.0	0.2790000140666961	2.2776923179626465	rus	bilstm-attn	0
3				0.281		deu	M_C	
3				0.346		swe	M_C	
3				0.204		isl	M_C	
3				0.393		rus	M_C	
5	4295	0.0038474227767437	23.0	0.2490234375	1.8564083576202397	deu	pointer_generator_lstm	0
5	6669	0.0160962045192718	45.0	0.2708984315395355	1.093323826789856	swe	pointer_generator_lstm	0
5	7017	0.0031567895784974	57.0	0.2009765654802322	2.0648982524871826	isl	pointer_generator_lstm	0
5	4289	0.012240145355463	10.0	0.3412109315395355	2.288172721862793	rus	pointer_generator_lstm	0
5	5999	0.7606143951416016	399.0	0.2183333337306976	1.8800652027130127	deu	transformer	0
5	4991	0.7796112895011902	415.0	0.2458333373069763	1.6668853759765625	swe	transformer	0
5	2879	0.7675972580909729	287.0	0.1550000011920929	2.141089677810669	isl	transformer	0
5	21503	0.765645444393158	671.0	0.3100000023841858	2.0100808143615723	rus	transformer	0
5	8579	0.0074323508888483	29.0	0.2000000029802322	1.9562907218933103	deu	bilstm-attn	0
5	11599	0.0227193441241979	49.0	0.2319999933242797	1.415411353111267	swe	bilstm-attn	0
5	5017	0.0212393905967474	25.0	0.1650000065565109	1.901172637939453	isl	bilstm-attn	0
5	34943	0.0041435668244957	55.0	0.3129999935626983	2.442547082901001	rus	bilstm-attn	0
5				0.304		deu	M_C	
5				0.341		swe	M_C	
5				0.23		isl	M_C	
5				0.382		rus	M_C	
2	6085	0.0028130896389484	33.0	0.3156250119209289	1.7534914016723633	deu	pointer_generator_lstm	0
2	5944	0.014570178464055	40.0	0.2933593690395355	1.0584372282028198	swe	pointer_generator_lstm	0
2	4113	0.0048313620500266	33.0	0.1998046934604644	1.9868152141571045	isl	pointer_generator_lstm	0
2	13649	0.003293061396107	34.0	0.3291015625	2.82889461517334	rus	pointer_generator_lstm	0
2	5999	0.7585208415985107	399.0	0.1958333402872085	1.951319694519043	deu	transformer	0
2	3455	0.7844415307044983	287.0	0.2374999970197677	1.6507261991500854	swe	transformer	0
2	6719	0.7598807215690613	671.0	0.1558333337306976	2.3390889167785645	isl	transformer	0
2	16895	0.7663561701774597	527.0	0.2949999868869781	2.0410964488983154	rus	transformer	0
2	12583	0.0046651442535221	43.0	0.2060000002384185	2.017756462097168	deu	bilstm-attn	0
2	9743	0.0252123735845088	41.0	0.2560000121593475	1.336178421974182	swe	bilstm-attn	0
2	6947	0.0123090874403715	35.0	0.1509999930858612	1.9782589673995967	isl	bilstm-attn	0
2	23711	0.0061786137521266	37.0	0.2840000092983246	2.382906436920166	rus	bilstm-attn	0
2				0.279		deu	M_C	
2				0.35		swe	M_C	
2				0.213		isl	M_C	
2				0.375		rus	M_C	
4	10739	0.0011595430551096	59.0	0.3232421875	1.9577600955963133	deu	pointer_generator_lstm	0
4	3189	0.0249352883547544	21.0	0.2554687559604645	0.8516146540641785	swe	pointer_generator_lstm	0
4	6775	0.0043162941001355	55.0	0.1857421845197677	2.113234519958496	isl	pointer_generator_lstm	0
4	3899	0.0086645856499671	9.0	0.3330078125	2.320024013519287	rus	pointer_generator_lstm	0
4	9599	0.7549867033958435	639.0	0.2058333307504654	1.9097814559936523	deu	transformer	0
4	6719	0.7714003324508667	559.0	0.2249999940395355	1.7617931365966797	swe	transformer	0
4	1759	0.7755930423736572	175.0	0.1500000059604644	2.1093645095825195	isl	transformer	1
4	14335	0.7666945457458496	447.0	0.3000000119209289	2.03847885131836	rus	transformer	0
4	13155	0.0054744272492825	45.0	0.2269999980926513	1.9115012884140012	deu	bilstm-attn	0
4	13455	0.0172442253679037	57.0	0.2360000014305114	1.4078112840652466	swe	bilstm-attn	0
4	9263	0.0095007680356502	47.0	0.1669999957084655	2.1444826126098637	isl	bilstm-attn	0
4	18719	0.0083980429917573	29.0	0.3129999935626983	2.207059860229492	rus	bilstm-attn	0
4				0.278		deu	M_C	
4				0.335		swe	M_C	
4				0.216		isl	M_C	
4				0.381		rus	M_C	
1	6980	0.0029777407180517	38.0	0.285937488079071	1.958174705505371	deu	pointer_generator_lstm	0
1	2899	0.0316613726317882	19.0	0.2591796815395355	0.7962267994880676	swe	pointer_generator_lstm	0
1	2419	0.0165980532765388	19.0	0.1845703125	1.6801447868347168	isl	pointer_generator_lstm	0
1	3899	0.0099784089252352	9.0	0.3353515565395355	2.308293581008911	rus	pointer_generator_lstm	0
1	11759	0.7537462711334229	783.0	0.2300000041723251	1.9304897785186768	deu	transformer	0
1	4415	0.7817072868347168	367.0	0.236666664481163	1.6419813632965088	swe	transformer	0
1	7679	0.7576585412025452	767.0	0.1391666680574417	2.3558719158172607	isl	transformer	0
1	22527	0.7651758193969727	703.0	0.3108333349227905	2.000790596008301	rus	transformer	0
1	6291	0.0146729182451963	21.0	0.1870000064373016	1.6086392402648926	deu	bilstm-attn	0
1	13919	0.0168845206499099	59.0	0.2269999980926513	1.5186723470687866	swe	bilstm-attn	0
1	11193	0.0079051936045289	57.0	0.1589999943971634	2.493962049484253	isl	bilstm-attn	0
1	16223	0.0122495517134666	25.0	0.3030000030994415	2.12426233291626	rus	bilstm-attn	0
1				0.285		deu	M_C	
1				0.353		swe	M_C	
1				0.216		isl	M_C	
1				0.396		rus	M_C	
