run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	9799	0.0023054375778883	55.0	0.3050781190395355	1.853312373161316	deu	pointer_generator_lstm	0
3	6423	0.0240664016455411	43.0	0.2705078125	0.9646259546279908	swe	pointer_generator_lstm	0
3	2759	0.006082905922085	22.0	0.1923828125	1.6361815929412842	isl	pointer_generator_lstm	0
3	4509	0.0147430812940001	10.0	0.3197265565395355	2.294006586074829	rus	pointer_generator_lstm	0
3	4031	0.7612570524215698	287.0	0.2000000029802322	1.8813133239746092	deu	transformer	0
3	6335	0.7726993560791016	527.0	0.2458333373069763	1.7069523334503174	swe	transformer	0
3	7199	0.7598227262496948	719.0	0.1525000035762787	2.1929969787597656	isl	transformer	0
3	25343	0.7668373584747314	767.0	0.2949999868869781	2.0459229946136475	rus	transformer	0
3	12319	0.0054740393534302	43.0	0.2220000028610229	2.152423620223999	deu	bilstm-attn	0
3	8423	0.0261522736400365	35.0	0.2460000067949295	1.2510432004928589	swe	bilstm-attn	0
3	7639	0.0098048551008105	39.0	0.1439999938011169	2.3022356033325195	isl	bilstm-attn	0
3	39359	0.0046268589794635	59.0	0.2899999916553497	2.519341468811035	rus	bilstm-attn	0
3				0.255		deu	M_C	
3				0.348		swe	M_C	
3				0.223		isl	M_C	
3				0.391		rus	M_C	
5	6474	0.0020666839554905	36.0	0.3390625119209289	1.8955885171890257	deu	pointer_generator_lstm	0
5	6569	0.013600630685687	44.0	0.269335925579071	1.0218180418014526	swe	pointer_generator_lstm	0
5	5519	0.0037610600702464	45.0	0.2023437470197677	1.966547966003418	isl	pointer_generator_lstm	0
5	21319	0.0033516746480017	51.0	0.3255859315395355	3.104793071746826	rus	pointer_generator_lstm	0
5	8287	0.7539351582527161	591.0	0.2183333337306976	1.9009402990341189	deu	transformer	0
5	4031	0.7856231331825256	335.0	0.2524999976158142	1.615234375	swe	transformer	0
5	7039	0.7588984370231628	703.0	0.1616666615009308	2.206644058227539	isl	transformer	0
5	7919	0.772415280342102	239.0	0.3000000119209289	2.016574621200561	rus	transformer	0
5	6719	0.0090833865106105	23.0	0.2249999940395355	1.8154200315475464	deu	bilstm-attn	0
5	7955	0.0306394360959529	33.0	0.2249999940395355	1.1805113554000854	swe	bilstm-attn	0
5	4201	0.0282394997775554	21.0	0.1609999984502792	1.8398438692092896	isl	bilstm-attn	0
5	31487	0.0066122403368353	47.0	0.2790000140666961	2.43772029876709	rus	bilstm-attn	0
5				0.296		deu	M_C	
5				0.362		swe	M_C	
5				0.216		isl	M_C	
5				0.395		rus	M_C	
2	7349	0.0015688012354075	41.0	0.2990234494209289	1.9975943565368648	deu	pointer_generator_lstm	0
2	6131	0.0250147208571434	41.0	0.286914050579071	0.9355456233024596	swe	pointer_generator_lstm	0
2	6239	0.004223751835525	51.0	0.2029296904802322	2.027703762054444	isl	pointer_generator_lstm	0
2	11479	0.0089316209778189	27.0	0.3275390565395355	2.6009716987609863	rus	pointer_generator_lstm	0
2	10079	0.7511540651321411	719.0	0.2450000047683715	1.8905858993530276	deu	transformer	0
2	7871	0.766883909702301	655.0	0.2374999970197677	1.7322356700897217	swe	transformer	0
2	6079	0.7609178423881531	607.0	0.1449999958276748	2.240791320800781	isl	transformer	0
2	25343	0.7668855786323547	767.0	0.3000000119209289	2.033397436141968	rus	transformer	0
2	6159	0.0127783557400107	21.0	0.209999993443489	1.6572139263153076	deu	bilstm-attn	0
2	13103	0.0185733437538146	55.0	0.2360000014305114	1.5456640720367432	swe	bilstm-attn	0
2	7257	0.0116635365411639	37.0	0.1620000004768371	1.9233708381652832	isl	bilstm-attn	0
2	38047	0.0059247426688671	57.0	0.3109999895095825	2.3747429847717285	rus	bilstm-attn	0
2				0.293		deu	M_C	
2				0.343		swe	M_C	
2				0.225		isl	M_C	
2				0.4		rus	M_C	
4	7524	0.001626277458854	42.0	0.3218750059604645	1.959556102752685	deu	pointer_generator_lstm	0
4	7737	0.0234933067113161	52.0	0.248046875	1.0891363620758057	swe	pointer_generator_lstm	0
4	3839	0.0043964423239231	31.0	0.1978515684604644	1.8313493728637693	isl	pointer_generator_lstm	0
4	2459	0.0218200851231813	5.0	0.337890625	2.1754250526428223	rus	pointer_generator_lstm	0
4	10751	0.7515730857849121	767.0	0.209999993443489	1.946791648864746	deu	transformer	0
4	4991	0.7768881916999817	415.0	0.2358333319425583	1.6892670392990112	swe	transformer	0
4	5759	0.7617770433425903	575.0	0.1449999958276748	2.294990062713623	isl	transformer	0
4	8447	0.7727446556091309	255.0	0.2958333194255829	2.0381898880004883	rus	transformer	0
4	15119	0.0033001939300447	53.0	0.2349999994039535	2.2006676197052	deu	bilstm-attn	0
4	8891	0.0254500024020671	37.0	0.2430000007152557	1.2966731786727903	swe	bilstm-attn	0
4	8403	0.0112907765433192	43.0	0.163000002503395	2.1163015365600586	isl	bilstm-attn	0
4	35423	0.0057872873730957	53.0	0.3000000119209289	2.538905382156372	rus	bilstm-attn	0
4				0.279		deu	M_C	
4				0.343		swe	M_C	
4				0.216		isl	M_C	
4				0.384		rus	M_C	
1	5424	0.002220416907221	30.0	0.3238281309604645	1.8134533166885376	deu	pointer_generator_lstm	0
1	2043	0.0433878637850284	13.0	0.2503906190395355	0.8292934894561768	swe	pointer_generator_lstm	0
1	2639	0.0066211698576807	21.0	0.1988281309604644	1.6305062770843506	isl	pointer_generator_lstm	0
1	3689	0.0130429537966847	8.0	0.3304687440395355	2.3513457775115967	rus	pointer_generator_lstm	0
1	3135	0.7676936984062195	223.0	0.2108333259820938	1.854295253753662	deu	transformer	0
1	7871	0.7685871124267578	655.0	0.2399999946355819	1.6906821727752686	swe	transformer	0
1	5919	0.7630378007888794	591.0	0.1416666656732559	2.2809596061706543	isl	transformer	0
1	25343	0.7670546174049377	767.0	0.3008333444595337	2.0479769706726074	rus	transformer	0
1	12879	0.0052638016641139	45.0	0.2259999960660934	2.185527801513672	deu	bilstm-attn	0
1	10763	0.022093016654253	45.0	0.2280000001192093	1.2496813535690308	swe	bilstm-attn	0
1	6111	0.0136235142126679	31.0	0.1500000059604644	2.1502699851989746	isl	bilstm-attn	0
1	26239	0.0085598891600966	39.0	0.289000004529953	2.315073013305664	rus	bilstm-attn	0
1				0.286		deu	M_C	
1				0.335		swe	M_C	
1				0.212		isl	M_C	
1				0.383		rus	M_C	
