run	step	train_loss	epoch	val_accuracy	val_loss	lang	arch	model_version
3	7055	0.0019105902174487	41.0	0.3400390744209289	1.962076187133789	deu	pointer_generator_lstm	0
3	2771	0.0295073557645082	20.0	0.257617175579071	0.9126084446907043	swe	pointer_generator_lstm	0
3	5310	0.0035315407440066	46.0	0.1890625059604644	2.017270803451538	isl	pointer_generator_lstm	0
3	4410	0.011695671826601	10.0	0.32421875	2.3330891132354736	rus	pointer_generator_lstm	0
3	7615	0.7549898624420166	543.0	0.2033333331346511	1.901880979537964	deu	transformer	0
3	8095	0.7688980102539062	735.0	0.2408333271741867	1.6852872371673584	swe	transformer	0
3	2303	0.7703942656517029	255.0	0.1424999982118606	2.157947540283203	isl	transformer	0
3	24287	0.7673232555389404	735.0	0.3000000119209289	2.008604049682617	rus	transformer	0
3	10183	0.0088928304612636	37.0	0.1870000064373016	1.821927547454834	deu	bilstm-attn	0
3	9705	0.0233793407678604	45.0	0.2339999973773956	1.500990629196167	swe	bilstm-attn	0
3	3599	0.0336648300290107	19.0	0.1599999964237213	1.6496847867965698	isl	bilstm-attn	0
3	15407	0.0116493785753846	23.0	0.2939999997615814	2.122652292251587	rus	bilstm-attn	0
3				0.277		deu	M_C	
3				0.327		swe	M_C	
3				0.231		isl	M_C	
3				0.392		rus	M_C	
5	4367	0.003682592883706	25.0	0.25390625	1.7945783138275146	deu	pointer_generator_lstm	0
5	2111	0.0401374362409114	15.0	0.280078113079071	0.7562698721885681	swe	pointer_generator_lstm	0
5	4858	0.0062654009088873	42.0	0.1943359375	1.8939223289489744	isl	pointer_generator_lstm	0
5	4009	0.017359010875225	9.0	0.3515625	2.249882698059082	rus	pointer_generator_lstm	0
5	8735	0.7552987337112427	623.0	0.2216666638851165	1.9460281133651731	deu	transformer	0
5	2991	0.7877727746963501	271.0	0.2316666692495346	1.667324781417847	swe	transformer	0
5	5615	0.7609717845916748	623.0	0.1633333265781402	2.204345226287842	isl	transformer	0
5	20591	0.768063485622406	623.0	0.3050000071525574	2.00365686416626	rus	transformer	0
5	5895	0.0129644488915801	21.0	0.2010000050067901	1.7145874500274658	deu	bilstm-attn	0
5	5485	0.0438998267054557	25.0	0.2360000014305114	1.0595508813858032	swe	bilstm-attn	0
5	7559	0.0103729320690035	41.0	0.1589999943971634	2.087719202041626	isl	bilstm-attn	0
5	21827	0.0100348852574825	33.0	0.2939999997615814	2.2294838428497314	rus	bilstm-attn	0
5				0.27		deu	M_C	
5				0.356		swe	M_C	
5				0.229		isl	M_C	
5				0.395		rus	M_C	
2	2855	0.0059640812687575	16.0	0.3273437619209289	1.5884374380111694	deu	pointer_generator_lstm	0
2	1451	0.0458008199930191	10.0	0.269335925579071	0.7595667839050293	swe	pointer_generator_lstm	0
2	2485	0.0135321915149688	21.0	0.1939453184604644	1.6919437646865845	isl	pointer_generator_lstm	0
2	9623	0.0117752309888601	23.0	0.341796875	2.606633424758911	rus	pointer_generator_lstm	0
2	10975	0.7533199787139893	783.0	0.2175000011920929	1.95739221572876	deu	transformer	0
2	8447	0.7674890756607056	767.0	0.2275000065565109	1.738016963005066	swe	transformer	0
2	5615	0.7617511749267578	623.0	0.1541666686534881	2.221530675888061	isl	transformer	0
2	13199	0.7692133784294128	399.0	0.2949999868869781	2.03426456451416	rus	transformer	1
2	9647	0.0052424981258809	35.0	0.2240000069141388	2.055150985717773	deu	bilstm-attn	0
2	5907	0.0437352918088436	27.0	0.2150000035762787	1.1367546319961548	swe	bilstm-attn	0
2	10079	0.0081866346299648	55.0	0.1539999991655349	2.4647092819213867	isl	bilstm-attn	0
2	25679	0.0080073345452547	39.0	0.3160000145435333	2.1843419075012207	rus	bilstm-attn	0
2				0.285		deu	M_C	
2				0.341		swe	M_C	
2				0.208		isl	M_C	
2				0.393		rus	M_C	
4	5207	0.0224233213812112	30.0	0.3382812440395355	1.6894166469573977	deu	pointer_generator_lstm	0
4	1319	0.051161803305149	9.0	0.2388671934604644	0.7386139631271362	swe	pointer_generator_lstm	0
4	1016	0.0280712991952896	8.0	0.1919921934604644	1.353691339492798	isl	pointer_generator_lstm	0
4	5613	0.0083242859691381	13.0	0.3501953184604645	2.405478954315185	rus	pointer_generator_lstm	0
4	9183	0.7532232403755188	655.0	0.2025000005960464	1.950819969177246	deu	transformer	0
4	8447	0.7674834132194519	767.0	0.2316666692495346	1.7629607915878296	swe	transformer	1
4	4607	0.7675794363021851	511.0	0.1566666662693023	2.112438201904297	isl	transformer	0
4	17951	0.7676954865455627	543.0	0.3033333420753479	2.0647714138031006	rus	transformer	0
4	8575	0.0066876504570245	31.0	0.2360000014305114	1.7025052309036257	deu	bilstm-attn	0
4	5485	0.0449851788580417	25.0	0.2300000041723251	1.1224859952926636	swe	bilstm-attn	0
4	8639	0.012818394228816	47.0	0.163000002503395	1.9355337619781492	isl	bilstm-attn	0
4	26963	0.0076345861889421	41.0	0.2980000078678131	2.27290153503418	rus	bilstm-attn	0
4				0.276		deu	M_C	
4				0.323		swe	M_C	
4				0.215		isl	M_C	
4				0.388		rus	M_C	
1	2015	0.0088528273627161	11.0	0.2685546875	1.5291372537612915	deu	pointer_generator_lstm	0
1	3959	0.0227635651826858	29.0	0.2429687529802322	0.9044138193130492	swe	pointer_generator_lstm	0
1	6779	0.003565062303096	59.0	0.2003906220197677	2.0123496055603027	isl	pointer_generator_lstm	0
1	3608	0.0127401789650321	8.0	0.33203125	2.318933486938477	rus	pointer_generator_lstm	0
1	8287	0.7560519576072693	591.0	0.2083333283662796	1.9392656087875368	deu	transformer	1
1	5631	0.7737864255905151	511.0	0.2399999946355819	1.6964850425720217	swe	transformer	0
1	3887	0.7695654630661011	431.0	0.1500000059604644	2.198727607727051	isl	transformer	0
1	8975	0.7724423408508301	271.0	0.3008333444595337	1.994302749633789	rus	transformer	0
1	15543	0.0025673487689346	57.0	0.2049999982118606	2.352317571640014	deu	bilstm-attn	0
1	8439	0.027176234871149	39.0	0.2259999960660934	1.1024566888809204	swe	bilstm-attn	0
1	7919	0.0122207114472985	43.0	0.1599999964237213	2.236393690109253	isl	bilstm-attn	0
1	30815	0.0055276406928896	47.0	0.2919999957084656	2.4089930057525635	rus	bilstm-attn	0
1				0.313		deu	M_C	
1				0.343		swe	M_C	
1				0.216		isl	M_C	
1				0.399		rus	M_C	
